major_cell_type	sub_cell_type	n_cells
B cell	Bm_PDE4D	74631
B cell	Bm_TNFSF9	71716
B cell	Bm_TNF	40284
B cell	Plasma_cell	39919
B cell	Bm_CD74	32629
B cell	Bn_TCL1A	18645
B cell	Bm_FCRL4	6432
B cell	Bm_MT2A	5975
B cell	GCB_RGS13	4155
B cell	B_prf_MKI67	2690
Myeloid cell	Mφ_VCAN	32204
Myeloid cell	Mast cell	26723
Myeloid cell	Mφ_MARCO	25707
Myeloid cell	cDC2_CD1C	21887
Myeloid cell	Neu_FCGR3B	12512
Myeloid cell	Mφ_FOLR2	11558
Myeloid cell	Mφ_FCGR3A	9908
Myeloid cell	Mφ_CXCL2	9499
Myeloid cell	Mφ_DNAJB1	8664
Myeloid cell	Mφ_S100A10	6329
Myeloid cell	Mφ_CXCL10	6176
Myeloid cell	Mφ_MKI67	4780
Myeloid cell	pDC_LILRA4	3824
Myeloid cell	mDC_LAMP3	3708
Myeloid cell	cDC1_CLEC9A	3458
Myeloid cell	Mφ_ISG15	2251
Myeloid cell	Mφ_MMP9	1911
T/NK cell	CD4T_Tn_CCR7	70896
T/NK cell	CD4T_Tm_ANXA1	67089
T/NK cell	CD8T_Tm_IL7R	65845
T/NK cell	CD8T_Tem_GZMK+GZMH+	60731
T/NK cell	CD8T_Tem_GZMK+NR4A1+	57363
T/NK cell	CD4T_Treg_FOXP3	53900
T/NK cell	CD8T_Tex_CXCL13	45499
T/NK cell	CD8T_Trm_ZNF683	42240
T/NK cell	NK_CD16hi_FGFBP2	40286
T/NK cell	CD4T_Tem_GZMA	33453
T/NK cell	CD4T_Tfh_CXCL13	31642
T/NK cell	CD8T_NK-like_FGFBP2	30002
T/NK cell	NK_CD16low_GZMK	28551
T/NK cell	CD4T_Treg_CCR8	24492
T/NK cell	T_gdT_TRDV1	23517
T/NK cell	CD4T_Th1-like_CXCL13	18260
T/NK cell	CD8T_terminal_Tex_LAYN	14225
T/NK cell	CD8T_prf_MKI67	12268
T/NK cell	CD8T_MAIT_KLRB1	11728
T/NK cell	T_gdT_TRDV2	10435
T/NK cell	CD8T_ISG15	8626
T/NK cell	ILC3_KIT	7185
T/NK cell	CD4T_Tm_XCL1	6018
T/NK cell	CD4T_Treg_MKI67	2323
