file	size_bytes	size_gb	within_2gb_budget
GSE243013_NSCLC_immune_scRNA_counts.mtx.gz	7123039063	6.634	False
GSE243013_RAW.tar	541511680	0.504	True
GSE243013_NSCLC_immune_scRNA_metadata.csv.gz	40701210	0.038	True
GSE243013_UMAP_info.tar.gz	21611305	0.02	True
GSE243013_T_with_TCR_annotation.csv.gz	15940803	0.015	True
GSE243013_barcodes.csv.gz	6726478	0.006	True
GSE243013_genes.csv.gz	114223	0.0	True
GSE243013_NMF_all_group_5.csv.gz	1108	0.0	True
