family	gene
IFN	ADAR
IFN	APOL6
IFN	ARID5B
IFN	ARL4A
IFN	AUTS2
IFN	B2M
IFN	BANK1
IFN	BATF2
IFN	BPGM
IFN	BST2
IFN	BTG1
IFN	C1R
IFN	C1S
IFN	CASP1
IFN	CASP3
IFN	CASP4
IFN	CASP7
IFN	CASP8
IFN	CCL2
IFN	CCL5
IFN	CCL7
IFN	CCRL2
IFN	CD274
IFN	CD38
IFN	CD40
IFN	CD47
IFN	CD69
IFN	CD74
IFN	CD86
IFN	CDKN1A
IFN	CFB
IFN	CFH
IFN	CIITA
IFN	CMKLR1
IFN	CMPK2
IFN	CMTR1
IFN	CNP
IFN	CSF1
IFN	CSF2RB
IFN	CXCL10
IFN	CXCL11
IFN	CXCL9
IFN	DDX58
IFN	DDX60
IFN	DHX58
IFN	EIF2AK2
IFN	EIF4E3
IFN	ELF1
IFN	EPSTI1
IFN	FAS
IFN	FCGR1A
IFN	FGL2
IFN	FPR1
IFN	GBP2
IFN	GBP4
IFN	GBP6
IFN	GCH1
IFN	GMPR
IFN	GPR18
IFN	GZMA
IFN	HELZ2
IFN	HERC6
IFN	HIF1A
IFN	HLA-A
IFN	HLA-B
IFN	HLA-C
IFN	HLA-DMA
IFN	HLA-DQA1
IFN	HLA-DRB1
IFN	HLA-G
IFN	ICAM1
IFN	IDO1
IFN	IFI27
IFN	IFI30
IFN	IFI35
IFN	IFI44
IFN	IFI44L
IFN	IFIH1
IFN	IFIT1
IFN	IFIT2
IFN	IFIT3
IFN	IFITM1
IFN	IFITM2
IFN	IFITM3
IFN	IFNAR2
IFN	IL10RA
IFN	IL15
IFN	IL15RA
IFN	IL18BP
IFN	IL2RB
IFN	IL4R
IFN	IL6
IFN	IL7
IFN	IRF1
IFN	IRF2
IFN	IRF4
IFN	IRF5
IFN	IRF7
IFN	IRF8
IFN	IRF9
IFN	ISG15
IFN	ISG20
IFN	ISOC1
IFN	ITGB7
IFN	JAK2
IFN	KLRK1
IFN	LAMP3
IFN	LAP3
IFN	LATS2
IFN	LCP2
IFN	LGALS3BP
IFN	LPAR6
IFN	LY6E
IFN	LYSMD2
IFN	MARCHF1
IFN	METTL7B
IFN	MOV10
IFN	MT2A
IFN	MTHFD2
IFN	MVB12A
IFN	MVP
IFN	MX1
IFN	MX2
IFN	MYD88
IFN	NAMPT
IFN	NCOA3
IFN	NCOA7
IFN	NFKB1
IFN	NFKBIA
IFN	NLRC5
IFN	NMI
IFN	NOD1
IFN	NUB1
IFN	NUP93
IFN	OAS1
IFN	OAS2
IFN	OAS3
IFN	OASL
IFN	OGFR
IFN	P2RY14
IFN	PARP12
IFN	PARP14
IFN	PARP9
IFN	PDE4B
IFN	PELI1
IFN	PFKP
IFN	PIM1
IFN	PLA2G4A
IFN	PLSCR1
IFN	PML
IFN	PNP
IFN	PNPT1
IFN	PROCR
IFN	PSMA2
IFN	PSMA3
IFN	PSMB10
IFN	PSMB2
IFN	PSMB8
IFN	PSMB9
IFN	PSME1
IFN	PSME2
IFN	PTGS2
IFN	PTPN1
IFN	PTPN2
IFN	PTPN6
IFN	RAPGEF6
IFN	RBCK1
IFN	RIPK1
IFN	RIPK2
IFN	RNF213
IFN	RNF31
IFN	RSAD2
IFN	RTP4
IFN	SAMD9
IFN	SAMD9L
IFN	SAMHD1
IFN	SECTM1
IFN	SELL
IFN	SELP
IFN	SERPING1
IFN	SLAMF7
IFN	SLC25A28
IFN	SOCS1
IFN	SOCS3
IFN	SOD2
IFN	SP110
IFN	SPPL2A
IFN	SRI
IFN	SSPN
IFN	ST3GAL5
IFN	ST8SIA4
IFN	STAT1
IFN	STAT2
IFN	STAT3
IFN	STAT4
IFN	TAP1
IFN	TAPBP
IFN	TDRD7
IFN	TENT5A
IFN	TMEM140
IFN	TNFAIP2
IFN	TNFAIP3
IFN	TNFAIP6
IFN	TNFSF10
IFN	TOR1B
IFN	TRAFD1
IFN	TRIM14
IFN	TRIM21
IFN	TRIM25
IFN	TRIM26
IFN	TRIM5
IFN	TXNIP
IFN	UBA7
IFN	UBE2L6
IFN	UPP1
IFN	USP18
IFN	VAMP5
IFN	VAMP8
IFN	VCAM1
IFN	WARS1
IFN	XAF1
IFN	XCL1
IFN	ZBP1
IFN	ZNFX1
MHC-I/APM	B2M
MHC-I/APM	CALR
MHC-I/APM	CANX
MHC-I/APM	ERAP1
MHC-I/APM	ERAP2
MHC-I/APM	HLA-A
MHC-I/APM	HLA-B
MHC-I/APM	HLA-C
MHC-I/APM	HLA-E
MHC-I/APM	HLA-F
MHC-I/APM	HLA-G
MHC-I/APM	IRF1
MHC-I/APM	NLRC5
MHC-I/APM	PDIA3
MHC-I/APM	PSMB10
MHC-I/APM	PSMB8
MHC-I/APM	PSMB9
MHC-I/APM	TAP1
MHC-I/APM	TAP2
MHC-I/APM	TAPBP
MHC-I/APM	TAPBPL
chemokine	CCL19
chemokine	CCL2
chemokine	CCL21
chemokine	CCL22
chemokine	CCL3
chemokine	CCL4
chemokine	CCL5
chemokine	CCL8
chemokine	CCR5
chemokine	CCR7
chemokine	CX3CL1
chemokine	CXCL10
chemokine	CXCL11
chemokine	CXCL13
chemokine	CXCL16
chemokine	CXCL8
chemokine	CXCL9
chemokine	CXCR3
chemokine	CXCR4
chemokine	CXCR5
chemokine	IL15
chemokine	IL2
chemokine	IL21
chemokine	IL7
chemokine	XCL1
chemokine	XCL2
TJ	ABCC8
TJ	ACTB
TJ	ACTG1
TJ	ACTN1
TJ	ACTN4
TJ	ACTR2
TJ	ACTR3
TJ	ACTR3B
TJ	ACTR3C
TJ	AFDN
TJ	AMOT
TJ	AMOTL1
TJ	AMOTL2
TJ	APC
TJ	ARHGAP17
TJ	ARHGEF18
TJ	ARHGEF2
TJ	ARL2
TJ	ARPC1A
TJ	ARPC1B
TJ	ARPC2
TJ	ARPC3
TJ	ARPC4
TJ	ARPC5
TJ	ARPC5L
TJ	BVES
TJ	CACNA1D
TJ	CCND1
TJ	CD1A
TJ	CD1B
TJ	CD1C
TJ	CD1D
TJ	CD1E
TJ	CDC42
TJ	CDH1
TJ	CDH5
TJ	CDK4
TJ	CFTR
TJ	CGN
TJ	CGNL1
TJ	CLDN1
TJ	CLDN10
TJ	CLDN11
TJ	CLDN12
TJ	CLDN14
TJ	CLDN15
TJ	CLDN16
TJ	CLDN17
TJ	CLDN18
TJ	CLDN19
TJ	CLDN2
TJ	CLDN20
TJ	CLDN22
TJ	CLDN23
TJ	CLDN24
TJ	CLDN25
TJ	CLDN3
TJ	CLDN34
TJ	CLDN5
TJ	CLDN6
TJ	CLDN7
TJ	CLDN8
TJ	CLDN9
TJ	CRB3
TJ	CTTN
TJ	DLG1
TJ	DLG2
TJ	DLG3
TJ	ECT2
TJ	EPB41L4B
TJ	EPHA2
TJ	EPHB2
TJ	ERBB2
TJ	ESAM
TJ	EXT1
TJ	EZR
TJ	F11R
TJ	FRMPD2
TJ	FZD5
TJ	GATA4
TJ	GPBAR1
TJ	GRHL2
TJ	HCLS1
TJ	HSPA4
TJ	IGSF5
TJ	IKBKB
TJ	IL17A
TJ	ILDR1
TJ	ITGB1
TJ	JAM2
TJ	JAM3
TJ	JUN
TJ	LLGL1
TJ	LLGL2
TJ	LSR
TJ	MAGI1
TJ	MAP2K7
TJ	MAP3K1
TJ	MAP3K5
TJ	MAPK10
TJ	MAPK8
TJ	MAPK9
TJ	MARVELD2
TJ	MARVELD3
TJ	MICALL2
TJ	MIR105-1
TJ	MIR142
TJ	MPDZ
TJ	MPP4
TJ	MPP7
TJ	MSN
TJ	MYH10
TJ	MYH11
TJ	MYH14
TJ	MYH9
TJ	MYL12A
TJ	MYL12B
TJ	MYL2
TJ	MYL6
TJ	MYL6B
TJ	MYL9
TJ	MYO1C
TJ	NEDD4
TJ	NEDD4L
TJ	NF2
TJ	NPHP1
TJ	NPHP4
TJ	OCEL1
TJ	OCLN
TJ	PAK2
TJ	PALS1
TJ	PARD3
TJ	PARD6A
TJ	PARD6B
TJ	PARD6G
TJ	PATJ
TJ	PCNA
TJ	PDCD6IP
TJ	PECAM1
TJ	PLEC
TJ	POF1B
TJ	PPP2CA
TJ	PPP2CB
TJ	PPP2R1A
TJ	PPP2R1B
TJ	PPP2R2A
TJ	PPP2R2B
TJ	PPP2R2C
TJ	PPP2R2D
TJ	PRKAA1
TJ	PRKAA2
TJ	PRKAB1
TJ	PRKAB2
TJ	PRKACA
TJ	PRKACB
TJ	PRKACG
TJ	PRKAG1
TJ	PRKAG2
TJ	PRKAG3
TJ	PRKCE
TJ	PRKCH
TJ	PRKCI
TJ	PRKCZ
TJ	RAB13
TJ	RAB8A
TJ	RAB8B
TJ	RAC1
TJ	RAMP2
TJ	RAP1A
TJ	RAP2C
TJ	RAPGEF2
TJ	RAPGEF6
TJ	RDX
TJ	RHOA
TJ	ROCK1
TJ	ROCK2
TJ	RUNX1
TJ	SCRIB
TJ	SLC39A9
TJ	SLC9A3R1
TJ	SNAI1
TJ	SNAI2
TJ	SRC
TJ	SRF
TJ	STK11
TJ	STRN
TJ	SVEP1
TJ	SYMPK
TJ	SYNPO
TJ	TBCD
TJ	TGFB3
TJ	TGFBR1
TJ	TIAM1
TJ	TJAP1
TJ	TJP1
TJ	TJP2
TJ	TJP3
TJ	TNF
TJ	TUBA1A
TJ	TUBA1B
TJ	TUBA1C
TJ	TUBA3C
TJ	TUBA3D
TJ	TUBA3E
TJ	TUBA4A
TJ	TUBA8
TJ	TUBAL3
TJ	VASP
TJ	VIM
TJ	WAS
TJ	WHAMM
TJ	WNT11
TJ	YBX3
TJ	ZEB1
keratin	KRT1
keratin	KRT10
keratin	KRT13
keratin	KRT14
keratin	KRT15
keratin	KRT16
keratin	KRT17
keratin	KRT18
keratin	KRT19
keratin	KRT20
keratin	KRT4
keratin	KRT5
keratin	KRT6A
keratin	KRT6B
keratin	KRT6C
keratin	KRT7
keratin	KRT8
