sample,B/Plasma,Endothelial,Fibroblast,Malignant/Epithelial,Mast,Myeloid,T/NK
GSM8839599_MPR-1,100,245,643,2841,26,1586,107
GSM8839600_MPR-2,11,1090,505,3477,64,0,25
GSM8839601_MPR-3,24,167,1302,2754,55,610,160
GSM8839602_Non-MPR-1,367,1079,242,3846,39,0,573
GSM8839603_Non-MPR-2,42,2194,296,1023,1619,0,311
GSM8839604_Non-MPR-3,13,389,167,809,12,0,34
