sample,donor,sample_type,mTLS,n_cells,n_malignant,n_TNK,frac_TNK,malignant_TACSTD2_mean,malignant_CLDN4_mean,malignant_TACSTD2_pct_pos,malignant_CLDN4_pct_pos
T01_INXBX,T01,INXBX,Low,2255,506,681,0.30199556541019956,1.95630157371439,2.0149406442205553,95.0592885375494,95.0592885375494
T01_RESRT,T01,RESRT,Low,225,110,31,0.13777777777777778,1.9862587353800938,2.256393430030386,89.0909090909091,92.72727272727272
T01_RESRU,T01,RESRU,Low,3590,923,511,0.14233983286908078,1.9395960138261017,1.9941981042005,90.89924160346695,92.3076923076923
T02_RESRT,T02,RESRT,Low,421,334,22,0.052256532066508314,1.5818066511505704,1.8494969674764963,92.51497005988024,95.50898203592814
T02_RESRU,T02,RESRU,Low,3396,2477,332,0.0977620730270907,1.5456480655938067,1.8159451814680672,88.37303189341947,93.2983447719015
T07_INXBX,T07,INXBX,High,1678,17,47,0.02800953516090584,0.7139227247857243,1.0438796037154996,47.05882352941176,64.70588235294117
T07_RESRU,T07,RESRU,High,4333,290,1283,0.2960996999769213,1.7812197375463288,1.6528719836894528,77.24137931034483,71.03448275862068
T08_INXBX,T08,INXBX,Low,490,154,252,0.5142857142857142,2.254542964240552,2.250802233599623,83.76623376623377,83.76623376623377
T08_RESRT,T08,RESRT,Low,1725,468,866,0.5020289855072464,2.3884864614349914,2.633436353431038,92.73504273504274,92.94871794871796
T09_INXBX,T09,INXBX,High,2665,531,1053,0.3951219512195122,1.4115651157346416,2.006248578058276,71.37476459510358,89.45386064030131
T09_RESRT,T09,RESRT,High,2561,31,643,0.25107379929714957,2.2403358659436527,1.6086845625756037,70.96774193548387,64.51612903225806
T09_RESRU,T09,RESRU,High,3352,106,2238,0.6676610978520287,0.8046422181904561,1.7550845342940882,56.60377358490566,79.24528301886792
T11_INXBX,T11,INXBX,High,1056,814,77,0.07291666666666667,1.431147452610118,1.6153165285247226,84.02948402948402,87.59213759213759
T11_RESRT,T11,RESRT,High,1641,189,690,0.42047531992687387,1.318495245712014,1.8226105807909283,75.66137566137566,86.24338624338624
T11_RESRU,T11,RESRU,High,1716,177,1070,0.6235431235431236,0.7491120975961877,1.7583748594950916,59.887005649717516,89.26553672316385
T12_INXBX,T12,INXBX,Low,1989,1332,205,0.10306686777275012,1.3876359626586916,1.5282686926334135,77.32732732732732,81.6066066066066
T12_RESRU,T12,RESRU,Low,6603,1243,2249,0.34060275632288356,1.810230211164044,2.111782107574899,89.21962992759454,93.96621078037008
T13_RESRU,T13,RESRU,Low,1379,88,967,0.7012327773749093,0.8928457755195681,1.0984745927031354,63.63636363636363,69.31818181818183
T14_RESRT,T14,RESRT,High,6840,5188,965,0.14108187134502925,1.2991785665048934,1.545159066370102,85.00385505011565,92.40555127216655
T15_INXBX,T15,INXBX,High,8237,1593,2879,0.34952045647687263,2.051520945189979,1.8036164878337138,91.1487758945386,88.63779033270559
T15_RESRT,T15,RESRT,High,7264,1304,3746,0.5156938325991189,1.8667537011863438,1.5466782136191897,88.57361963190185,86.579754601227
T16_INXBX,T16,INXBX,High,2876,472,1062,0.36926286509040335,1.1598833729967584,1.3986637481828526,81.14406779661016,90.2542372881356
T16_RESRT,T16,RESRT,High,5116,331,3307,0.6464034401876466,1.6615412098612181,1.0880689871429279,82.4773413897281,71.29909365558912
T16_RESRU,T16,RESRU,High,3910,336,2357,0.6028132992327365,2.0215620152363476,1.4786575995976734,91.66666666666666,85.41666666666666
T17_INXBX,T17,INXBX,High,7333,250,2065,0.2816037092595118,1.0856910678194758,0.5456559878890438,54.400000000000006,28.4
T17_RESRT,T17,RESRT,High,5392,258,2371,0.4397255192878338,1.5972288863386117,0.5580996662927256,82.94573643410853,51.55038759689923
T17_RESRU,T17,RESRU,High,1417,179,358,0.2526464361326747,1.0528045533751453,0.12502993472980442,68.71508379888269,16.75977653631285
T18_INXBX,T18,INXBX,Low,2946,145,503,0.17073998642226748,2.090006258815137,2.4645163843423363,86.89655172413792,92.41379310344827
T18_RESRT,T18,RESRT,Low,1361,62,606,0.4452608376193975,2.304387572723548,2.1162963925826856,87.09677419354838,91.93548387096774
T18_RESRU,T18,RESRU,Low,979,73,354,0.3615934627170582,1.2456351665508218,1.7477754671681736,58.9041095890411,75.34246575342466
T19_INXBX,T19,INXBX,High,1749,2,319,0.18238993710691823,1.440612738914463,1.4897891822846292,100.0,100.0
T19_RESRT,T19,RESRT,High,194,44,29,0.14948453608247422,0.9347933376788685,0.5643964738140518,72.72727272727273,47.72727272727273
T22_INXBX,T22,INXBX,High,4226,1408,612,0.14481779460482727,1.9122944328788227,1.791130781492771,90.76704545454545,88.70738636363636
T22_RESRT,T22,RESRT,High,1006,713,138,0.13717693836978131,1.7355110330366164,1.560094342640908,84.43197755960729,82.328190743338
T22_RESRU,T22,RESRU,High,4207,2108,1576,0.37461373900641787,1.7284793576982607,1.8295845279122707,90.74952561669829,91.17647058823529
T24_INXBX,T24,INXBX,High,107,1,22,0.205607476635514,0.0,2.729592984328823,0.0,100.0
T24_RESRT,T24,RESRT,High,4756,1618,404,0.08494533221194281,1.7861241449633545,2.4685653963810346,91.84177997527813,97.71322620519159
T24_RESRU,T24,RESRU,High,5268,3321,247,0.04688686408504176,1.6815983794380533,2.0480526176265315,91.77958446251128,95.63384522734117
T25_INXBX,T25,INXBX,Low,157,108,3,0.01910828025477707,1.435428165174084,1.4091451334197538,85.18518518518519,81.48148148148148
