,TACSTD2,CD8A,NKG7,NCAM1,LGALS1,LGALS3,LGALS9,PVR,TGFB1,TGFB2,TGFB3,CD47,SIRPA,CD274,EPCAM,CLDN4
TCGA-69-7978-01,13.4099,9.773,9.0533,4.2083,12.3689,12.2549,10.8677,11.4068,11.6343,7.9879,9.0533,12.3069,11.5212,9.4672,13.0299,13.366
TCGA-62-8399-01,11.815,7.8585,6.6506,3.8694,10.7261,11.4973,9.3485,11.5843,10.3293,7.741,8.2531,12.3587,9.4338,6.4279,12.3633,13.5222
TCGA-78-7539-01,12.1829,9.4463,8.5957,4.5835,10.9016,13.2236,11.9137,9.8203,10.3182,9.325,7.4125,12.1763,10.0165,6.1155,13.8797,13.2402
TCGA-73-4658-01,12.4766,8.4664,7.401,5.3056,13.7084,13.0461,11.0863,10.6614,11.6217,7.8986,9.4819,12.0875,11.141,9.0617,12.847,13.6656
TCGA-44-6775-01,13.3396,7.1936,5.2988,6.7683,12.7194,12.5155,11.642,10.1255,10.4002,8.9679,9.7653,12.2951,11.3266,6.2897,12.5913,12.7879
TCGA-44-2655-01,12.9585,7.0921,6.0387,4.9318,12.1523,13.3574,10.8369,9.2826,9.1871,7.6128,8.5535,13.003,9.2369,4.9318,13.6474,12.8344
TCGA-44-3398-01,12.3358,8.1523,8.3203,4.3106,15.0784,14.857,10.9585,9.1937,10.8891,8.3808,9.5107,12.4539,10.7725,7.752,13.3641,12.112
TCGA-62-8397-01,12.9923,5.6621,4.5171,4.6903,10.6382,14.1856,10.6914,9.4845,10.7886,7.3491,7.8649,11.2564,9.6138,5.1117,13.5828,13.2464
TCGA-53-A4EZ-01,11.0072,7.3565,6.4193,1.1245,9.9142,10.7335,11.3199,10.5397,8.5649,4.574,8.8097,10.5108,8.5005,4.5977,13.9202,12.4489
TCGA-50-7109-01,12.2356,8.8716,7.6345,5.1111,10.8083,10.6556,9.5325,11.1054,9.5109,7.2336,9.0973,11.1086,9.61,4.6672,13.3029,12.7292
TCGA-38-6178-01,12.5327,6.3038,5.3772,4.9737,11.3577,11.7838,11.7819,10.0364,11.3456,9.9917,8.8444,12.2952,9.5247,4.3576,13.3478,12.8884
TCGA-86-8056-01,12.5018,7.1603,6.0244,5.7825,10.0849,12.3435,11.3766,11.0377,10.1763,9.4299,7.3064,12.1776,10.2322,6.0167,13.1835,12.8386
TCGA-55-1592-01,13.7366,6.9209,6.1517,9.9375,11.3845,12.6041,10.6232,9.5875,10.1574,8.6812,7.9294,12.0104,10.5792,5.9134,13.4868,13.2875
TCGA-86-A4JF-01,12.6501,8.1811,7.95,6.3167,11.665,12.6492,12.1476,10.47,11.1078,7.53,8.1454,12.6073,10.1359,8.0353,13.5663,14.0192
TCGA-69-7974-01,12.1696,8.1152,8.0447,4.3504,12.6294,13.5365,10.8853,10.9,10.659,7.6917,7.6689,12.3855,11.3075,8.6475,13.3259,13.4729
TCGA-86-A456-01,12.5731,8.0095,6.7317,5.1893,12.0708,12.7536,11.8069,10.2776,10.247,10.1125,8.1692,13.2047,10.3811,6.7156,13.3602,13.1409
TCGA-97-8547-01,12.7219,5.2965,4.4886,8.2423,14.0257,13.8239,12.1535,9.9242,10.7404,8.0924,9.5745,12.274,10.6072,5.751,13.7926,12.809
TCGA-55-1595-01,11.4421,8.4188,7.0993,3.9396,12.8226,11.2776,9.8007,9.9182,9.963,6.7026,9.1964,11.3504,9.7602,6.1034,13.5841,12.7133
TCGA-NJ-A4YP-01,11.4669,8.0175,7.921,4.8169,12.4926,12.1413,11.1542,10.2245,10.21,6.5661,10.4067,11.5807,9.5556,4.9998,12.7706,12.4169
TCGA-05-4424-01,11.8641,8.3257,6.726,4.7664,11.5935,12.1126,11.4274,10.05,10.1955,8.8515,8.191,12.4991,11.0015,5.4403,13.1785,12.3135
TCGA-97-A4M7-01,11.8514,8.2559,6.9828,4.72,11.768,12.7649,11.7788,9.8227,10.9453,8.2518,9.1139,12.1022,10.4955,6.0039,12.492,13.0836
TCGA-44-2668-01,12.903,9.5757,8.4992,4.249,13.5765,12.7254,10.1832,11.844,10.4076,8.9482,9.3008,12.7731,11.5639,8.3563,12.8993,12.7566
TCGA-NJ-A55A-01,12.4776,8.5977,7.8068,6.1306,10.832,12.7981,10.6548,9.2008,10.7834,10.4935,9.1418,11.9257,10.0278,5.9383,12.0225,13.0022
TCGA-05-5420-01,12.4951,9.741,9.2283,3.9374,13.0987,13.5151,11.0489,9.8345,10.3429,4.6534,9.8681,11.9674,10.9407,7.7476,12.8603,12.009
TCGA-55-1594-01,10.2183,7.5941,6.9637,7.5581,10.6699,11.0877,9.2791,10.4093,11.068,9.085,7.6374,10.7971,9.6867,6.2193,14.2275,11.8043
TCGA-44-2659-01,12.3149,9.5117,8.0823,7.3058,11.4502,12.4394,10.7747,9.6987,10.3556,9.1519,9.6845,12.0436,10.0796,5.7798,13.008,12.9296
TCGA-78-7162-01,11.855,8.6246,8.5618,5.7758,11.4342,12.6247,10.2438,9.741,10.1395,8.5364,7.8954,13.02,9.78,5.3534,13.1107,12.3719
TCGA-38-4632-01,13.009,8.5996,7.7642,2.4823,14.0579,13.1877,10.4229,12.8239,11.6347,9.5218,8.3316,12.5091,10.164,7.2151,13.6489,13.8423
TCGA-49-6761-01,12.1138,9.035,8.7917,3.5849,13.5731,12.4503,10.1452,11.431,11.6763,6.1871,8.5048,11.2737,9.9526,8.3896,13.1132,13.4638
TCGA-91-6828-01,10.8157,8.9467,7.4463,4.1566,11.0066,11.2166,10.1727,10.068,10.0394,6.5483,8.8526,11.5785,10.8568,6.4955,12.8662,12.5842
TCGA-05-4418-01,11.881,8.9393,8.3752,4.244,12.0259,13.5163,10.0005,11.9152,10.1061,5.9345,8.4263,10.7049,10.6811,7.0293,13.6888,12.4972
TCGA-99-AA5R-01,11.9222,9.6293,9.7026,6.2045,12.4152,12.4567,10.9724,10.5227,11.5212,9.9812,9.061,12.3407,10.9472,7.0836,11.7907,12.6327
TCGA-55-7903-01,13.1816,8.7632,8.0256,5.0395,11.2798,13.4405,10.4338,10.4677,11.1348,8.0851,7.678,13.357,9.698,7.685,13.7801,13.7809
TCGA-55-A492-01,12.2143,6.2272,6.6832,4.8771,11.4783,12.3052,10.2515,9.5085,10.5307,5.7839,7.9444,12.0093,8.0088,1.0505,13.9687,12.8497
TCGA-55-8616-01,13.3816,7.648,5.6989,5.902,10.3218,12.863,10.1132,10.1262,11.6001,9.5354,7.6705,12.3252,8.9852,6.392,13.2668,14.2407
TCGA-86-7954-01,11.088,8.5377,7.6845,7.0359,10.959,12.1179,12.3771,9.7718,10.5021,7.2548,8.6076,11.5432,10.6689,6.8521,13.1495,13.2073
TCGA-05-4433-01,12.795,8.7479,7.4059,4.3809,11.3357,13.4084,11.2618,10.7117,11.1206,7.0307,7.413,11.8492,11.0594,5.8379,13.4339,13.1981
