level,dataset,gene,n,rho,p
malignant_cells,GSE131907,LGALS1,24784,0.2846120788793116,0.0
epithelial_cells,GSE131907,LGALS1,36467,0.2112592403057184,0.0
malignant_cells,GSE131907,LGALS3,24784,0.40929447954757225,0.0
epithelial_cells,GSE131907,LGALS3,36467,0.4497106362650683,0.0
malignant_cells,GSE131907,LGALS9,24784,0.34028976584623616,0.0
epithelial_cells,GSE131907,LGALS9,36467,0.36491824489892943,0.0
malignant_cells,GSE131907,NECTIN2,24784,0.4516779203075919,0.0
epithelial_cells,GSE131907,NECTIN2,36467,0.4331538258774018,0.0
malignant_cells,GSE131907,PVR,24784,0.23008395857497368,4.4054897652138675e-295
epithelial_cells,GSE131907,PVR,36467,0.21622340979117435,0.0
malignant_cells,GSE131907,TGFB1,24784,0.22145197843362663,5.782906874558113e-273
epithelial_cells,GSE131907,TGFB1,36467,0.23863690640269955,0.0
malignant_cells,GSE131907,TGFB2,24784,0.18424364242826574,3.9167343857325553e-188
epithelial_cells,GSE131907,TGFB2,36467,0.21001225924417138,0.0
malignant_cells,GSE131907,TGFB3,24784,0.04019223298290656,2.456774384337328e-10
epithelial_cells,GSE131907,TGFB3,36467,0.03242255416213704,5.905398328198462e-10
malignant_cells,GSE131907,CD47,24784,0.5504420032802065,0.0
epithelial_cells,GSE131907,CD47,36467,0.5464419504340576,0.0
malignant_cells,GSE131907,SIRPA,24784,0.0730338974125297,1.141547374767238e-30
epithelial_cells,GSE131907,SIRPA,36467,0.04286109657696362,2.6476442270766283e-16
malignant_cells,GSE131907,CD274,24784,0.13895988250371138,4.283481599811065e-107
epithelial_cells,GSE131907,CD274,36467,0.15035814963417252,2.3760071316820104e-183
malignant_cells,GSE131907,EPCAM,24784,0.5597044082996868,0.0
epithelial_cells,GSE131907,EPCAM,36467,0.5130382159860062,0.0
malignant_cells,GSE131907,CLDN4,24784,0.634863534426607,0.0
epithelial_cells,GSE131907,CLDN4,36467,0.613742093078422,0.0
tLung_malignant_sample,GSE131907,LGALS1,0,,
tLung_malignant_sample,GSE131907,LGALS3,0,,
tLung_malignant_sample,GSE131907,LGALS9,0,,
tLung_malignant_sample,GSE131907,NECTIN2,0,,
tLung_malignant_sample,GSE131907,PVR,0,,
tLung_malignant_sample,GSE131907,TGFB1,0,,
tLung_malignant_sample,GSE131907,TGFB2,0,,
tLung_malignant_sample,GSE131907,TGFB3,0,,
tLung_malignant_sample,GSE131907,CD47,0,,
tLung_malignant_sample,GSE131907,SIRPA,0,,
tLung_malignant_sample,GSE131907,CD274,0,,
tLung_malignant_sample,GSE131907,EPCAM,0,,
tLung_malignant_sample,GSE131907,CLDN4,0,,
all_tumor_malignant_sample,GSE131907,LGALS1,21,0.38571428571428573,0.08418819066159455
all_tumor_malignant_sample,GSE131907,LGALS3,21,0.2896103896103896,0.2028773165232885
all_tumor_malignant_sample,GSE131907,LGALS9,21,0.5077922077922078,0.01877286191233981
all_tumor_malignant_sample,GSE131907,NECTIN2,21,0.5558441558441559,0.008888714088043445
all_tumor_malignant_sample,GSE131907,PVR,21,0.4402597402597402,0.04578807772937219
all_tumor_malignant_sample,GSE131907,TGFB1,21,-0.0038961038961038965,0.9866273665163273
all_tumor_malignant_sample,GSE131907,TGFB2,21,0.22987012987012984,0.3161498376663408
all_tumor_malignant_sample,GSE131907,TGFB3,21,-0.024683340048177082,0.9154215555576063
all_tumor_malignant_sample,GSE131907,CD47,21,0.8597402597402597,5.903424517646308e-07
all_tumor_malignant_sample,GSE131907,SIRPA,21,0.00909090909090909,0.9688031519255759
all_tumor_malignant_sample,GSE131907,CD274,21,0.42207792207792205,0.056659249673108106
all_tumor_malignant_sample,GSE131907,EPCAM,21,0.6935064935064935,0.0004898974010404606
all_tumor_malignant_sample,GSE131907,CLDN4,21,0.5857142857142857,0.005273422501026666
tLung_allcells_sample,GSE131907,LGALS1,11,0.02727272727272728,0.9365584481926121
tLung_allcells_sample,GSE131907,LGALS3,11,0.5636363636363637,0.07095173447637551
tLung_allcells_sample,GSE131907,LGALS9,11,0.46363636363636374,0.15090149929248592
tLung_allcells_sample,GSE131907,NECTIN2,11,0.7545454545454545,0.007282041008429154
tLung_allcells_sample,GSE131907,PVR,11,0.6545454545454547,0.028864598957001903
tLung_allcells_sample,GSE131907,TGFB1,11,-0.17272727272727276,0.6115423848512369
tLung_allcells_sample,GSE131907,TGFB2,11,0.7454545454545456,0.008454728885061567
tLung_allcells_sample,GSE131907,TGFB3,11,0.09090909090909091,0.7903727377532903
tLung_allcells_sample,GSE131907,CD47,11,0.7727272727272727,0.005299487178643862
tLung_allcells_sample,GSE131907,SIRPA,11,-0.045454545454545456,0.8944269969053026
tLung_allcells_sample,GSE131907,CD274,11,0.3545454545454546,0.2846927409558867
tLung_allcells_sample,GSE131907,EPCAM,11,0.9727272727272729,5.142177049049183e-07
tLung_allcells_sample,GSE131907,CLDN4,11,0.9727272727272729,5.142177049049183e-07
all_tumor_allcells_sample,GSE131907,LGALS1,37,0.2821242294926506,0.09069276714016894
all_tumor_allcells_sample,GSE131907,LGALS3,37,0.7999051683262207,2.856778391430945e-09
all_tumor_allcells_sample,GSE131907,LGALS9,37,0.1299193930772878,0.4434373569003307
all_tumor_allcells_sample,GSE131907,NECTIN2,37,0.8437648174490279,5.456653752427813e-11
all_tumor_allcells_sample,GSE131907,PVR,37,0.7690848743480322,2.6857816395028624e-08
all_tumor_allcells_sample,GSE131907,TGFB1,37,-0.04220009483167377,0.8041396863758369
all_tumor_allcells_sample,GSE131907,TGFB2,37,0.6657183499288761,6.914992693594438e-06
all_tumor_allcells_sample,GSE131907,TGFB3,37,0.22285443338074917,0.18490980299265639
all_tumor_allcells_sample,GSE131907,CD47,37,0.7233285917496444,4.2476461198979077e-07
all_tumor_allcells_sample,GSE131907,SIRPA,37,-0.08605974395448078,0.6125371949380325
all_tumor_allcells_sample,GSE131907,CD274,37,0.15386439070649593,0.3632297200270734
all_tumor_allcells_sample,GSE131907,EPCAM,37,0.9409672830725462,4.854733824434e-18
all_tumor_allcells_sample,GSE131907,CLDN4,37,0.94950213371266,3.380480781489323e-19
