dataset,design,n_responder,n_nonresponder,median_responder,median_nonresponder,p,n_samples,tacstd2_median,note
GSE126044,pretreatment_only_not_paired,5.0,11.0,1595.0,1577.0,0.5833333333333334,,,
GSE135222,pretreatment_only_not_paired,,,,,,27.0,189.9,Ensembl ENSG00000184292; no paired post-ICI RNA
