level,dataset,gene,n,rho,p
epithelial_cells,GSE207422,LGALS1,18205,0.07579233314743827,1.307243713237527e-24
epithelial_cells,GSE207422,LGALS3,18205,0.7161502213362475,0.0
epithelial_cells,GSE207422,LGALS9,18205,0.2685574990599994,2.857113204515743e-298
epithelial_cells,GSE207422,NECTIN1,18205,0.6137135378422086,0.0
epithelial_cells,GSE207422,NECTIN2,18205,0.5500370682209808,0.0
epithelial_cells,GSE207422,NECTIN3,18205,0.08582138351572548,4.114113833924372e-31
epithelial_cells,GSE207422,NECTIN4,18205,0.5823959447138954,0.0
epithelial_cells,GSE207422,PVR,18205,0.2647163392905017,1.508844747219257e-289
epithelial_cells,GSE207422,TGFB1,18205,0.11724831477585615,9.66589553774944e-57
epithelial_cells,GSE207422,TGFB2,18205,0.09649426805228867,6.426778842013214e-39
epithelial_cells,GSE207422,TGFB3,18205,0.08195504067578792,1.6452759818018135e-28
epithelial_cells,GSE207422,CD47,18205,0.4161884490597979,0.0
epithelial_cells,GSE207422,SIRPA,18205,-0.08211394419539289,1.293183965293171e-28
epithelial_cells,GSE207422,CD274,18205,0.06498165162399515,1.6881703190360392e-18
epithelial_cells,GSE207422,EPCAM,18205,0.7729899988999022,0.0
epithelial_cells,GSE207422,CLDN4,18205,0.8342307641184261,0.0
