Sample,Sample_Origin,tacstd2
BRONCHO_11,mLN,1.0510656262647706
BRONCHO_58,tL/B,1.777904000458838
EBUS_06,tL/B,1.7104358788930176
EBUS_10,mLN,1.7402440134938169
EBUS_12,mLN,3.3709417728069284
EBUS_13,mLN,0.0
EBUS_15,mLN,1.3180293573268198
EBUS_19,mLN,2.310663179704478
EBUS_28,tL/B,1.3913712750289726
EBUS_49,tL/B,0.7452486163553218
EBUS_51,mLN,1.5670723553418684
EFFUSION_06,PE,1.7715709373379689
EFFUSION_11,PE,1.2026913976051523
EFFUSION_12,PE,2.9629556817417857
EFFUSION_13,PE,0.0
EFFUSION_64,PE,1.3956815908579114
LUNG_N01,nLung,0.9569260350349321
LUNG_N06,nLung,0.9449293616141162
LUNG_N08,nLung,1.0248261472645184
LUNG_N09,nLung,1.0406506677503384
LUNG_N18,nLung,1.2781399910488018
LUNG_N19,nLung,0.6974807239527773
LUNG_N20,nLung,0.7600965678533329
LUNG_N28,nLung,0.7275055804755495
LUNG_N30,nLung,1.2922720418090359
LUNG_N31,nLung,0.9617166449296158
LUNG_N34,nLung,1.03936174300672
LUNG_T06,tLung,1.6325268556914665
LUNG_T08,tLung,1.9938624764635304
LUNG_T09,tLung,1.2799004534841876
LUNG_T18,tLung,1.9122432977183508
LUNG_T19,tLung,1.0046877476730742
LUNG_T20,tLung,2.2599196644810053
LUNG_T25,tLung,1.38018838289362
LUNG_T28,tLung,1.9843297486391938
LUNG_T30,tLung,1.066779968921138
LUNG_T31,tLung,1.3782323487500399
LUNG_T34,tLung,1.6938832449052441
NS_02,mBrain,0.011488627302098542
NS_03,mBrain,0.8362990149580374
NS_04,mBrain,1.0998100033914444
NS_06,mBrain,1.5090958122673315
NS_07,mBrain,0.9862988967644628
NS_12,mBrain,1.0301864823458644
NS_13,mBrain,0.8011271770596445
NS_16,mBrain,0.12401218660259047
NS_17,mBrain,1.310925497448149
NS_19,mBrain,1.0976367110148666
