dataset,level,gene,n,rho,p
TCGA-LUAD,bulk_tumor,CD8A,515,-0.09598934893947342,0.029399829332099343
TCGA-LUAD,bulk_tumor,NKG7,515,-0.09457313923821323,0.031888745206493416
TCGA-LUAD,bulk_tumor,NCAM1,515,-0.07474507806536401,0.09017315448301975
TCGA-LUAD,bulk_tumor,LGALS1,515,0.12518422697523313,0.004438645659819841
TCGA-LUAD,bulk_tumor,LGALS3,515,0.37602677647589494,9.645738498351984e-19
TCGA-LUAD,bulk_tumor,LGALS9,515,0.18627912127436708,2.0964103936912755e-05
TCGA-LUAD,bulk_tumor,PVR,515,-0.1843150268482755,2.568200229460421e-05
TCGA-LUAD,bulk_tumor,TGFB1,515,0.15008348760486304,0.0006330746690655704
TCGA-LUAD,bulk_tumor,TGFB2,515,0.2607718869148475,1.8813840501985573e-09
TCGA-LUAD,bulk_tumor,TGFB3,515,-0.07455163187613713,0.09101125345316947
TCGA-LUAD,bulk_tumor,CD47,515,0.25896902483250817,2.4506272813217094e-09
TCGA-LUAD,bulk_tumor,SIRPA,515,0.021104010413854905,0.6327813948296502
TCGA-LUAD,bulk_tumor,CD274,515,0.040978283472855634,0.3533684417586714
TCGA-LUAD,bulk_tumor,EPCAM,515,0.07113099128770015,0.10688808402526821
TCGA-LUAD,bulk_tumor,CLDN4,515,0.4597517150956402,2.68425122314192e-28
TCGA-LUAD,bulk_tumor_partial_EPCAM,CD8A,515,-0.07998151553301419,0.06974468220414327
TCGA-LUAD,bulk_tumor_partial_EPCAM,NKG7,515,-0.07707275974673469,0.08056639134819951
TCGA-LUAD,bulk_tumor_partial_EPCAM,LGALS9,515,0.20906652563182349,1.701938588147871e-06
TCGA-LUAD,bulk_tumor_partial_EPCAM,PVR,515,-0.1942114802245195,9.038418427144918e-06
TCGA-LUAD,bulk_tumor_partial_EPCAM,TGFB1,515,0.18134079154634342,3.478388772402749e-05
TCGA-LUAD,bulk_tumor_partial_EPCAM,CD47,515,0.26013487335416646,2.06604482511596e-09
TCGA-LUSC,bulk_tumor,CD8A,502,-0.19902093738316218,7.0212537105198995e-06
TCGA-LUSC,bulk_tumor,NKG7,502,-0.16068753123036233,0.00030057673892122514
TCGA-LUSC,bulk_tumor,NCAM1,502,-0.2970889856472713,1.0923500947879436e-11
TCGA-LUSC,bulk_tumor,LGALS1,502,-0.061418223757291675,0.16945283088876115
TCGA-LUSC,bulk_tumor,LGALS3,502,0.29479556741137825,1.5963108214546236e-11
TCGA-LUSC,bulk_tumor,LGALS9,502,-0.06075498121310663,0.174115119325563
TCGA-LUSC,bulk_tumor,PVR,502,0.12152750242740472,0.006407004528088278
TCGA-LUSC,bulk_tumor,TGFB1,502,0.20046215542227752,6.003848063482924e-06
TCGA-LUSC,bulk_tumor,TGFB2,502,-0.10550160229803782,0.018053916357771534
TCGA-LUSC,bulk_tumor,TGFB3,502,-0.1328238977268719,0.002865874414007863
TCGA-LUSC,bulk_tumor,CD47,502,0.06533669426278331,0.14379468900192022
TCGA-LUSC,bulk_tumor,SIRPA,502,-0.034006664548339754,0.44710400632317965
TCGA-LUSC,bulk_tumor,CD274,502,-0.09585221650531636,0.03177773259412515
TCGA-LUSC,bulk_tumor,EPCAM,502,-0.16955746990188109,0.00013497519131183068
TCGA-LUSC,bulk_tumor,CLDN4,502,0.41001864614936134,8.933859858309045e-22
TCGA-LUSC,bulk_tumor_partial_EPCAM,CD8A,502,-0.2214930471089535,5.36848053021332e-07
TCGA-LUSC,bulk_tumor_partial_EPCAM,NKG7,502,-0.19253124049794323,1.4011466094038226e-05
TCGA-LUSC,bulk_tumor_partial_EPCAM,LGALS9,502,-0.07682791292894398,0.08550373431606226
TCGA-LUSC,bulk_tumor_partial_EPCAM,PVR,502,0.11662387248188234,0.008911892341650178
TCGA-LUSC,bulk_tumor_partial_EPCAM,TGFB1,502,0.14433868198590502,0.0011832194877601046
TCGA-LUSC,bulk_tumor_partial_EPCAM,CD47,502,-0.005693491317287013,0.8987443306374626
