score,n_pre,n_post,median_pre,median_post,p_mw,paired_same_patient
tacstd2_all,3,12,0.32736558301518676,0.09572316660001069,0.232967032967033,False
tacstd2_epithelial,3,12,0.9471607448379332,0.5989889920486124,0.5362637362637362,False
tumor_frac,3,12,0.30795190887998314,0.10867074337799679,0.13626373626373628,False
cd8_frac,3,12,0.028589784773530358,0.09254451206524494,0.04835164835164835,False
nk_frac,3,12,0.07099261162865403,0.12850550672615796,0.44835164835164837,False
tacstd2_all_post_MPR_vs_NMPR,4,8,0.11471688222350811,0.09572316660001069,0.6828282828282828,False
tacstd2_epithelial_post_MPR_vs_NMPR,4,8,0.7897796853250296,0.5404761570791101,0.6828282828282828,False
