sample,b,endothelial,epithelial,fibroblast,myeloid,nk,t
BD_immune01,210,629,1460,40,1687,538,177
BD_immune02,1996,127,408,9,196,401,2208
BD_immune03,1866,90,1665,27,658,2309,2644
BD_immune04,562,166,440,30,1670,1911,3619
BD_immune05,435,26,1601,17,249,221,564
BD_immune06,101,266,299,5,1033,1071,1874
BD_immune07,93,143,5938,272,1823,330,532
BD_immune08,685,304,705,567,590,406,2568
BD_immune09,237,32,394,20,916,1766,1484
BD_immune10,267,88,707,80,1380,2584,1537
BD_immune11,258,141,564,5,1132,594,1065
BD_immune12,1415,604,1468,10,1269,400,1067
BD_immune13,166,387,749,15,4046,365,1025
BD_immune14,1781,93,374,13,518,549,2218
BD_immune15,402,270,1433,15,4463,731,772
