Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName
GSE100412,GSM2680505,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949948,SRX2949948
GSE100412,GSM2680506,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949949,SRX2949949
GSE100412,GSM2680507,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949950,SRX2949950
GSE100412,GSM2680508,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949951,SRX2949951
GSE100412,GSM2680509,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949952,SRX2949952
GSE100412,GSM2680518,in_vivo,Lung carcinoma,CMT-167,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949961,SRX2949961
GSE100412,GSM2680519,in_vivo,Lung carcinoma,CMT-167,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949962,SRX2949962
GSE100412,GSM2680520,in_vivo,Lung carcinoma,CMT-167,parental,NA,0,NA,NA,NA,1,NA,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX2949963,SRX2949963
GSE101104,GSM2699186,in_vivo,Melanoma,B16,B16F1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intradermal,flank,SRX2994177,SRX2994177
GSE101104,GSM2699187,in_vivo,Melanoma,B16,B16F1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intradermal,flank,SRX2994178,SRX2994178
GSE101104,GSM2699188,in_vivo,Melanoma,B16,B16F1,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intradermal,flank,SRX2994179,SRX2994179
GSE101104,GSM2699189,in_vivo,Melanoma,B16,B16F1,NA,0,NA,NA,NA,0,CXCL5_vector,CXCL5_OE,primary,WT,C57BL/6J,no_treatment,NA,intradermal,flank,SRX2994180,SRX2994180
GSE101104,GSM2699190,in_vivo,Melanoma,B16,B16F1,NA,0,NA,NA,NA,0,CXCL5_vector,CXCL5_OE,primary,WT,C57BL/6J,no_treatment,NA,intradermal,flank,SRX2994181,SRX2994181
GSE101336,GSM2701515,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,0,decitabine,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998703,SRX2998703
GSE101336,GSM2701516,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998704,SRX2998704
GSE101336,GSM2701517,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,0,decitabine,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998705,SRX2998705
GSE101336,GSM2701518,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998706,SRX2998706
GSE101336,GSM2701519,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,0,decitabine,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998707,SRX2998707
GSE101336,GSM2701520,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998708,SRX2998708
GSE101336,GSM2701521,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,0,decitabine,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998709,SRX2998709
GSE101336,GSM2701522,in_vivo,Pancreatic ductal adenocarcinoma,KPC,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,KrasG12D/+;Trp53R172H/+,no_treatment,NA,subcutaneous,flank,SRX2998710,SRX2998710
GSE103713,GSM2779596,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176859,SRX3176859
GSE103713,GSM2779597,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176860,SRX3176860
GSE103713,GSM2779598,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176861,SRX3176861
GSE103713,GSM2779599,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176862,SRX3176862
GSE103713,GSM2779600,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176863,SRX3176863
GSE103713,GSM2779601,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176864,SRX3176864
GSE103713,GSM2779602,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,vehicle,NA,subcutaneous,flank,SRX3176865,SRX3176865
GSE103713,GSM2779603,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,BRAFi,NA,subcutaneous,flank,SRX3176866,SRX3176866
GSE103713,GSM2779604,in_vivo,Melanoma,YUMM1.7,parental,NA,0,NA,NA,NA,0,NA,WT,primary,immunodeficient,NSG,BRAFi,NA,subcutaneous,flank,SRX3176867,SRX3176867
GSE103713,GSM2779605,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,BRAFi,NA,subcutaneous,flank,SRX3176868,SRX3176868
GSE103713,GSM2779606,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,BRAFi,NA,subcutaneous,flank,SRX3176869,SRX3176869
GSE103713,GSM2779607,in_vivo,Melanoma,YUMM1.7,parental,PDL2_OE,0,NA,NA,NA,0,PDL2_vector,PDL2_OE,primary,immunodeficient,NSG,BRAFi,NA,subcutaneous,flank,SRX3176870,SRX3176870
GSE103725,GSM2779776,in_vivo,Melanoma,YUMM1.7,parental,pre.BRAFi.treatment,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,vehicle,NA,subcutaneous,flank,SRX3178218,SRX3178218
GSE103725,GSM2779777,in_vivo,Melanoma,YUMM1.7,parental,pre.BRAFi.treatment,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,vehicle,NA,subcutaneous,flank,SRX3178219,SRX3178219
GSE103725,GSM2779778,in_vivo,Melanoma,YUMM1.7,parental,pre.BRAFi.treatment,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,vehicle,NA,subcutaneous,flank,SRX3178220,SRX3178220
GSE103725,GSM2779779,in_vivo,Melanoma,YUMM1.7,parental,pre.BRAFi.treatment,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,vehicle,NA,subcutaneous,flank,SRX3178221,SRX3178221
GSE103725,GSM2779780,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_regressing,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178222,SRX3178222
GSE103725,GSM2779781,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_regressing,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178223,SRX3178223
GSE103725,GSM2779782,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_regressing,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178224,SRX3178224
