model,n_contrasts_latest,studies,regimens,mean_baseline,mean_treated,mean_delta,n_up_delta,n_down_delta,honest_calls,baseline_expression_band
4T1,7,GSE130472;GSE132529;GSE137818,antiCTLA4; old;;antiCTLA4; young;;antiPD1;antiPDL1; old;;antiPDL1; young;,3.083760829162427,2.9140213751742334,-0.16973945398819335,3,4,null:7,high
E0771,1,GSE174053,antiPD1; high.fat.diet;,0.5992002718011491,0.6090158168355533,0.009815545034404183,1,0,null:1,mid
EMT6,2,GSE107801,M7824 (anti_PDL1_TGFb_Trap);antiPDL1;,0.12245121406720069,0.4682755950473785,0.34582438098017776,2,0,null:2,low
T11,2,GSE124821,antiPD1; antiCTLA4;,0.10552783582627315,0.22776533621172493,0.1222375003854518,1,1,null:2,low
KPB25L,1,GSE124821,antiPD1; antiCTLA4;,3.3765350040923474,2.034580232234338,-1.3419547718580094,0,1,null:1,high
p53-2225L,1,GSE124821,antiPD1; antiCTLA4;,3.3940430553239347,3.2997633084773565,-0.09427974684657814,0,1,null:1,high
p53-2336R,1,GSE124821,antiPD1; antiCTLA4;,0.1517336046719925,2.169555136080314,2.0178215314083214,1,0,null:1,low
