model,cancer_type,n_samples,n_icb_flag1,n_icb_flag0,studies,in_gene_module_contrast
4T07,Mammary carcinoma,6,0,6,GSE150928,no
4T1,Mammary carcinoma,182,49,133,GSE111329;GSE130472;GSE132529;GSE137818;GSE140192;GSE146012;GSE150928;GSE154682;GSE63180;GSE85353;XW33589424,yes
67NR,Mammary carcinoma,6,0,6,GSE150928,no
6DT1,Mammary carcinoma,23,0,23,GSE150928,no
D2A1,Mammary carcinoma,4,0,4,GSE150928,no
E0771,Mammary adenocarcinoma,26,8,18,GSE148149;GSE150928;GSE174053,yes
EMT6,Mammary carcinoma,47,20,27,GSE107801;GSE150928;XW33589424,yes
F311,Mammary carcinoma,4,0,4,GSE150928,no
HRM1,Mammary carcinoma,4,0,4,GSE150928,no
KPB25L,"Mammary cancer, NOS",59,25,34,GSE124821,yes
M6,Mammary adenocarcinoma,31,0,31,GSE150928,no
Met1,Mammary carcinoma,32,0,32,GSE111157;GSE150928,no
Mvt1,Mammary carcinoma,32,0,32,GSE130900;GSE150928,no
NDL(UCD),Mammary carcinoma,3,0,3,GSE113379,no
Py230,Mammary adenocarcinoma,9,0,9,GSE140192,no
Py8119,Mammary adenocarcinoma,4,0,4,GSE144787,no
R3T,"Mammary cancer, NOS",4,0,4,GSE150928,no
T11,"Mammary cancer, NOS",74,37,37,GSE124821,yes
TSAE1,Mammary adenocarcinoma,4,0,4,GSE150928,no
p53-2153F,"Mammary cancer, NOS",4,0,4,GSE124821,no
p53-2224,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-2225L,"Mammary cancer, NOS",22,8,14,GSE124821,yes
p53-2245,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-2336R,"Mammary cancer, NOS",21,10,11,GSE124821,yes
p53-9263-3,"Mammary cancer, NOS",5,0,5,GSE124821,no
p53-T1,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-T12,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-T2,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-T6,"Mammary cancer, NOS",1,0,1,GSE124821,no
p53-T7,"Mammary cancer, NOS",1,0,1,GSE124821,no
