cohort,model,study,timepoint,icb_arm,baseline_arm,treated_status,n_baseline,n_treated,mean_baseline,mean_treated,median_baseline,median_treated,delta_mean,cliffs_delta,mwu_U,mwu_p,mwu_q_bh,tismo_p,tismo_p_reused_across_cohorts,tismo_star,influential_treated_sample,influential_mean_shift,n_treated_gt_2,n_baseline_gt_2,honest_call
4T1_GSE130472_old_antiCTLA4,4T1,GSE130472,unspecified,antiCTLA4; old;,isotype; old;,Non-responders,7,8,2.514297489980687,2.101033994252919,2.52574704290325,1.952722276979635,-0.4132634957277683,-0.6071428571428571,11.0,0.054079254079254076,0.41428571428571426,0.25528274159276,no,NA,SRX5768459,0.0724881485947444,4,6,null
4T1_GSE130472_old_antiPDL1,4T1,GSE130472,unspecified,antiPDL1; old;,isotype; old;,Non-responders,7,8,2.514297489980687,1.9181712442543726,2.52574704290325,1.934024474690875,-0.5961262457263146,-0.5714285714285714,12.0,0.0721056721056721,0.41428571428571426,0.364372932141465,no,NA,SRX5768474,0.14047117276379528,4,6,null
4T1_GSE130472_young_antiCTLA4,4T1,GSE130472,unspecified,antiCTLA4; young;,isotype; young;,Responders,7,12,1.8280023370479472,2.022329043801921,2.0041692956078,2.042084475065975,0.19432670675397357,0.19047619047619047,50.0,0.535841867111217,0.96359210065918,0.482356121607691,yes,NA,SRX5768479,0.06838547578767562,7,4,null
4T1_GSE130472_young_antiPDL1,4T1,GSE130472,unspecified,antiPDL1; young;,isotype; young;,Responders,7,10,1.8280023370479472,1.513979847296362,2.0041692956078,1.46919348992629,-0.3140224897515853,-0.34285714285714286,23.0,0.269847799259564,0.7001979018201664,0.482356121607691,yes,NA,SRX5768499,0.10847103776915645,1,4,null
4T1_GSE132529_antiPD1,4T1,GSE132529,unspecified,antiPD1,vehicle,Non-responders,3,3,4.6063511646402695,4.618043517048983,4.71476550712754,4.50430625408492,0.011692352408713802,-0.1111111111111111,4.0,1.0,1.0,0.999994158740348,no,NA,SRX6095888,0.22283985476612322,3,3,null
4T1_GSE137818_Brca1_KO_antiPD1,4T1,GSE137818,unspecified,antiPD1,no_treatment,Non-responders,5,5,4.13363209798346,4.004876780464524,4.13196896960058,4.13036998337883,-0.12875531751893554,-0.04,12.0,1.0,1.0,0.843155009346725,no,NA,SRX6885003,0.10216281579938347,5,5,null
4T1_GSE137818_Brca2_KO_antiPD1,4T1,GSE137818,unspecified,antiPD1,no_treatment,Responders,5,3,4.16174288745599,4.219715199100553,3.92360076832232,4.25409640102182,0.05797231164456296,0.2,9.0,0.7642282177641773,0.96359210065918,0.990658392275117,no,NA,SRX6884998,0.034381201921267035,3,5,null
E0771_GSE174053_high.fat.diet_antiPD1,E0771,GSE174053,unspecified,antiPD1; high.fat.diet;,isotype; high.fat.diet;,Non-responders,8,8,0.5992002718011491,0.6090158168355533,0.20331010716772252,0.42800483053675253,0.009815545034404183,0.4375,46.0,0.1605283605283605,0.49714285714285716,0.458870947942633,no,NA,SRX10815545,0.10945376164892096,0,1,null
EMT6_GSE107801_antiPDL1,EMT6,GSE107801,unspecified,antiPDL1;,isotype,Responders,10,10,0.14814397911812335,0.1931169513953266,0.1007223640994256,0.1503856554008045,0.04497297227720326,0.29,64.5,0.28973706282213785,0.7001979018201664,0.0223871957549608,yes,*,SRX3453182,0.03704732245665138,0,0,null
EMT6_GSE107801_antiTGFb_trap_antiPDL1,EMT6,GSE107801,unspecified,M7824 (anti_PDL1_TGFb_Trap),anti_PDL1(mut)_TGFb_Trap_control,Responders,10,10,0.09675844901627804,0.7434342386994304,0.07247072518300346,0.30734664094950903,0.6466757896831523,0.52,76.0,0.053902557169387175,0.41428571428571426,0.0223871957549608,yes,*,SRX3453192,0.4229915645668988,1,0,null
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,KPB25L,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Responders,4,3,1.9996642373180527,3.03820159527341,1.9400286385005052,3.35069624041099,1.0385373579553574,0.8333333333333334,11.0,0.11428571428571428,0.41428571428571426,0.564876481884934,no,NA,SRX5100823,0.4412496546128799,3,2,null
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,KPB25L,GSE124821,day7,antiPD1; antiCTLA4;,no_treatment,Responders,4,6,1.9267391105229015,2.2441641278254147,1.7015899288239875,2.5102673166574148,0.31742501730251327,0.16666666666666666,14.0,0.7619047619047619,0.96359210065918,0.955094155118968,no,NA,SRX5100619,0.35469463505066656,3,2,null
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,KPB25L,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Responders,6,4,3.3765350040923474,2.034580232234338,3.826553757452385,2.016311709252115,-1.3419547718580094,-0.5833333333333334,5.0,0.17142857142857143,0.49714285714285716,0.636481726367842,no,NA,SRX5100777,0.5218762445394107,2,5,null
KPB25L_GSE124821_day3_antiCTLA4&antiPD1,KPB25L,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Responders,5,5,3.029181049806108,3.091029893253914,3.14075395637055,3.08136689931215,0.06184884344780617,-0.04,12.0,1.0,1.0,0.740090616556492,no,NA,SRX5100595,0.1309473549905733,5,5,null
KPB25L_GSE124821_day7_antiCTLA4&antiPD1,KPB25L,GSE124821,day7,antiPD1; antiCTLA4;,no_treatment,Responders,4,4,2.9927194067279825,2.7426183942685527,2.94145343192011,2.9066161627199554,-0.25010101245942984,-0.25,6.0,0.6857142857142857,0.96359210065918,0.999861192789984,no,NA,SRX5100691,0.23653439780796415,4,4,null
KPB25L_GSE124821_end_antiCTLA4&antiPD1,KPB25L,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Responders,6,3,3.4126520817840915,3.78826684370036,3.5587643125654997,4.26169643735673,0.3756147619162684,0.3333333333333333,12.0,0.5476190476190476,0.96359210065918,0.999910030472736,no,NA,SRX5100855,0.6348564106994101,3,6,null
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,T11,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Responders,4,4,0.24153950286932843,0.3745505974293625,0.2359462401717129,0.34704131928100046,0.13301109456003404,0.5,12.0,0.34285714285714286,0.710204081632653,0.38390004317808,no,NA,SRX5100632,0.06775223193246016,0,0,null
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,T11,GSE124821,day7,antiPD1; antiCTLA4;,no_treatment,Responders,4,4,0.10494176922714632,0.3964290828959,0.01042709353438265,0.36234716212489304,0.2914873136687537,0.75,14.0,0.11021018267342113,0.41428571428571426,0.0586628136990498,no,NA,SRX5100657,0.07818531989936867,0,0,null
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,T11,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Responders,4,4,0.09251530525424052,0.344446811833236,0.02159111120164255,0.28336965461585195,0.2519315065789955,0.75,14.0,0.11428571428571428,0.41428571428571426,0.999300924725397,no,NA,SRX5100859,0.14364921972852268,0,0,null
