cohort,model,study,timepoint,icb_arm,baseline_arm,treated_status,n_baseline,n_treated,mean_baseline,mean_treated,median_baseline,median_treated,delta_mean,cliffs_delta,mwu_U,mwu_p,mwu_q_bh,tismo_p,tismo_p_reused_across_cohorts,tismo_star,influential_treated_sample,influential_mean_shift,n_treated_gt_2,n_baseline_gt_2,honest_call,mwu_q_bh_among_latest
4T1_GSE130472_old_antiCTLA4,4T1,GSE130472,unspecified,antiCTLA4; old;,isotype; old;,Non-responders,7,8,2.514297489980687,2.101033994252919,2.52574704290325,1.952722276979635,-0.4132634957277683,-0.6071428571428571,11.0,0.054079254079254076,0.41428571428571426,0.25528274159276,no,NA,SRX5768459,0.0724881485947444,4,6,null,0.2703962703962704
4T1_GSE130472_old_antiPDL1,4T1,GSE130472,unspecified,antiPDL1; old;,isotype; old;,Non-responders,7,8,2.514297489980687,1.9181712442543726,2.52574704290325,1.934024474690875,-0.5961262457263146,-0.5714285714285714,12.0,0.0721056721056721,0.41428571428571426,0.364372932141465,no,NA,SRX5768474,0.14047117276379528,4,6,null,0.2703962703962704
4T1_GSE130472_young_antiCTLA4,4T1,GSE130472,unspecified,antiCTLA4; young;,isotype; young;,Responders,7,12,1.8280023370479472,2.022329043801921,2.0041692956078,2.042084475065975,0.19432670675397357,0.19047619047619047,50.0,0.535841867111217,0.96359210065918,0.482356121607691,yes,NA,SRX5768479,0.06838547578767562,7,4,null,0.8037628006668255
4T1_GSE130472_young_antiPDL1,4T1,GSE130472,unspecified,antiPDL1; young;,isotype; young;,Responders,7,10,1.8280023370479472,1.513979847296362,2.0041692956078,1.46919348992629,-0.3140224897515853,-0.34285714285714286,23.0,0.269847799259564,0.7001979018201664,0.482356121607691,yes,NA,SRX5768499,0.10847103776915645,1,4,null,0.4828951047035631
4T1_GSE132529_antiPD1,4T1,GSE132529,unspecified,antiPD1,vehicle,Non-responders,3,3,4.6063511646402695,4.618043517048983,4.71476550712754,4.50430625408492,0.011692352408713802,-0.1111111111111111,4.0,1.0,1.0,0.999994158740348,no,NA,SRX6095888,0.22283985476612322,3,3,null,1.0
4T1_GSE137818_Brca1_KO_antiPD1,4T1,GSE137818,unspecified,antiPD1,no_treatment,Non-responders,5,5,4.13363209798346,4.004876780464524,4.13196896960058,4.13036998337883,-0.12875531751893554,-0.04,12.0,1.0,1.0,0.843155009346725,no,NA,SRX6885003,0.10216281579938347,5,5,null,1.0
4T1_GSE137818_Brca2_KO_antiPD1,4T1,GSE137818,unspecified,antiPD1,no_treatment,Responders,5,3,4.16174288745599,4.219715199100553,3.92360076832232,4.25409640102182,0.05797231164456296,0.2,9.0,0.7642282177641773,0.96359210065918,0.990658392275117,no,NA,SRX6884998,0.034381201921267035,3,5,null,0.9552852722052215
E0771_GSE174053_high.fat.diet_antiPD1,E0771,GSE174053,unspecified,antiPD1; high.fat.diet;,isotype; high.fat.diet;,Non-responders,8,8,0.5992002718011491,0.6090158168355533,0.20331010716772252,0.42800483053675253,0.009815545034404183,0.4375,46.0,0.1605283605283605,0.49714285714285716,0.458870947942633,no,NA,SRX10815545,0.10945376164892096,0,1,null,0.3673469387755102
EMT6_GSE107801_antiPDL1,EMT6,GSE107801,unspecified,antiPDL1;,isotype,Responders,10,10,0.14814397911812335,0.1931169513953266,0.1007223640994256,0.1503856554008045,0.04497297227720326,0.29,64.5,0.28973706282213785,0.7001979018201664,0.0223871957549608,yes,*,SRX3453182,0.03704732245665138,0,0,null,0.4828951047035631
EMT6_GSE107801_antiTGFb_trap_antiPDL1,EMT6,GSE107801,unspecified,M7824 (anti_PDL1_TGFb_Trap),anti_PDL1(mut)_TGFb_Trap_control,Responders,10,10,0.09675844901627804,0.7434342386994304,0.07247072518300346,0.30734664094950903,0.6466757896831523,0.52,76.0,0.053902557169387175,0.41428571428571426,0.0223871957549608,yes,*,SRX3453192,0.4229915645668988,1,0,null,0.2703962703962704
