sample,model,study,cohort,timepoint,responder,baseline,mouse_treatment,value,tismo_p,tismo_label,cell_line_label
SRX5100681,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.415135599206264,0.849890094522889,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100602,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.374838065736197,0.849890094522889,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100603,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.284587569053806,0.849890094522889,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100600,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.205701539452559,0.849890094522889,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100684,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.0175870213944899,0.849890094522889,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100641,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.400513884466004,nan,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100723,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0647187115500714,nan,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100858,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.386322057601766,nan,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100866,T11,GSE124821,T11_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.289467401587713,nan,NA,T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)
SRX5100790,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.927039302751443,0.994537411615673,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100788,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.533085859240762,0.994537411615673,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100789,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.293336344138479,0.994537411615673,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
