set	n	spearman_CLDN4_CD274	p	note
CCLE_all	1156	0.2027823691182935	3.4131309435748643e-12	cell-line mRNA; no immune infiltrate; not a loss-of-function experiment
CCLE_	583	0.2391712839834608	4.988154436003642e-09	
CCLE_blood	23	-0.25296442687747034	0.24418783117889697	
CCLE_breast	26	-0.17743589743589744	0.38585263819604465	
CCLE_central_nervous_system	34	0.29075630252100837	0.09526957828567852	
CCLE_colorectal	36	-0.21981981981981982	0.19767774107174652	
CCLE_fibroblast	22	0.07735742518351214	0.7322213135924378	
CCLE_gastric	31	0.23306451612903228	0.2070262082644391	
CCLE_liver	21	-0.125974025974026	0.5863643592427876	
CCLE_lung	119	0.21674262925509188	0.017901782815377697	
CCLE_lymphocyte	28	0.0005473453749315818	0.9977944709271015	
CCLE_ovary	30	0.17997775305895441	0.3412523548230721	
CCLE_pancreas	26	0.35521367521367525	0.07495254621410269	
CCLE_skin	25	0.15846153846153843	0.4493231524799267	
CCLE_upper_aerodigestive	30	-0.11546162402669634	0.5434694510154611	
CCLE_uterus	22	0.010728402032749858	0.9622067945199976	
