	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-3M-AB46-01	4599.4981	36.9079	5.0337	9210.7089	29336.5696
TCGA-3M-AB47-01	70.7416	225.2994	16.2198	2460.8256	28102.8533
TCGA-B7-5816-01	104.7061	207.4417	390.3417	2794.5257	8389.3477
TCGA-B7-5818-01	57.9158	445.5526	43.2098	7275.7004	13175.6768
TCGA-B7-A5TI-01	3151.9615	148.2054	17.3717	5383.2543	21910.0149
TCGA-B7-A5TJ-01	5090.9139	25.3309	6.1415	15138.237	25129.0145
TCGA-B7-A5TK-01	7611.3035	2913.2936	582.7608	7084.7142	10282.9746
TCGA-B7-A5TN-01	2499.4943	95.4517	21.1714	5367.4525	14878.3117
TCGA-BR-4187-01	549.543	359.5736	24.3582	2627.7264	10468.3757
TCGA-BR-4191-01	9407.117	480.3575	59.8171	10864.8682	15320.841
TCGA-BR-4201-01	4516.518	147.4143	104.91	5017.9151	10715.1822
TCGA-BR-4253-01	2858.8582	1986.6956	464.9694	3102.5984	10475.6109
TCGA-BR-4255-01	3808.7187	419.0948	18.58	5665.3929	6681.5983
TCGA-BR-4256-01	2328.0937	591.0682	152.8152	5331.6515	5295.6182
TCGA-BR-4257-01	3901.4553	345.4209	62.7661	22184.8204	19728.6031
TCGA-BR-4267-01	12194.8401	113.345	88.6428	6662.2522	12273.3665
TCGA-BR-4279-01	2386.8907	465.6528	55.7976	6772.2338	12993.8413
TCGA-BR-4280-01	21.8335	288.6026	85.8057	10441.8984	28291.8475
TCGA-BR-4292-01	674.8271	368.8629	180.4647	8858.0522	27256.2055
TCGA-BR-4294-01	33.4729	121.2071	36.5896	292.9127	14059.2731
TCGA-BR-4357-01	2864.2819	455.2682	136.3917	7236.857	26964.7942
TCGA-BR-4361-01	54.7362	401.7145	110.0068	7090.1662	33796.9623
TCGA-BR-4362-01	3036.2549	397.1534	406.9967	16418.4427	13570.5696
TCGA-BR-4363-01	152.5749	410.5171	72.4837	178.1035	8829.6251
TCGA-BR-4366-01	2070.9817	80.0097	11.5841	14302.6197	30917.3595
TCGA-BR-4367-01	3928.5726	293.0759	52.3958	4582.4541	11050.7682
TCGA-BR-4368-01	1207.3915	695.9852	68.1814	9693.812	6362.081
TCGA-BR-4369-01	390.2282	141.4223	25.7866	6627.9482	17488.8739
TCGA-BR-4370-01	73.2716	209.915	106.5964	23376.6434	18186.1595
TCGA-BR-4371-01	2073.4903	98.3404	44.3447	11650.3154	27923.1892
TCGA-BR-6452-01	1709.1433	304.0231	68.0154	4150.9947	16076.7457
TCGA-BR-6453-01	470.6842	579.7914	22.2458	10760.6085	13874.7092
TCGA-BR-6454-01	2736.3574	1291.702	52.4705	20303.001	16912.8865
TCGA-BR-6455-01	5217.779	930.8433	39.3511	5894.1959	9482.6998
