	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-04-1348-01	7957.0165	508.592	29.7344	11836.1052	10826.7126
TCGA-04-1357-01	2538.0555	1513.7485	72.6669	12366.6122	5839.1441
TCGA-04-1362-01	15611.5873	41.4976	4.1485	9681.1453	9504.6086
TCGA-04-1364-01	4612.3338	6.4407	2.0295	12155.9223	11051.8583
TCGA-04-1365-01	5183.4481	304.944	14.8931	11679.8404	12553.9154
TCGA-04-1514-01	2007.0571	64.3204	24.5665	13769.6746	8092.7162
TCGA-04-1519-01	6715.1397	17.5568	2.5636	11507.5248	11311.5082
TCGA-09-0364-01	544.9881	13.7099	0.8481	5517.1494	12426.5745
TCGA-09-0366-01	18387.7048	102.3262	16.9754	22538.3995	12894.0273
TCGA-09-0367-01	22097.9326	56.5354	1.6162	35477.5683	17960.592
TCGA-09-0369-01	289.7294	19.8981	0.8263	8478.9302	18293.6993
TCGA-09-1659-01	6878.1706	93.5688	6.9731	17416.8989	20286.8951
TCGA-09-1662-01	4628.08	96.1196	19.8453	5509.0963	10293.9744
TCGA-09-1666-01	6363.1534	200.2855	60.7937	7423.1188	9018.6455
TCGA-09-1667-01	4220.5841	264.0628	71.0172	12231.3795	11305.9953
TCGA-09-1668-01	5280.8726	244.1913	64.3665	25869.4966	8007.779
TCGA-09-1669-01	1441.7368	250.0303	19.0435	6857.8443	12917.35
TCGA-09-1670-01	14949.8279	75.8624	27.9674	8177.2395	8206.0739
TCGA-09-1673-01	1034.4126	39.6027	11.3791	2939.5088	186.5713
TCGA-09-1674-01	1295.1663	10.5128	4.9071	18674.0281	13941.2529
TCGA-09-2044-01	1737.436	186.2591	19.4965	7280.857	9591.4786
TCGA-09-2045-01	26567.0008	72.1615	30.7709	16168.9944	13230.9353
TCGA-09-2051-01	6388.7524	91.5925	29.5246	6618.641	10422.5475
TCGA-09-2054-01	45.4797	55.2287	11.5301	709.2097	838.7197
TCGA-10-0928-01	1959.8092	9.3381	5.3461	8145.6083	9931.4607
TCGA-10-0936-01	3872.4757	97.3069	12.6921	15633.1371	5107.8387
TCGA-13-0730-01	1339.5397	280.8196	8.6969	10731.8278	10185.6496
TCGA-13-0799-01	9635.2334	45.0526	34.2104	10232.4999	10188.6331
TCGA-13-0800-01	7475.589	74.3162	4.5754	8599.2006	18372.3064
TCGA-13-0801-01	9470.6297	180.5211	20.2787	19775.8149	19913.3168
TCGA-13-0890-01	1182.9627	122.0804	14.9826	9459.847	14718.633
TCGA-13-0893-01	7062.1544	183.2233	22.3604	17303.2518	9447.3785
TCGA-13-0897-01	20037.9905	122.1886	19.4537	19936.7842	21767.3288
