	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-AA-3532-01	345.3641	137.9098	54.0575	12949.4632	25842.8706
TCGA-AA-3534-01	414.4362	53.2318	12.6958	11548.7705	33861.1787
TCGA-AA-3538-01	240.6637	11.3127	5.6342	15844.2632	23351.8592
TCGA-AA-3542-01	801.572	28.4714	8.3533	34626.4248	12691.2788
TCGA-AA-3543-01	2152.5934	732.727	66.6113	12571.2737	20851.0335
TCGA-AA-3544-01	844.5905	215.9738	33.4727	24615.0793	25530.2778
TCGA-AA-3548-01	4567.034	178.4755	20.5218	16673.3684	23283.2252
TCGA-AA-3549-01	89.9729	87.0431	31.745	19940.5678	25971.0575
TCGA-AA-3552-01	5030.6513	164.0676	27.3023	18212.3818	23364.0075
TCGA-AA-3553-01	605.1246	185.3992	35.3245	19204.2262	19851.7736
TCGA-AA-3555-01	8.7178	41.3023	26.2638	8750.4784	24948.0602
TCGA-AA-3560-01	169.4209	52.8178	20.3188	10713.0659	16289.2858
TCGA-AA-3561-01	67.6613	23.8275	12.6319	13767.7884	25257.8278
TCGA-AA-3655-01	1477.05	100.603	30.1344	15848.9	21825.7
TCGA-AA-3660-01	648.309	30.9179	13.0435	16359.4	19698.6
TCGA-AA-3663-01	17.5824	68.6813	25.2747	11375.3	25646.7
TCGA-AA-3664-01	31.5162	106.2327	26.4578	7355.5311	18168.4841
TCGA-AA-3666-01	362.4389	51.2844	38.0113	13801.747	25182.8115
TCGA-AA-3667-01	163.5285	42.2344	8.3168	61126.1036	11271.2862
TCGA-AA-3673-01	873.1436	103.8991	13.9954	13644.8793	25550.992
TCGA-AA-3675-01	256.637	33.387	11.6653	8795.66	13953.7
TCGA-AA-3678-01	275.3246	95.1672	32.1589	15187.9935	26106.0854
TCGA-AA-3679-01	67.662	47.2008	12.6319	25364.7648	32807.6114
TCGA-AA-3680-01	1780.3173	202.9922	18.9628	20400.5118	24451.2233
TCGA-AA-3681-01	101.717	178.6432	37.2142	14702.7166	20765.1904
TCGA-AA-3684-01	289.7213	94.497	9.1358	65075.711	15706.3584
TCGA-AA-3685-01	58.9942	250.967	44.4874	28040.1	23512.6
TCGA-AA-3688-01	68.4963	75.3875	7.4859	12564.7379	28672.1212
TCGA-AA-3692-01	255.2377	95.645	14.4956	17514.7532	27729.4849
TCGA-AA-3693-01	46.0303	77.8805	4.7799	15866.073	36053.6051
TCGA-AA-3695-01	271.1335	2.2085	140.7395	567.3002	494.5887
TCGA-AA-3696-01	107.8977	32.005	11.2595	9068.8623	14024.8627
TCGA-AA-3710-01	2660.7121	843.9522	149.317	11756.8891	16136.524
TCGA-AA-3712-01	228.523	76.7366	15.6003	27115.8	22842.2
TCGA-AA-3713-01	19.3033	313.1	69.8781	17879.5	18961.3
TCGA-AA-3715-01	99.2682	265.3955	152.2647	16676.7849	5055.3745
TCGA-AA-3811-01	24.0933	172.3141	29.0154	18427.4551	14963.4473
TCGA-AA-3812-01	2265.8223	154.6915	5.1682	81053.0149	16582.0644
TCGA-AA-3814-01	238.4544	180.6788	25.7216	32261.3348	25307.3986
TCGA-AA-3818-01	57.1703	229.1833	7.1831	18277.1069	21949.1385
TCGA-AA-3819-01	64.435	32.9457	10.1579	12852.3376	25019.1684
TCGA-AA-3821-01	181.8538	94.0607	17.0751	7857.2387	21516.4961
TCGA-AA-3831-01	89.5257	104.3035	11.6887	13102.0523	24806.9939
TCGA-AA-3833-01	530.1801	275.8781	22.7844	19110.9701	15667.9454
TCGA-AA-3837-01	48.2015	149.2369	-0.1123	20809.1108	24783.4611
TCGA-AA-3841-01	416.5309	110.6413	5.5876	62885.414	9301.1071
TCGA-AA-3842-01	210.0332	171.9245	12.7605	11037.0061	23316.6168
TCGA-AA-3844-01	223.3546	50.6767	34.9954	12054.4806	21472.8009
TCGA-AA-3845-01	10.5812	255.851	124.281	9812.1295	19894.7153
TCGA-AA-3846-01	141.8269	89.753	19.6608	15889.727	29257.1384
TCGA-AA-3848-01	220.7135	65.2987	6.8078	42337.1439	10475.7491
TCGA-AA-3850-01	506.0623	115.4926	26.5482	12142.929	27682.8432
TCGA-AA-3851-01	2992.9664	127.2577	25.9764	14552.1051	36437.2708
TCGA-AA-3852-01	317.0042	124.3547	16.148	19950.2447	15465.8875
TCGA-AA-3854-01	432.36	37.7694	22.1561	15722.8598	22443.3365
TCGA-AA-3855-01	39.4069	114.0388	19.5104	23395.7043	25766.6144
TCGA-AA-3856-01	351.4129	235.7327	33.982	20438.2005	22805.9464
TCGA-AA-3858-01	157.7823	87.236	7.774	16025.619	15420.3277
TCGA-AA-3864-01	76.6872	140.8971	20.2225	8449.8755	25436.2643
TCGA-AA-3866-01	62.9431	182.8418	68.0238	12150.3797	34158.2493
TCGA-AA-3867-01	259.5268	44.3529	5.1277	17395.5977	26175.1859
TCGA-AA-3869-01	769.5831	160.6269	28.651	11931.198	22634.649
TCGA-AA-3870-01	7309.8482	140.802	32.857	50705.1237	12814.0318
TCGA-AA-3872-01	5580.4699	93.1744	13.5146	30045.0591	19014.9951
TCGA-AA-3875-01	95.4556	207.8214	27.1608	13900.9187	36479.6613
TCGA-AA-3877-01	24.8345	257.0815	58.9677	10282.661	15982.592
TCGA-AA-3930-01	733.3483	109.7892	17.5404	8969.1202	18903.5023
TCGA-AA-3939-01	1597.36	120.7849	9.3314	20139.2164	26057.9268
TCGA-AA-3941-01	2807.9925	46.7301	5.5371	16493.0952	31580.4826
TCGA-AA-3947-01	13.1334	64.6732	48.9321	1481.1079	24190.9384
TCGA-AA-3949-01	252.6432	572.1728	153.2394	8885.4689	29202.9598
TCGA-AA-3950-01	18.0838	254.4849	38.8763	11927.2427	21545.1555
TCGA-AA-3952-01	255.6677	38.4801	3.4253	20952.5462	25431.8438
TCGA-AA-3955-01	25.8353	34.6877	11.4037	8310.9734	32459.0933
TCGA-AA-3956-01	1048.9542	109.7195	13.3018	12901.8456	33151.3217
TCGA-AA-3966-01	10222.3756	310.4417	78.6799	27119.4804	16256.909
TCGA-AA-3968-01	97.4905	137.0553	17.3912	14078.6874	28949.9877
TCGA-AA-3971-01	86.0858	258.9802	25.6813	14900.0485	35353.2353
TCGA-AA-3973-01	321.1962	56.9097	17.467	9903.0348	25860.5292
TCGA-AA-3975-01	254.993	56.5827	11.7195	24763.6431	20737.1938
TCGA-AA-3976-01	416.0307	109.0249	13.0309	9802.5015	25151.1037
TCGA-AA-3977-01	475.0796	132.069	19.8851	12313.0414	37508.7804
TCGA-AA-3979-01	3149.9792	13.1225	35.6519	8316.2604	26406.7297
TCGA-AA-3980-01	90.8561	472.0592	31.579	13036.7121	25198.2954
TCGA-AA-3982-01	152.5886	295.7722	6.5633	17129.1248	29940.3656
TCGA-AA-3984-01	405.3869	168.5293	38.5518	16711.2093	23307.8982
TCGA-AA-3986-01	511.959	409.1064	38.0725	10904.5503	20335.5378
TCGA-AA-3989-01	46.7045	216.275	11.9348	15996.5319	29312.8563
TCGA-AA-3994-01	1198.4424	80.8726	16.5533	20234.8593	14853.6934
TCGA-AA-A004-01	151.2156	24.9104	-0.1123	37885.976	5994.5202
TCGA-AA-A00A-01	12.1828	149.9419	31.4774	12008.7553	24445.033
TCGA-AA-A00D-01	3010.9601	473.355	46.0551	8068.0242	20197.6306
TCGA-AA-A00E-01	10.3172	113.5672	37.3179	11722.3276	18018.976
TCGA-AA-A00F-01	82.5897	46.8131	13.2341	20408.3604	23714.2347
