	CLDN4	CD274	TACSTD2	lineage	LINEAGE
127399_SOFT_TISSUE	0.7106	1.3347	0.0547		
143B_BONE	0.4965	8.3088	0.8684		bone
22RV1_PROSTATE	42.9997	0.0938	0.6268		
2313287_STOMACH	57.6681	1.0672	20.9238		
253JBV_URINARY_TRACT	4.8595	0.7097	0.2555		urinary_tract
253J_URINARY_TRACT	2.5415	0.0983	0.2174		urinary_tract
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.4767	0.6078	0.2164		
5637_URINARY_TRACT	77.5972	22.1609	205.0817		urinary_tract
59M_OVARY	0.5431	1.1305	1.2206		ovary
639V_URINARY_TRACT	0.1928	2.9374	3.0879		
647V_URINARY_TRACT	109.513	32.9444	415.286		
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1618	0.462	0.2244		
769P_KIDNEY	48.5831	1.0246	0.1552		
786O_KIDNEY	25.6561	5.4072	0.1658		
8305C_THYROID	0.3772	17.8035	0.1826		
8505C_THYROID	1.1266	48.1449	7.7517		
8MGBA_CENTRAL_NERVOUS_SYSTEM	7.3344	2.6375	0.1713		
A101D_SKIN	1.8918	0.2122	0.2087		skin
A1207_CENTRAL_NERVOUS_SYSTEM	1.3068	3.5034	0.0852		
A172_CENTRAL_NERVOUS_SYSTEM	4.0383	1.5671	0.1085		
A204_SOFT_TISSUE	0.7372	0.3342	0.6692		soft_tissue
A2058_SKIN	0.6859	1.3178	0.1092		skin
A253_SALIVARY_GLAND	18.4939	0.283	99.5106		upper_aerodigestive
A2780_OVARY	0.2677	0.2795	0.169		
A375_SKIN	3.8608	0.8211	0.1145		
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4912	0.0886	0.2011		lymphocyte
A427_LUNG	0.3185	0.1614	0.137		
A498_KIDNEY	10.8349	0.6422	0.1861		kidney
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	30.7811	0.5449	0.2196		lymphocyte
A549_LUNG	0.9532	1.6654	0.1119		
A673_BONE	0.183	0.0481	0.1801		bone
A704_KIDNEY	3.4001	1.2659	0.1895		kidney
ABC1_LUNG	97.562	0.4861	107.8872		
ACCMESO1_PLEURA	4.338	0.4736	0.4112		lung
ACHN_KIDNEY	0.8135	2.2296	0.1817		
AGS_STOMACH	45.9125	0.5617	61.8096		
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.225	0.3809	0.237		
AM38_CENTRAL_NERVOUS_SYSTEM	1.4502	21.6649	0.1247		central_nervous_system
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4654	0.2998	0.8648		blood
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5091	0.0714	0.1335		
AN3CA_ENDOMETRIUM	0.6241	0.7901	0.2485		
ANGMCSS_CENTRAL_NERVOUS_SYSTEM	3.2782	2.8399	0.2133		
ASPC1_PANCREAS	193.7545	0.0415	0.1068		
AU565_BREAST	164.6507	0.9142	87.0776		breast
BC3C_URINARY_TRACT	0.6855	1.1814	34.6481		
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1808	0.0239	0.4406		lymphocyte
BCPAP_THYROID	15.7294	13.8365	25.6613		
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.6465	16.9663	3.3242		
BEN_LUNG	115.1037	0.3732	0.3707		
BFTC905_URINARY_TRACT	140.6446	1.205	286.4228		
BFTC909_KIDNEY	0.3497	107.8366	4.8025		
BHT101_THYROID	58.2658	1.4792	21.4405		
BHY_UPPER_AERODIGESTIVE_TRACT	28.7812	10.3689	495.2035		upper_aerodigestive
BICR16_UPPER_AERODIGESTIVE_TRACT	26.5426	0.6605	520.9978		upper_aerodigestive
BICR18_UPPER_AERODIGESTIVE_TRACT	89.5206	0.0589	63.2562		upper_aerodigestive
BICR22_UPPER_AERODIGESTIVE_TRACT	103.769	0.854	1572.2264		upper_aerodigestive
BICR31_UPPER_AERODIGESTIVE_TRACT	52.2894	0.294	588.4801		upper_aerodigestive
BICR56_UPPER_AERODIGESTIVE_TRACT	138.8708	2.0176	1078.6167		upper_aerodigestive
BICR6_UPPER_AERODIGESTIVE_TRACT	58.4339	0.4381	553.2219		upper_aerodigestive
BICR78_UPPER_AERODIGESTIVE_TRACT	20.4584	0.1918	476.2213		
BIN67_OVARY	0.3853	0.0226	0.1495		
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2445	0.0264	0.4292		lymphocyte
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3281	0.0447	0.3896		lymphocyte
BLUE1_HAEMATOPOIETIC_AND_LYMPHOID	0.0171	0.0078	0.0		
BT12_SOFT_TISSUE	0.2836	0.0718	0.0774		
BT16_SOFT_TISSUE	0.1394	0.1156	0.0		
BT20_BREAST	28.869	2.2876	82.9198		breast
BT474_BREAST	57.6153	0.015	13.5926		
BT483_BREAST	227.5915	0.3516	88.1405		
BT549_BREAST	0.3143	1.6238	0.2209		
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2808	1.8486	0.351		
BXPC3_PANCREAS	105.8079	2.517	551.7062		pancreas
C2BBE1_LARGE_INTESTINE	65.8214	0.0823	15.8194		colorectal
C32_SKIN	0.3002	0.0904	0.2117		
C33A_CERVIX	0.2075	0.0133	0.1587		
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0542	0.1308	0.0068		
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3794	0.1156	0.3392		lymphocyte
CACO2_LARGE_INTESTINE	95.7976	0.5759	16.6312		
CADOES1_BONE	0.5368	0.0059	0.3924		
CAKI1_KIDNEY	2.5382	0.3528	2.0511		kidney
CAKI2_KIDNEY	44.2113	4.421	0.3663		
CAL120_BREAST	1.8688	32.6801	140.7502		
CAL12T_LUNG	93.0112	13.5421	376.4922		lung
CAL148_BREAST	164.7714	0.0284	3.6386		
CAL27_UPPER_AERODIGESTIVE_TRACT	19.5927	4.1535	496.2829		upper_aerodigestive
CAL29_URINARY_TRACT	228.6698	1.8816	500.2596		
CAL33_UPPER_AERODIGESTIVE_TRACT	39.1368	3.5023	676.8896		upper_aerodigestive
CAL51_BREAST	1.099	0.0853	0.154		
