	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-05-4244-01	8024.78	141.024	261.105	16118.3	12174.9
TCGA-05-4249-01	5092.07	120.734	67.6109	15705.4	10366.0
TCGA-05-4250-01	6150.05	961.95	404.211	28839.6	11732.1
TCGA-05-4382-01	8562.78	169.188	117.259	14863.4	9151.71
TCGA-05-4384-01	4045.82	114.844	32.3763	6038.48	4981.67
TCGA-05-4389-01	5737.58	1194.63	103.691	8427.85	13546.3
TCGA-05-4390-01	4457.93	77.9179	54.9258	12511.6	9653.52
TCGA-05-4395-01	14732.8	199.719	59.5936	13995.9	7288.95
TCGA-05-4396-01	5914.33	69.7498	23.5027	7880.21	16739.2
TCGA-05-4397-01	4587.3	121.48	35.3396	3595.36	2847.05
TCGA-05-4398-01	9609.18	321.662	651.588	23663.5	5630.49
TCGA-05-4402-01	11973.5	122.323	45.8411	13191.1	10018.7
TCGA-05-4403-01	11078.1	139.283	47.2616	13129.3	13527.7
TCGA-05-4405-01	5151.96	254.45	79.5157	16387.5	7016.6
TCGA-05-4410-01	8428.13	668.96	107.034	13765.3	7071.87
TCGA-05-4415-01	237.333	431.556	63.1111	212.444	2320.89
TCGA-05-4417-01	2624.11	456.202	79.4223	4603.95	12080.5
TCGA-05-4418-01	3770.67	489.904	129.622	5780.47	13204.5
TCGA-05-4420-01	15532.5	98.6064	19.9842	12179.6	39676.6
TCGA-05-4422-01	4005.78	1111.72	54.4901	10227.4	11638.1
TCGA-05-4424-01	3726.88	319.828	42.4214	5089.13	9269.78
TCGA-05-4425-01	7090.1	197.538	137.661	4867.38	8299.38
TCGA-05-4426-01	17275.1	107.299	292.553	6585.55	5792.07
TCGA-05-4427-01	5824.92	294.147	292.634	9771.95	10310.3
TCGA-05-4430-01	4226.79	304.625	70.8134	15287.4	6812.12
TCGA-05-4432-01	3273.15	365.157	58.8405	7742.43	12224.1
TCGA-05-4433-01	7105.79	428.926	56.1983	9396.69	11065.3
TCGA-05-4434-01	16521.1	354.737	260.909	12225.9	5528.37
TCGA-05-5423-01	5910.62	244.689	49.0842	17857.9	9581.68
TCGA-05-5425-01	3740.95	894.796	107.466	11296.4	18280.0
TCGA-05-5428-01	11420.1	183.126	62.7861	20240.7	24969.7
TCGA-05-5429-01	15710.8	90.4872	6.9606	18637.3	16926.5
TCGA-05-5715-01	11469.1	122.584	21.0814	20944.8	13959.8
TCGA-35-3615-01	1031.19	171.54	21.7674	6236.52	7867.45
TCGA-35-4122-01	9825.13	878.894	271.357	12308.5	12925.6
TCGA-35-4123-01	5827.41	3308.25	534.395	12904.1	12918.1
TCGA-35-5375-01	14917.9	669.256	78.8013	9173.14	9853.5
TCGA-38-4625-01	303.577	381.864	1397.07	5642.64	15442.7
TCGA-38-4626-01	2841.69	235.733	154.969	5085.91	3164.3
TCGA-38-4627-01	6444.36	157.242	41.9555	6927.76	6198.1
TCGA-38-4628-01	10298.4	34.134	25.6005	19649.5	8384.01
TCGA-38-4631-01	5053.06	190.696	14.1257	8547.59	24155.6
TCGA-38-4632-01	8242.4	386.924	147.582	14686.3	12844.2
TCGA-38-6178-01	5924.34	78.0031	19.5008	7581.12	10424.3
TCGA-38-7271-01	6949.13	1444.95	81.2453	13300.7	5000.0
TCGA-38-A44F-01	6934.36	323.059	27.3973	5566.21	8982.31
TCGA-44-2655-01	7958.82	135.44	29.5222	7302.6	12830.2
TCGA-44-2656-01	11546.7	1443.17	448.178	12259.9	10330.6
TCGA-44-2657-01	7768.46	1412.08	65.1007	15990.6	4188.59
TCGA-44-2659-01	5094.15	728.996	53.9392	7800.59	8236.35
TCGA-44-2662-01	10495.4	74.6925	403.268	15646.6	11987.8
TCGA-44-2665-01	4623.34	107.211	162.714	5106.74	4010.91
TCGA-44-2666-01	4092.59	243.979	135.961	8008.34	7967.89
TCGA-44-2668-01	7658.55	762.061	326.714	6919.41	7638.62
TCGA-44-3396-01	7714.03	692.549	303.871	17235.2	6765.94
TCGA-44-3398-01	5168.31	283.512	214.561	4425.7	10542.6
TCGA-44-3918-01	740.275	1077.42	699.466	11016.0	8441.65
TCGA-44-3919-01	8432.52	551.545	171.707	10774.0	9040.98
TCGA-44-4112-01	1595.98	267.872	76.3052	11855.8	9783.13
TCGA-44-5643-01	13063.7	297.465	28.7324	4492.39	7610.7
TCGA-44-5644-01	1493.6	112.386	7.98	4860.52	13741.6
TCGA-44-5645-01	12115.3	230.063	57.9461	7690.76	6210.56
TCGA-44-6145-01	6889.45	1379.03	229.311	4264.06	7267.21
TCGA-44-6146-01	11316.3	108.754	26.6245	2540.61	11215.7
TCGA-44-6148-01	7517.34	147.315	43.9266	4077.14	4453.19
TCGA-44-6774-01	2766.73	112.454	46.4684	4996.28	7016.73
TCGA-44-6775-01	10365.5	145.381	77.2337	7071.18	6170.12
TCGA-44-6776-01	4240.66	95.546	17.9598	7657.33	10023.7
TCGA-44-6777-01	3819.04	208.311	194.634	5693.32	4660.18
TCGA-44-6778-01	973.35	936.548	307.741	2509.52	3479.7
TCGA-44-6779-01	14660.3	975.493	137.079	5294.28	4719.67
TCGA-44-7659-01	4118.09	143.498	68.012	11104.6	6520.93
TCGA-44-7660-01	18878.4	105.983	74.0196	5373.57	8798.23
TCGA-44-7661-01	3002.19	272.954	1002.19	8836.98	6816.99
TCGA-44-7662-01	9343.1	245.061	140.289	12942.7	5840.62
TCGA-44-7667-01	799.051	83.5674	25.6362	4503.98	12255.4
TCGA-44-7669-01	1103.15	318.339	92.3122	3758.73	7853.9
TCGA-44-7670-01	4201.25	183.94	42.3526	11057.1	20157.0
TCGA-44-7671-01	4115.95	54.5096	19.2202	6406.62	13109.7
TCGA-44-7672-01	4297.54	466.224	144.865	11101.5	9060.52
TCGA-44-8117-01	29915.3	178.06	109.843	20607.6	14991.8
TCGA-44-8119-01	2709.02	243.572	57.6051	4194.38	10531.5
TCGA-44-8120-01	5739.46	137.088	43.4532	13246.5	12349.7
TCGA-44-A479-01	647.56	1000.57	115.778	1896.71	10459.7
TCGA-44-A47A-01	7607.98	153.531	70.6244	5745.14	8406.86
TCGA-44-A47B-01	3692.79	523.511	18.8088	4600.09	10011.6
TCGA-44-A47G-01	9078.83	908.515	202.532	6915.42	15013.2
TCGA-44-A4SS-01	13958.5	599.259	63.6921	19555.7	10922.9
