	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-3C-AAAU-01	4833.15	18.6116	12.7524	2098.97	4639.8
TCGA-3C-AALI-01	3310.49	686.242	34.2577	8245.79	8899.4
TCGA-3C-AALJ-01	3869.45	491.387	9.0662	5814.14	9473.25
TCGA-3C-AALK-01	8052.13	155.151	12.8258	7729.42	4778.65
TCGA-4H-AAAK-01	7071.06	102.553	17.4468	3595.32	1263.83
TCGA-5L-AAT0-01	6564.01	383.047	8.2123	2900.13	3762.43
TCGA-5T-A9QA-01	4265.17	123.954	6.2762	4814.85	5762.55
TCGA-A1-A0SB-01	4320.31	28.8321	2.703	7463.9	3497.24
TCGA-A1-A0SD-01	7147.47	87.3377	26.7968	6291.29	4580.93
TCGA-A1-A0SE-01	7239.49	239.901	13.8215	4668.7	4362.98
TCGA-A1-A0SF-01	13259.5	678.591	14.5657	6094.9	5310.06
TCGA-A1-A0SG-01	11312.4	118.081	16.2002	5800.02	3058.95
TCGA-A1-A0SH-01	10079.4	60.3125	11.918	2112.02	3237.73
TCGA-A1-A0SI-01	10212.2	583.579	48.8523	5896.12	4321.95
TCGA-A1-A0SJ-01	10729.9	181.436	10.2423	8787.93	4226.06
TCGA-A1-A0SK-01	183.107	45.0678	3.4668	1673.81	9776.55
TCGA-A1-A0SM-01	15649.9	72.601	15.7828	4509.79	3279.67
TCGA-A1-A0SN-01	7160.68	529.185	34.9583	3469.21	5406.35
TCGA-A1-A0SO-01	65.1552	87.3241	6.2181	2906.3	10224.0
TCGA-A1-A0SP-01	3380.52	119.299	18.9712	6790.22	8247.35
TCGA-A1-A0SQ-01	599.899	64.9521	9.6823	3132.22	5263.94
TCGA-A2-A04N-01	8098.65	103.407	10.6973	6354.2	4519.41
TCGA-A2-A04P-01	18235.0	210.062	28.0083	9526.97	8768.15
TCGA-A2-A04Q-01	3966.06	1766.68	148.862	10463.9	2499.04
TCGA-A2-A04R-01	4816.81	53.9708	10.8666	6456.94	6785.48
TCGA-A2-A04T-01	4448.93	389.116	44.1624	5128.05	10919.9
TCGA-A2-A04U-01	12415.1	91.96	2.5977	5618.39	17713.5
TCGA-A2-A04V-01	2996.13	68.4457	6.5186	5274.39	4098.59
TCGA-A2-A04W-01	23216.5	65.9192	7.0242	16246.4	7499.12
TCGA-A2-A04X-01	2237.0	464.63	49.7432	2879.34	3821.93
TCGA-A2-A04Y-01	13193.0	491.134	15.7243	5601.87	7411.84
TCGA-A2-A0CK-01	6579.8	243.232	7.6768	5536.57	3644.44
TCGA-A2-A0CL-01	2382.13	1843.59	123.054	2505.56	2005.56
TCGA-A2-A0CM-01	7849.08	731.049	180.455	5878.39	5424.71
TCGA-A2-A0CO-01	12503.8	551.436	43.8642	9719.06	1394.05
TCGA-A2-A0CP-01	4898.79	135.389	10.0536	3571.72	2853.89
TCGA-A2-A0CQ-01	7729.88	88.2537	11.0764	5092.27	4142.21
TCGA-A2-A0CR-01	9948.95	1566.83	8.4717	5549.88	2156.28
TCGA-A2-A0CS-01	10164.7	35.9945	7.8449	3767.42	3758.65
TCGA-A2-A0CT-01	7630.43	41.388	11.2876	3903.85	3921.82
TCGA-A2-A0CU-01	7943.49	89.7289	23.2913	10486.8	2538.37
TCGA-A2-A0CV-01	10270.3	499.99	23.2087	12741.0	4384.73
TCGA-A2-A0CW-01	7419.17	154.62	33.0507	9430.09	10058.1
TCGA-A2-A0CX-01	12899.6	129.553	39.1484	2820.3	7249.32
TCGA-A2-A0CZ-01	3305.71	334.286	20.9524	2705.24	3800.0
TCGA-A2-A0D0-01	9944.4	334.432	28.0066	3682.87	14799.8
TCGA-A2-A0D1-01	3022.48	99.8234	6.5921	4824.48	8045.67
TCGA-A2-A0D2-01	7341.71	298.651	17.372	8498.24	5069.67
TCGA-A2-A0D3-01	2858.29	315.331	24.1818	3748.83	4488.15
TCGA-A2-A0D4-01	7021.47	29.2872	8.2537	4985.21	8524.7
TCGA-A2-A0EM-01	5963.78	58.2386	23.7926	1571.38	3314.63
TCGA-A2-A0EN-01	7997.16	760.879	52.8388	6673.22	2378.08
TCGA-A2-A0EO-01	7725.25	248.565	19.01	5854.38	2302.37
TCGA-A2-A0EP-01	4872.1	640.2	81.3954	4514.62	770.765
TCGA-A2-A0EQ-01	2807.05	765.181	86.6321	4836.06	3325.6
TCGA-A2-A0ER-01	3401.72	75.942	8.7394	3971.59	3470.43
TCGA-A2-A0ES-01	13751.6	250.766	18.9468	4877.5	3873.69
TCGA-A2-A0ET-01	1279.25	223.998	13.0011	2139.76	4622.7
TCGA-A2-A0EU-01	6705.77	98.9356	27.0186	7085.62	2599.74
TCGA-A2-A0EV-01	14414.4	251.228	31.5789	5941.4	3676.84
TCGA-A2-A0EW-01	8161.88	366.277	31.5267	4556.5	2588.38
TCGA-A2-A0EX-01	7413.31	125.219	10.0701	2929.51	2552.98
TCGA-A2-A0EY-01	1938.16	199.049	19.0267	5157.34	4597.88
TCGA-A2-A0ST-01	3255.69	1545.5	160.838	5083.09	2666.24
TCGA-A2-A0SU-01	7157.12	198.45	6.0267	6789.5	5863.54
TCGA-A2-A0SV-01	3813.42	73.1403	21.0982	7119.93	4292.49
TCGA-A2-A0SW-01	9621.72	1089.36	36.8531	4740.88	6148.32
TCGA-A2-A0SX-01	11422.0	703.918	75.7868	10262.7	3855.81
TCGA-A2-A0SY-01	5540.42	243.554	21.6028	2587.8	4106.62
TCGA-A2-A0T0-01	8362.88	76.0142	11.4677	10029.6	8964.44
TCGA-A2-A0T1-01	412.74	763.68	68.1657	9494.13	4074.96
TCGA-A2-A0T2-01	34506.9	272.403	5.35	24600.1	12273.3
TCGA-A2-A0T3-01	4685.99	132.823	10.9384	1967.65	6646.14
TCGA-A2-A0T4-01	4143.97	343.582	20.4978	6359.69	5101.51
TCGA-A2-A0T5-01	3790.28	53.2507	13.8598	4956.32	4635.36
TCGA-A2-A0T6-01	3297.46	354.595	39.601	1821.64	1854.59
TCGA-A2-A0T7-01	12644.8	255.073	19.3544	14880.6	4665.56
TCGA-A2-A0YC-01	3833.14	116.743	25.3417	1919.99	3315.77
TCGA-A2-A0YD-01	6173.12	312.747	85.6752	3922.38	1876.8
TCGA-A2-A0YE-01	6348.23	38.0228	10.7731	7581.43	10996.2
TCGA-A2-A0YF-01	8446.07	52.3379	18.0659	4048.88	9103.08
TCGA-A2-A0YG-01	7981.62	57.4241	12.7974	3898.28	8560.79
TCGA-A2-A0YH-01	3824.74	265.721	69.8891	5451.71	1799.38
TCGA-A2-A0YI-01	22572.7	666.667	27.4299	5849.43	3985.69
TCGA-A2-A0YJ-01	17731.9	42.3108	21.5622	10045.6	17910.5
TCGA-A2-A0YK-01	6886.9	1184.42	58.8778	2653.11	2502.13
TCGA-A2-A0YL-01	4432.45	419.316	45.167	3727.08	3491.95
TCGA-A2-A0YM-01	10267.1	156.378	39.1682	6379.12	7425.47
TCGA-A2-A0YT-01	8708.79	212.258	15.6429	8289.12	7359.18
TCGA-A2-A1FV-01	2465.8	53.5646	3.9565	3144.18	2993.53
TCGA-A2-A1FW-01	2586.45	87.8273	14.2423	3112.83	5482.38
TCGA-A2-A1FX-01	1047.19	191.727	14.6232	3752.76	1767.52
TCGA-A2-A1FZ-01	5811.34	149.359	14.4808	1817.13	3099.3
TCGA-A2-A1G0-01	7346.81	261.012	25.9698	5232.41	1714.66
TCGA-A2-A1G1-01	12016.8	375.782	103.91	2013.33	7238.82
TCGA-A2-A1G4-01	5146.97	128.537	15.8959	5050.77	5158.75
TCGA-A2-A1G6-01	14612.4	436.291	18.6791	2756.84	4265.51
TCGA-A2-A259-01	6968.8	107.624	83.3618	5798.62	1851.07
TCGA-A2-A25A-01	8536.91	390.625	38.9493	4167.35	3827.9
TCGA-A2-A25B-01	4854.99	157.457	45.1354	2763.6	6172.88
TCGA-A2-A25C-01	5860.39	121.747	37.2739	2557.12	6664.76
TCGA-A2-A25D-01	5956.59	651.561	53.313	9449.73	3007.62
TCGA-A2-A25E-01	4591.51	100.943	10.6918	3309.43	5578.93
TCGA-A2-A25F-01	438.063	1804.53	295.133	690.446	2738.09
TCGA-A2-A3KC-01	3921.89	171.134	23.0783	5572.52	2917.45
TCGA-A2-A3KD-01	6204.06	86.2746	11.5626	3470.55	3727.0
TCGA-A2-A3XS-01	14350.0	183.191	8.5358	22302.7	11797.1
TCGA-A2-A3XT-01	472.731	192.373	28.0358	13205.2	11161.2
TCGA-A2-A3XU-01	8200.6	38.8823	0.0	11791.3	7986.75
TCGA-A2-A3XV-01	4814.19	28.8172	1.2903	2298.49	6095.05
TCGA-A2-A3XW-01	15101.0	248.76	7.0872	7369.6	1453.93
TCGA-A2-A3XX-01	21432.3	164.168	8.5682	25078.2	7733.01
TCGA-A2-A3XY-01	8614.26	160.069	58.1831	6697.64	2272.83
TCGA-A2-A3XZ-01	4366.99	292.901	26.878	10350.4	6728.46
TCGA-A2-A3Y0-01	12283.1	417.337	60.7454	10057.8	3432.28
TCGA-A2-A4RW-01	45281.5	325.666	12.1065	6480.63	3523.61
TCGA-A2-A4RX-01	11811.0	280.403	20.794	1575.93	1701.95
TCGA-A2-A4RY-01	6193.9	193.405	20.1772	4085.14	2281.99
TCGA-A2-A4S0-01	2076.95	34.955	11.4778	861.876	5521.33
TCGA-A2-A4S1-01	78.2779	119.118	0.8508	30.6305	222.071
TCGA-A2-A4S2-01	1557.55	435.307	102.425	3356.4	2312.45
TCGA-A2-A4S3-01	1054.33	271.651	19.9032	6705.22	3095.21
TCGA-A7-A0CD-01	5872.6	67.1902	14.2525	1373.18	2735.89
TCGA-A7-A0CE-01	12084.4	90.8552	33.5622	5125.18	9132.98
TCGA-A7-A0CG-01	10293.2	443.485	31.0047	1922.29	4455.26
TCGA-A7-A0CH-01	11386.9	56.6968	13.0839	3006.24	3223.43
TCGA-A7-A0CJ-01	1578.26	161.902	32.8333	2376.45	8667.23
TCGA-A7-A0D9-01	4942.36	30.4652	6.5871	3577.19	7023.88
TCGA-A7-A0DA-01	2834.34	43.5074	14.7256	12957.8	7737.62
TCGA-A7-A0DB-01	10298.7	45.2151	22.2244	3631.77	3454.35
TCGA-A7-A0DC-01	3050.69	14.6536	12.2113	4853.69	2686.18
TCGA-A7-A13D-01	11806.2	17.061	7.3119	23975.6	7448.77
TCGA-A7-A13E-01	16219.5	154.158	7.6866	10787.7	12035.0
TCGA-A7-A13F-01	2459.04	34.9398	7.6305	1822.49	3358.23
TCGA-A7-A13G-01	13658.4	12.9145	11.8383	10118.0	2462.37
TCGA-A7-A13H-01	10998.0	335.924	55.5247	5759.3	2002.36
TCGA-A7-A26E-01	7354.13	65.5694	12.4768	4418.9	3054.42
TCGA-A7-A26F-01	9099.34	124.747	141.204	5279.9	2707.45
TCGA-A7-A26G-01	6706.61	292.139	42.9858	2565.46	17333.4
TCGA-A7-A26H-01	3285.38	203.133	25.0653	4184.6	2689.56
TCGA-A7-A26I-01	6362.66	28.2158	43.7068	7773.17	8902.9
TCGA-A7-A26J-01	6073.6	56.2944	34.3396	2504.54	3573.57
TCGA-A7-A2KD-01	5073.46	184.16	29.3588	5829.59	3337.83
TCGA-A7-A3IY-01	6120.08	84.8799	13.972	1894.95	7347.87
TCGA-A7-A3IZ-01	55.1607	60.5753	9.4755	1595.94	1104.91
TCGA-A7-A3J0-01	3162.92	252.776	27.6272	1253.29	5775.63
TCGA-A7-A3J1-01	3606.71	588.279	61.733	5197.5	1488.85
TCGA-A7-A3RF-01	3520.03	46.9428	4.4221	2720.3	3530.91
TCGA-A7-A425-01	8559.02	67.0972	5.0233	11659.5	2270.18
TCGA-A7-A426-01	8933.72	286.19	12.4792	4004.99	2689.13
TCGA-A7-A4SA-01	3336.92	714.936	51.8549	5113.23	3718.66
TCGA-A7-A4SB-01	6875.15	88.9225	5.1632	6796.55	1866.23
TCGA-A7-A4SC-01	5980.14	335.4	20.1701	4238.6	2895.27
TCGA-A7-A4SD-01	7401.49	490.05	83.5821	10990.5	3355.72
TCGA-A7-A4SE-01	5404.07	61.5899	21.7031	4528.32	3950.55
TCGA-A7-A4SF-01	3221.44	123.215	16.7261	9344.3	10013.3
TCGA-A7-A56D-01	7272.36	39.3858	8.0107	11606.1	4415.22
TCGA-A7-A5ZV-01	4384.03	186.946	9.5057	2454.37	334.601
TCGA-A7-A5ZW-01	8185.82	215.745	23.2272	3174.99	2753.77
TCGA-A7-A5ZX-01	9065.17	87.9795	13.5038	3339.54	3338.31
TCGA-A7-A6VV-01	7084.68	65.7268	26.1414	4077.3	5329.85
TCGA-A7-A6VW-01	13875.1	36.4781	14.7759	16897.2	10523.2
TCGA-A7-A6VX-01	5980.3	65.6375	42.0423	6692.88	1906.49
TCGA-A7-A6VY-01	11438.9	197.164	52.577	3000.0	4401.94
TCGA-A8-A06N-01	7575.49	53.4649	33.2721	5496.79	2043.14
TCGA-A8-A06O-01	2564.46	120.337	26.8548	4466.39	2813.63
TCGA-A8-A06P-01	8591.21	65.1024	14.2102	5565.1	2176.47
TCGA-A8-A06Q-01	4085.97	31.1381	9.9201	1853.13	13414.2
TCGA-A8-A06R-01	2127.04	85.2986	24.2161	5689.71	9904.04
TCGA-A8-A06T-01	5394.07	243.789	32.8435	5783.12	6729.44
TCGA-A8-A06U-01	5461.3	204.201	22.5593	5922.99	4628.94
TCGA-A8-A06X-01	1068.55	229.011	47.1932	7559.86	16502.7
TCGA-A8-A06Y-01	4556.17	16.979	3.313	6694.27	4552.02
TCGA-A8-A06Z-01	8618.33	9.6257	9.1191	6987.27	4622.38
TCGA-A8-A075-01	1854.79	264.252	50.9143	3150.23	6077.09
TCGA-A8-A076-01	4961.42	86.4234	34.0909	4369.62	7219.5
TCGA-A8-A079-01	4611.27	81.6603	12.5371	5424.48	3707.58
TCGA-A8-A07B-01	2709.21	65.0888	9.2984	3617.08	2095.52
TCGA-A8-A07C-01	1836.17	222.075	44.6809	2715.16	13951.9
TCGA-A8-A07E-01	6371.06	304.298	17.192	3263.61	5539.83
TCGA-A8-A07F-01	2439.27	195.749	25.6765	4204.33	2619.84
TCGA-A8-A07G-01	4576.24	182.349	13.0495	3040.52	3928.91
TCGA-A8-A07I-01	169.331	124.352	71.8774	2377.69	2682.39
TCGA-A8-A07J-01	9510.29	128.81	19.3214	2585.39	1505.69
TCGA-A8-A07L-01	3757.03	73.3379	10.6237	3003.77	5749.49
TCGA-A8-A07O-01	6459.63	121.412	16.1483	6921.05	5878.59
TCGA-A8-A07P-01	4362.13	81.548	16.9316	8113.34	4566.34
TCGA-A8-A07R-01	719.088	17.407	21.6086	2828.93	3014.71
TCGA-A8-A07S-01	4147.6	23.429	13.7227	2700.36	4150.95
TCGA-A8-A07U-01	4088.84	569.894	273.549	10163.3	3943.67
TCGA-A8-A07W-01	3017.72	79.7648	21.9274	5350.28	4466.2
TCGA-A8-A07Z-01	4944.07	112.019	31.9353	8971.35	3515.34
TCGA-A8-A081-01	1392.72	675.423	48.3745	4886.61	8401.04
TCGA-A8-A082-01	6771.2	25.2	12.4	5055.6	3376.4
TCGA-A8-A083-01	6472.99	21.2987	31.9481	3807.27	4072.21
TCGA-A8-A085-01	4308.06	0.0	2.4181	3004.72	3055.25
TCGA-A8-A086-01	1381.36	71.5681	18.4389	3055.24	3476.52
TCGA-A8-A08A-01	6218.49	45.5885	10.4926	2133.62	2909.34
TCGA-A8-A08B-01	4677.56	130.742	57.4205	3828.62	4792.4
TCGA-A8-A08C-01	835.083	80.596	12.8683	1011.18	3249.92
TCGA-A8-A08G-01	8778.24	114.907	22.053	7002.1	4475.88
TCGA-A8-A08H-01	2190.89	232.543	37.8661	2006.46	474.44
TCGA-A8-A08I-01	3737.26	1183.03	295.151	1142.44	2538.79
TCGA-A8-A08J-01	5402.53	102.129	23.9521	7567.53	8920.16
TCGA-A8-A08L-01	1509.52	320.432	32.3604	3632.93	8524.75
TCGA-A8-A08O-01	7400.19	72.0608	32.4898	5491.62	3878.79
TCGA-A8-A08P-01	3905.11	480.096	73.1805	7188.98	5222.36
TCGA-A8-A08R-01	826.193	262.546	89.9633	8969.4	12103.1
TCGA-A8-A08T-01	4977.7	93.8436	19.9667	5833.94	3234.28
TCGA-A8-A08X-01	8591.61	172.361	39.0364	6235.61	5396.03
TCGA-A8-A08Z-01	2316.58	95.953	61.0313	3487.27	1346.28
TCGA-A8-A090-01	2767.2	159.654	30.1233	2866.61	3005.55
TCGA-A8-A091-01	209.302	142.472	9.3023	4673.68	2964.75
TCGA-A8-A092-01	3129.1	65.6186	17.361	4083.36	2489.68
TCGA-A8-A093-01	8377.94	21.5969	25.1963	5592.93	2788.29
TCGA-A8-A094-01	5407.25	376.64	83.0731	6608.37	12953.2
TCGA-A8-A095-01	5530.11	130.87	9.25	1671.16	4126.85
TCGA-A8-A096-01	4156.11	472.1	103.448	1420.27	2053.92
TCGA-A8-A097-01	5396.11	109.493	24.4524	3950.16	3887.94
TCGA-A8-A099-01	3881.55	58.8235	18.8981	2429.33	4305.3
TCGA-A8-A09A-01	9017.22	304.939	27.1862	9938.38	4157.23
TCGA-A8-A09B-01	8116.49	104.839	20.5498	6107.83	2335.72
TCGA-A8-A09C-01	6997.41	33.9074	5.3538	4549.3	5769.61
TCGA-A8-A09D-01	4303.13	105.854	18.0433	6613.87	4061.35
TCGA-A8-A09G-01	23700.6	273.033	39.4858	2527.09	10689.9
TCGA-A8-A09I-01	3514.42	296.956	67.0805	3094.51	7375.45
TCGA-A8-A09M-01	4442.07	311.905	39.8328	7373.7	5536.41
TCGA-A8-A09N-01	10888.5	185.904	10.4735	13694.1	2791.18
TCGA-A8-A09Q-01	3775.6	193.0	41.8711	4764.8	2755.32
TCGA-A8-A09R-01	3537.1	216.481	73.4077	4794.82	4609.14
TCGA-A8-A09T-01	4231.13	25.9434	18.0818	4034.59	3430.82
TCGA-A8-A09V-01	5101.46	26.6703	11.8229	2449.55	3204.56
TCGA-A8-A09W-01	7797.04	111.542	7.9673	4586.64	4796.73
TCGA-A8-A09X-01	3278.9	670.185	46.3624	2307.36	5621.44
TCGA-A8-A09Z-01	8922.2	521.77	115.275	26530.3	3450.39
TCGA-A8-A0A1-01	6394.58	278.112	132.028	2314.26	2326.31
TCGA-A8-A0A2-01	3821.24	227.434	20.354	3520.06	2387.32
TCGA-A8-A0A4-01	6158.72	98.3654	26.9852	1985.15	5260.37
TCGA-A8-A0A6-01	7112.65	937.359	68.0942	3834.02	4713.39
TCGA-A8-A0A7-01	3669.02	2380.05	101.688	9431.88	4427.95
TCGA-A8-A0A9-01	8053.31	145.577	51.8453	3091.1	3191.56
TCGA-A8-A0AB-01	3809.59	16.7551	1.5466	4919.3	2818.98
TCGA-A8-A0AD-01	5412.2	63.6166	14.8148	2555.56	2393.03
TCGA-AC-A23C-01	10432.2	327.267	31.8845	4138.37	6237.03
TCGA-AC-A23E-01	4911.34	33.6289	22.0116	2330.17	3223.78
TCGA-AC-A23G-01	8354.65	159.884	26.8895	7564.68	1590.12
TCGA-AC-A23H-01	4269.58	37.1941	37.4916	3506.06	12345.5
TCGA-AC-A2B8-01	4634.92	325.271	30.4863	2613.5	1685.31
TCGA-AC-A2BK-01	280.141	149.344	12.1522	2402.94	9756.64
TCGA-AC-A2BM-01	112.472	165.948	21.0454	3163.36	3213.39
TCGA-AC-A2FB-01	7343.54	1191.67	94.0109	2166.14	1682.47
TCGA-AC-A2FE-01	2086.18	1090.43	37.7504	3453.86	2807.46
TCGA-AC-A2FF-01	3391.95	412.882	32.8502	1126.57	1481.8
TCGA-AC-A2FG-01	10165.3	117.647	17.6211	3753.3	3419.02
TCGA-AC-A2FK-01	11303.2	277.457	36.9053	4104.94	3024.46
TCGA-AC-A2FM-01	3795.86	67.4908	3.3411	5653.86	2905.78
TCGA-AC-A2FO-01	8792.47	463.925	36.0745	3393.33	2747.48
TCGA-AC-A2QH-01	8.244	23.0833	5.7708	13.1904	4.9464
TCGA-AC-A2QI-01	18163.0	285.623	12.7085	4874.66	2442.89
TCGA-AC-A2QJ-01	1466.24	69.8767	0.0	2297.71	145.038
TCGA-AC-A3BB-01	7774.86	687.721	15.5642	6291.56	2317.62
TCGA-AC-A3EH-01	12946.1	79.4748	12.4395	14151.0	2395.65
TCGA-AC-A3HN-01	9362.37	307.593	36.6057	2698.02	1562.72
TCGA-AC-A3OD-01	4548.71	605.321	39.808	2755.95	3944.99
TCGA-AC-A3QP-01	8424.15	220.482	3.8212	6303.78	3835.31
TCGA-AC-A3QQ-01	18679.8	188.03	5.985	20564.1	4049.38
TCGA-AC-A3TM-01	6577.5	241.98	9.0799	6387.73	3296.01
TCGA-AC-A3TN-01	22440.2	78.3652	1.8748	6724.41	3209.22
TCGA-AC-A3W5-01	3962.16	511.312	27.1493	7225.83	6192.51
TCGA-AC-A3W6-01	7913.77	551.695	16.7434	3668.06	3370.03
TCGA-AC-A3W7-01	19779.1	152.832	17.9802	6556.49	2326.64
TCGA-AC-A3YI-01	9786.09	194.946	82.0564	4473.81	1760.98
TCGA-AC-A3YJ-01	5539.31	81.6229	5.7616	4583.84	7523.71
TCGA-AC-A4ZE-01	6150.15	263.976	13.1148	3312.99	3700.71
TCGA-AC-A5EH-01	15103.1	114.227	17.732	7347.22	3007.01
TCGA-AC-A5XS-01	34223.1	406.942	4.6455	19147.2	5986.6
TCGA-AC-A5XU-01	350.7	118.196	9.3313	4048.99	7220.06
