a	b	spearman_welch_t	spearman_welch_t_p	n_genes	spearman_panel_nes	spearman_panel_nes_p	n_sets
DNA-PKcs	Ku70	0.3350263370775533	0.0	14570	0.5514529914529913	0.0034985633791806527	26
DNA-PKcs	Ku80	0.32145183824915746	0.0	14553	0.5835897435897436	0.0017502702588024497	26
Ku70	Ku80	0.33085709500747923	0.0	14560	0.4666666666666667	0.016248326208227505	26
