contrast	n_rank	n_abs_log2fc_gt1	n_abs_log2fc_gt1_welch_p_lt_0.05	n_welch_p_lt_0.05
DNA-PKcs	14570	159	35	863
Ku70	14589	152	66	1972
Ku80	14560	166	63	2112
