contrast	run	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	family	label
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.31167540998887194	-1.204077808574487	0.052947052947052944	68	-0.26362846062102163	TDRD7,IFITM2,NUB1,CSF1,ISG15,ADAR,PSMA3,CMTR1,CASP8,PROCR,IL4R,TAP1,C1S,B2M,TRIM26,RIPK2,TRIM25,IFIH1,TRIM14,PARP9,HELZ2,UBE2L6,LGALS3BP,SAMD9	24	0.3191094619666049	IFN	Hallmark IFN-α
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.2590583735977707	-1.1085924281981137	0.07592407592407592	130	-0.17362491448404	LYSMD2,BTG1,TDRD7,VAMP8,IFITM2,GPR18,FAS,NFKBIA,IRF8,MT2A,ISG15,ADAR,PSMB10,RIPK1,PSMA3,CMTR1,CASP8,ICAM1,CFB,PTPN6,NLRC5,IL4R,GCH1,NUP93,TAP1	46	0.3191094619666049	IFN	Hallmark IFN-γ
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	REACTOME_INTERFERON_SIGNALING	-0.19671817011561862	-0.8643618821987495	0.26973026973026976	145	0.040982145148628184	NUP93,NUP58,HLA-DPA1,TRIM3,CAMK2G,IFNGR2,NUP62,NUP107,EIF4G3,UBE2N,B2M,IFIT5,EIF4A2,KPNA1,TRIM26,NUP160,TRIM25,EIF4E2,TRIM14,NUP133,UBE2L6,STAT1,PTPN2,NUP42,NUP210	28	0.40203274985883686	IFN	Reactome IFN signaling
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.200634409732909	0.6608380784537699	0.5824175824175825	44	0.05862848505958305	HOXC13,EGR1,TYK2,IRF2,IFI27,IRF6,IRF7,HLA-E,HLA-C,IRF1,USP18	11	0.5824175824175825	IFN	Reactome IFN-α/β
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	REACTOME_INTERFERON_GAMMA_SIGNALING	-0.2924003055088718	-1.101542030975306	0.11188811188811189	58	-0.18985304779469656	HLA-DPA1,TRIM3,CAMK2G,IFNGR2,B2M,TRIM26,TRIM25,TRIM14,STAT1,PTPN2,JAK1,TRIM17	12	0.36363636363636365	IFN	Reactome IFN-γ
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	-0.24399039036453066	-0.9539472162823251	0.22577422577422576	73	0.027262936700491895	NUP62,NUP107,EIF4G3,UBE2N,EIF4A2,KPNA1,NUP160,TRIM25,EIF4E2,NUP133,UBE2L6,STAT1,NUP42,NUP210,JAK1,NUP85	16	0.40203274985883686	IFN	Reactome antiviral ISGs
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	0.2711610396399827	0.7954541148264155	0.4255744255744256	25	0.18060227582137386	MAVS,TBKBP1,TYK2,JAK2,IRAK1,IFI27	6	0.4610389610389611	IFN	GO IFN-mediated signaling
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	-0.2870348832047556	-0.8553408277330838	0.2947052947052947	19	0.16139817588941602	MYD88,TRAF3,STAT1,JAK1	4	0.40203274985883686	IFN	GO type I IFN signaling
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	GOBP_RESPONSE_TO_TYPE_II_INTERFERON	-0.31233278253575153	-1.043514458018802	0.15384615384615385	34	-0.3125518982815327	SIRPA,IFITM2,NUB1,IRF8,SYNCRIP,CXCL16,GCH1,HLA-DPA1,CYP27B1,DAPK3,SLC22A5,CALM1,STAT1,WNT5A	14	0.384887839433294	IFN	GO response to type II IFN
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	-0.2841927345633913	-0.8247019355821743	0.31368631368631367	20	0.1632876528949943	MYD88,TRAF3,STAT1,JAK1	4	0.40203274985883686	IFN	GO cellular response to type I IFN
