	library_size
A01	4200949.0
A02	3770441.0
A03	3861524.0
A04	4370163.0
A05	3024985.0
A06	3408627.0
A07	4773045.0
A08	5696345.0
A09	3725025.0
A10	3423385.0
A11	3471909.0
A12	4151097.0
A13	3286728.0
A14	3237314.0
A15	3089289.0
A16	2828394.0
A17	3228420.0
A18	4254462.0
A19	3222138.0
A20	3683869.0
A21	2109578.0
