term	family	label	library	nes_DNA-PKcs	fdr_DNA-PKcs	nom_p_DNA-PKcs	n_DNA-PKcs	mean_t_DNA-PKcs	nes_Ku70	fdr_Ku70	nom_p_Ku70	n_Ku70	mean_t_Ku70	nes_Ku80	fdr_Ku80	nom_p_Ku80	n_Ku80	mean_t_Ku80	nes_drop_subunits_DNA-PKcs	nes_drop_subunits_Ku70	nes_drop_subunits_Ku80
CUSTOM_CYTOSOLIC_DNA_SENSORS	DNA-sensing	Custom cytosolic DNA sensors	curated sensor list (cGAS, STING1, PYHIN, ZBP1, DDX/DHX, MRN, DNA-PK, RNA pol III, TREX1, SAMHD1, HMGB, RNASEL)	-1.4657066213800414	0.14545454545454545	0.014985014985014986	26.0	-0.44865658511619394	-1.552966407720601	0.34693877551020413	0.016983016983016984	26.0	-0.9214111481987819	-1.4054851041002336	0.2545454545454545	0.04895104895104895	26.0	-1.6429611462329932	0.9212370426825222	-0.9518376452857181	-0.7945951909166619
GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	DNA-sensing	GO cytosolic PRR signaling	GO_Biological_Process_2023	-1.2753936225916802	0.24819624819624822	0.07792207792207792	20.0	-0.44936892933096606	0.8400737666496106	0.3837072018890201	0.2997002997002997	20.0	0.3319483709947221	-1.4891081329031868	0.2077922077922078	0.030969030969030968	20.0	-1.3904055169469893	-1.2753936225916802	0.8400737666496106	-1.4891081329031868
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	DNA-sensing	KEGG cytosolic DNA-sensing	KEGG_2021_Human	0.9337460749869387	0.371900826446281	0.3146853146853147	32.0	0.3994241803037968	0.991779414688808	0.37373737373737376	0.21878121878121878	32.0	0.3832797935701609	-1.1635114149890862	0.44003055767761656	0.17282717282717283	32.0	-0.9259065923591097	0.9337460749869387	0.991779414688808	-1.1635114149890862
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	DNA-sensing	Reactome cytosolic DNA innate regulation	Reactome_2022	0.9539629094770512	0.371900826446281	0.2807192807192807	11.0	0.5492985422808906	-0.7481417854824762	0.44655344655344653	0.42657342657342656	11.0	-0.21153363544311674	-0.6698454409194845	0.6199887069452287	0.5444555444555444	11.0	-0.26001282710624	0.9539629094770512	-0.7481417854824762	-0.6698454409194845
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	DNA-sensing	Reactome cytosolic DNA sensors	Reactome_2022	-1.0275380752438814	0.3209647495361781	0.17282717282717283	54.0	-0.03431040842866598	-1.087153708467075	0.34693877551020413	0.17882117882117882	54.0	-0.33362385106454007	-1.2917061365639773	0.2694805194805195	0.08291708291708291	54.0	-0.9500820859555185	0.9352098732887733	0.7534119440199005	-0.9081819776761398
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	STING	Reactome STING host response	Reactome_2022	-1.5612217504082948	0.14545454545454545	0.017982017982017984	11.0	-1.352005547765062	-1.4924540103850847	0.34693877551020413	0.04195804195804196	11.0	-1.5872512761144513	-1.1581376987285543	0.44003055767761656	0.18181818181818182	11.0	-1.1451114345324567	1.115275024279149	1.1560103646833282	1.7091460893615025
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	STING	Reactome ZBP1/DAI type I IFN	Reactome_2022	-0.8444617457677575	0.371900826446281	0.3096903096903097	16.0	-0.08478588494429493	-0.8323871516279946	0.40542066629023155	0.35864135864135865	16.0	-0.3633842416922918	0.8869215122428468	0.44003055767761656	0.21178821178821178	16.0	0.34670116396266915	-0.8444617457677575	-0.8323871516279946	0.8869215122428468
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	IFN	GO + IFN-β production	GO_Biological_Process_2023	0.9210589601490777	0.3749294184076793	0.33166833166833165	27.0	0.18706111696971264	1.0441198808285594	0.34693877551020413	0.18681318681318682	27.0	0.3321556923912388	-1.0755172396265935	0.44003055767761656	0.24175824175824176	27.0	-0.7430681446717585	0.9210589601490777	1.0441198808285594	-1.0755172396265935
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	IFN	GO + type I IFN production	GO_Biological_Process_2023	-1.3603367652782818	0.14545454545454545	0.022977022977022976	48.0	-0.24227708841869533	0.9117385222174739	0.3837072018890201	0.2907092907092907	48.0	0.0733572319790932	-1.3335821559397492	0.2694805194805195	0.08291708291708291	48.0	-0.901245930771417	-1.3603367652782818	0.9117385222174739	-1.3335821559397492
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO IFN-mediated signaling	GO_Biological_Process_2023	0.7954541148264155	0.4610389610389611	0.4255744255744256	25.0	0.18060227582137386	1.1138641615073848	0.34693877551020413	0.14485514485514486	25.0	0.5662289726867386	0.751960492411652	0.44003055767761656	0.2817182817182817	25.0	0.04875249865811208	0.7954541148264155	1.1138641615073848	0.751960492411652
GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	IFN	GO cellular response to type I IFN	GO_Biological_Process_2023	-0.8247019355821743	0.371900826446281	0.31368631368631367	20.0	0.1632876528949943	1.0201242590720363	0.34693877551020413	0.18181818181818182	20.0	0.5741627967464498	0.5850072476603007	0.4866712235133288	0.35564435564435565	20.0	-0.15777982906193247	-0.8247019355821743	1.0201242590720363	0.5850072476603007
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	IFN	GO cellular response to type II IFN	GO_Biological_Process_2023	-1.037190081469753	0.3209647495361781	0.16283716283716285	22.0	-0.2897716666113921	0.9646793959898078	0.37373737373737376	0.25874125874125875	22.0	0.3770018896661425	0.8629503511518435	0.44003055767761656	0.23276723276723277	22.0	0.1974294858579075	-1.037190081469753	0.9646793959898078	0.8629503511518435
GOBP_CELLULAR_RESPONSE_TO_TYPE_III_INTERFERON	IFN	GO cellular response to type III IFN	GO_Biological_Process_2023																		
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	IFN	GO response to type I IFN	GO_Biological_Process_2023																		
GOBP_RESPONSE_TO_TYPE_II_INTERFERON	IFN	GO response to type II IFN	GO_Biological_Process_2023	-1.043514458018802	0.3209647495361781	0.15384615384615385	34.0	-0.3125518982815327	-0.7837321657616023	0.44655344655344653	0.43156843156843155	34.0	-0.3986060872385237	-0.7183723428776198	0.6439393939393939	0.5944055944055944	34.0	-0.28041108593172576	-1.043514458018802	-0.7837321657616023	-0.7183723428776198
GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type I IFN signaling	GO_Biological_Process_2023	-0.8553408277330838	0.371900826446281	0.2947052947052947	19.0	0.16139817588941602	1.0337630299410878	0.34693877551020413	0.17782217782217782	19.0	0.565396425654394	0.6281257289502356	0.4516594516594517	0.3126873126873127	19.0	-0.10369417050189092	-0.8553408277330838	1.0337630299410878	0.6281257289502356
GOBP_TYPE_II_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type II IFN signaling	GO_Biological_Process_2023																		
GOBP_TYPE_III_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type III IFN signaling	GO_Biological_Process_2023																		
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN	Hallmark IFN-α	MSigDB_Hallmark_2020	-1.204077808574487	0.22943722943722944	0.052947052947052944	68.0	-0.26362846062102163	-0.9990838411255132	0.37373737373737376	0.2517482517482518	68.0	-0.27690060681447526	-0.8481703107950063	0.6199887069452287	0.5254745254745254	68.0	-0.2721892716644526	-1.204077808574487	-0.9990838411255132	-0.8481703107950063
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFN	Hallmark IFN-γ	MSigDB_Hallmark_2020	-1.1085924281981137	0.24819624819624822	0.07592407592407592	130.0	-0.17362491448404	-1.0958833364519243	0.34693877551020413	0.14885114885114886	131.0	-0.281447565832842	-0.9759064944865817	0.5467532467532468	0.4205794205794206	130.0	-0.47189571500756133	-1.1085924281981137	-1.0958833364519243	-0.9759064944865817
REACTOME_INTERFERON_SIGNALING	IFN	Reactome IFN signaling	Reactome_2022	-0.8643618821987495	0.371900826446281	0.26973026973026976	145.0	0.040982145148628184	1.0973604758070499	0.34693877551020413	0.1018981018981019	145.0	0.1872755916800573	-1.24027227771274	0.2694805194805195	0.07992007992007992	145.0	-0.6899662433096289	-0.8643618821987495	1.0973604758070499	-1.24027227771274
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	Reactome IFN-α/β	Reactome_2022	0.6608380784537699	0.5824175824175825	0.5824175824175825	44.0	0.05862848505958305	-1.010141383838748	0.37373737373737376	0.23476523476523475	44.0	-0.24770404943165178	-0.6924967162578042	0.6815584415584417	0.6553446553446554	44.0	-0.27794088282985424	0.6608380784537699	-1.010141383838748	-0.6924967162578042
REACTOME_INTERFERON_GAMMA_SIGNALING	IFN	Reactome IFN-γ	Reactome_2022	-1.101542030975306	0.2909090909090909	0.11188811188811189	58.0	-0.18985304779469656	1.187407445487968	0.34693877551020413	0.08791208791208792	58.0	0.2892638937998559	-0.6101295705396506	0.7232767232767233	0.7232767232767233	58.0	-0.15270448919024524	-1.101542030975306	1.187407445487968	-0.6101295705396506
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	IFN	Reactome antiviral ISGs	Reactome_2022	-0.9539472162823251	0.371900826446281	0.22577422577422576	73.0	0.027262936700491895	0.8490845755392793	0.3837072018890201	0.3246753246753247	73.0	0.10005698195829252	-1.4354908204689554	0.2077922077922078	0.03196803196803197	73.0	-1.175477433808066	-0.9539472162823251	0.8490845755392793	-1.4354908204689554
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	APM	Custom MHC-I / APM	repo a8_sets.json CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7305201878863627	0.5101298701298701	0.4905094905094905	18.0	0.11836793721793964	-1.109548404036163	0.34693877551020413	0.16683316683316685	18.0	-0.7311066025131775	-0.7216817403619016	0.6199887069452287	0.5484515484515484	18.0	0.06072203046955554	0.7305201878863627	-1.109548404036163	-0.7216817403619016
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	APM	GO MHC-I peptide antigen processing	GO_Biological_Process_2023	-1.1225236441696629	0.31168831168831174	0.13186813186813187	14.0	-0.29070379278318814	-0.8920958891080489	0.3837072018890201	0.3106893106893107	14.0	-0.5072512034217568	-1.012471253929399	0.44003055767761656	0.2777222777222777	14.0	-0.7453152188255877	-1.1225236441696629	-0.8920958891080489	-1.012471253929399
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	APM	KEGG antigen processing	KEGG_2021_Human	1.4398565270179182	0.14545454545454545	0.027972027972027972	47.0	0.5476782982351747	1.3601813064911197	0.34693877551020413	0.027972027972027972	47.0	0.3663796051387055	1.5211536067764302	0.1038961038961039	0.007992007992007992	47.0	0.8828786869830536	1.4398565270179182	1.3601813064911197	1.5211536067764302
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	APM	Reactome MHC-I antigen processing	Reactome_2022	-1.1924936771235555	0.14545454545454545	0.01898101898101898	332.0	-0.09982482333059997	-1.1347519934103516	0.34693877551020413	0.09090909090909091	332.0	-0.24655994867516978	-1.4986095180490302	0.025974025974025976	0.000999000999000999	332.0	-0.8822472046388955	-1.1924936771235555	-1.1347519934103516	-1.4986095180490302
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_PEPTIDE_LOADING_CLASS_I_MHC	APM	Reactome MHC-I peptide loading	Reactome_2022	0.9490541093432562	0.371900826446281	0.3076923076923077	26.0	0.28328631216402717	1.1409820869101435	0.34693877551020413	0.12287712287712288	26.0	0.48820690513209225	0.9445655254792198	0.44003055767761656	0.1888111888111888	26.0	0.19606985264973223	0.9490541093432562	1.1409820869101435	0.9445655254792198
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	APM	Reactome cross-presentation	Reactome_2022	-1.1660948801638464	0.24819624819624822	0.08591408591408592	80.0	-0.24472287433730977	-0.8300695956670707	0.44655344655344653	0.44655344655344653	80.0	-0.06649692056464802	-1.0356687650476029	0.44003055767761656	0.28771228771228774	80.0	-0.5878313877102661	-1.1660948801638464	-0.8300695956670707	-1.0356687650476029
