contrast	run	family	n_sets	median_nes	min_nes	max_nes	n_fdr05_up	n_fdr05_down	n_nom05_up	n_nom05_down	n_nes_positive
DNA-PKcs	primary	DNA-sensing	5	-1.0275380752438814	-1.4657066213800414	0.9539629094770512	0	0	0	1	2
DNA-PKcs	primary	STING	2	-1.202841748088026	-1.5612217504082948	-0.8444617457677575	0	0	0	1	0
DNA-PKcs	primary	IFN	13	-0.9539472162823251	-1.3603367652782818	0.9210589601490777	0	0	0	1	3
DNA-PKcs	primary	APM	6	-0.19600172814165007	-1.1924936771235555	1.4398565270179182	0	0	1	1	3
Ku70	primary	DNA-sensing	5	-0.7481417854824762	-1.552966407720601	0.991779414688808	0	0	0	1	2
Ku70	primary	STING	2	-1.1624205810065398	-1.4924540103850847	-0.8323871516279946	0	0	0	1	0
Ku70	primary	IFN	13	0.9646793959898078	-1.0958833364519243	1.187407445487968	0	0	0	0	9
Ku70	primary	APM	6	-0.8610827423875598	-1.1347519934103516	1.3601813064911197	0	0	1	0	2
Ku80	primary	DNA-sensing	5	-1.2917061365639773	-1.4891081329031868	-0.6698454409194845	0	0	0	2	0
Ku80	primary	STING	2	-0.13560809324285378	-1.1581376987285543	0.8869215122428468	0	0	0	0	1
Ku80	primary	IFN	13	-0.7183723428776198	-1.4354908204689554	0.8629503511518435	0	0	0	1	4
Ku80	primary	APM	6	-0.8670764971456503	-1.4986095180490302	1.5211536067764302	0	1	1	1	2
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	DNA-sensing	5	0.9337460749869387	-1.2753936225916802	0.9539629094770512	0	0	0	0	4
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	STING	2	0.13540663925569574	-0.8444617457677575	1.115275024279149	0	0	0	0	1
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	IFN	13	-0.9539472162823251	-1.3603367652782818	0.9210589601490777	0	0	0	1	3
DNA-PKcs	drop_XRCC5_XRCC6_PRKDC	APM	6	-0.19600172814165007	-1.1924936771235555	1.4398565270179182	0	0	1	1	3
Ku70	drop_XRCC5_XRCC6_PRKDC	DNA-sensing	5	0.7534119440199005	-0.9518376452857181	0.991779414688808	0	0	0	0	3
Ku70	drop_XRCC5_XRCC6_PRKDC	STING	2	0.1618116065276668	-0.8323871516279946	1.1560103646833282	0	0	0	0	1
Ku70	drop_XRCC5_XRCC6_PRKDC	IFN	13	0.9646793959898078	-1.0958833364519243	1.187407445487968	0	0	0	0	9
Ku70	drop_XRCC5_XRCC6_PRKDC	APM	6	-0.8610827423875598	-1.1347519934103516	1.3601813064911197	0	0	1	0	2
Ku80	drop_XRCC5_XRCC6_PRKDC	DNA-sensing	5	-0.9081819776761398	-1.4891081329031868	-0.6698454409194845	0	0	0	1	0
Ku80	drop_XRCC5_XRCC6_PRKDC	STING	2	1.2980338008021746	0.8869215122428468	1.7091460893615025	0	0	1	0	2
Ku80	drop_XRCC5_XRCC6_PRKDC	IFN	13	-0.7183723428776198	-1.4354908204689554	0.8629503511518435	0	0	0	1	4
Ku80	drop_XRCC5_XRCC6_PRKDC	APM	6	-0.8670764971456503	-1.4986095180490302	1.5211536067764302	0	1	1	1	2
