	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21
A01	1.0	0.9784145279765901	0.99026149824367	0.9540982258930041	0.9653585147592383	0.9507596926242778	0.9614830257601601	0.9508691213841444	0.9575374742993286	0.961974550748034	0.9803065830798957	0.9705275694431527	0.9686494613556208	0.9567495024163618	0.9690942808542611	0.9676388480347565	0.9844063908204623	0.9766438521256474	0.9768755416449904	0.9707100460489021	0.9665070683599606
A02	0.9784145279765902	1.0	0.9793301645015586	0.9625025643222398	0.9514214612318995	0.9582286155078643	0.9519545831302831	0.9608479966377983	0.9481915420351948	0.9730631497453324	0.9725058745409999	0.9826254576167315	0.9620849948197185	0.9688497229941759	0.9626054804381299	0.9774443908970778	0.9761324739838914	0.9843476922316068	0.9688143931780403	0.9816843217526005	0.9582020304775032
A03	0.99026149824367	0.9793301645015586	1.0	0.9555980409923753	0.9652872010368061	0.9525255099340342	0.9621142207789404	0.9514964432062349	0.9586741835730556	0.9648390619223697	0.980893305374179	0.9711018727328726	0.9703877432109126	0.9595233782696068	0.9707178429112838	0.9702415390076684	0.9851306815116834	0.9759441301891694	0.9781693036173755	0.9711249873399358	0.9697315921314229
A04	0.954098225893004	0.9625025643222398	0.9555980409923754	1.0	0.979329842151096	0.9901637904501045	0.9739577016328155	0.9838663524568225	0.9740092223478988	0.9639168991610272	0.9550739112285147	0.9637947345094974	0.947331584557784	0.9572686530721789	0.9469008605973328	0.9658518079882006	0.9548443653756497	0.9641850337472988	0.9500697849773604	0.9553674007319107	0.9439501621116785
A05	0.9653585147592383	0.9514214612318996	0.9652872010368061	0.979329842151096	1.0	0.9781365659712481	0.9807747747746774	0.9703263181644604	0.980157575128633	0.9519377511978184	0.9617685379772251	0.9514736315958584	0.9543612707344044	0.9458693480555995	0.953802342817315	0.9546358091739032	0.962635814949707	0.9538662252640788	0.9581027081619838	0.9441794180136026	0.9527784571366696
A06	0.950759692624278	0.9582286155078643	0.9525255099340342	0.9901637904501045	0.9781365659712481	1.0	0.9713942696712495	0.9814496806252109	0.9731561919011134	0.962182115104461	0.9514947527473118	0.9596244225733338	0.9458743677423442	0.9561737063932846	0.9455494086637818	0.9639519456261338	0.9510088250369054	0.959409949872591	0.947673786561756	0.9505233077211108	0.9436801899607966
A07	0.9614830257601601	0.9519545831302832	0.9621142207789404	0.9739577016328155	0.9807747747746774	0.9713942696712494	1.0	0.9826198317535914	0.9895985473093064	0.9492040012016123	0.9627396511733495	0.9535143270031509	0.9629000706103804	0.9526555618037519	0.962740884571463	0.9502947371977135	0.9624303253528239	0.9549615464475089	0.9650839870054897	0.9532916166948215	0.955194347043344
A08	0.9508691213841444	0.9608479966377983	0.9514964432062349	0.9838663524568225	0.9703263181644604	0.981449680625211	0.9826198317535912	1.0	0.9800988315826715	0.9569913585225719	0.9529251095731973	0.9629032163600081	0.9528711362026535	0.9622037825376838	0.9532452647173414	0.9586144602255494	0.9525493840739236	0.9640750627921432	0.9539611158605911	0.96312072689724	0.9434946208962918
A09	0.9575374742993285	0.9481915420351947	0.9586741835730554	0.9740092223478988	0.980157575128633	0.9731561919011135	0.9895985473093063	0.9800988315826715	1.0	0.9519135039503499	0.9599072627502166	0.9499837508268568	0.9628580085402946	0.9535275267396133	0.9622237903394301	0.9525057471006475	0.959577258767681	0.9506338614746541	0.964456316336799	0.9488052773321489	0.9595981157798611
A10	0.9619745507480338	0.9730631497453325	0.9648390619223697	0.9639168991610272	0.9519377511978184	0.9621821151044612	0.9492040012016123	0.9569913585225719	0.9519135039503498	1.0	0.974493108606321	0.9831828787355016	0.9703414281569726	0.980443592224222	0.9692756912300124	0.9819601839557535	0.9655008727612961	0.9735052957943814	0.9670694396108126	0.9689640946035158	0.9654174577196584
