contrast	term	n_genes	mean_log2_kd	mean_log2_parent	delta_log2	welch_t	welch_p_two	welch_p_greater	kd_scores	parent_scores	fdr_greater_within_contrast	fdr_greater_across_subunits
DNA-PKcs	HALLMARK_INTERFERON_ALPHA_RESPONSE	68	6.108358904804409	6.127754757841835	-0.01939585303742586	-0.5597912476603868	0.6063039714089009	0.6968480142955495	6.0667,6.1430,6.1154	6.1596,6.0751,6.1485	0.760197833776963	0.8362176171546595
DNA-PKcs	HALLMARK_INTERFERON_GAMMA_RESPONSE	131	5.979653530303776	6.024234073968625	-0.04458054366484898	-0.9904745506190465	0.3828275811096805	0.8085862094451597	5.9231,6.0475,5.9683	6.0474,5.9713,6.0540	0.8085862094451596	0.9390033400008306
DNA-PKcs	REACTOME_INTERFERON_SIGNALING	145	7.253784762722151	7.202713206021332	0.05107155670081909	1.3528028897812345	0.2543986692143151	0.12719933460715754	7.2099,7.2761,7.2754	7.2554,7.1491,7.2036	0.2902004952627249	0.24874328165376422
DNA-PKcs	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	44	6.3027884288508815	6.238428051536932	0.06436037731394961	0.8778016218265245	0.4388613220110031	0.21943066100550154	6.2064,6.2822,6.4198	6.2625,6.1632,6.2896	0.3761668474380026	0.3291459915082523
DNA-PKcs	REACTOME_INTERFERON_GAMMA_SIGNALING	58	6.333388492347043	6.339907578851012	-0.006519086503968374	-0.1094366422303449	0.9181593925034035	0.5409203037482982	6.2541,6.3408,6.4053	6.4030,6.2647,6.3520	0.6491043644979578	0.6954689619620977
DNA-PKcs	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	73	8.301574375849226	8.254029996163325	0.04754437968590075	1.2342097284299396	0.2902004952627249	0.14510024763136245	8.2805,8.3472,8.2770	8.3142,8.2107,8.2372	0.2902004952627249	0.24874328165376422
DNA-PKcs	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	8	6.432229098124413	6.423857818577393	0.008371279547019661	0.07410058531524917	0.944578455051432	0.472289227525716	6.3939,6.3059,6.5969	6.5434,6.2913,6.4368	0.6381642033942353	0.6381642033942353
DNA-PKcs	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	32	7.290270088621743	7.181527837134723	0.10874225148701999	2.835269644971073	0.04826442070714746	0.02413221035357373	7.2653,7.2651,7.3404	7.2304,7.1842,7.1300	0.2895865242428848	0.09652884141429492
DNA-PKcs	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	51	7.542171796425085	7.47130117129467	0.07087062513041431	1.3661764915967993	0.24979713230963776	0.12489856615481888	7.5178,7.4849,7.6238	7.5322,7.4357,7.4460	0.2902004952627249	0.24874328165376422
DNA-PKcs	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	48	7.331042144461357	7.328822780158543	0.0022193643028138865	0.05724996197234064	0.9572463050913529	0.47862315254567644	7.2886,7.3141,7.3904	7.3760,7.2992,7.3113	0.6381642033942353	0.6381642033942353
