term	family	label	n_set	n_in_rank_universe	scored
HALLMARK_INTERFERON_ALPHA_RESPONSE	IFN	Hallmark IFN-α	97	68	True
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFN	Hallmark IFN-γ	200	131	True
REACTOME_INTERFERON_SIGNALING	IFN	Reactome IFN signaling	200	145	True
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	Reactome IFN-α/β	72	44	True
REACTOME_INTERFERON_GAMMA_SIGNALING	IFN	Reactome IFN-γ	89	58	True
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	IFN	Reactome antiviral ISGs	83	73	True
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO IFN-mediated signaling	49	25	True
GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type I IFN signaling	37	19	True
GOBP_TYPE_II_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type II IFN signaling	9	7	False
GOBP_TYPE_III_INTERFERON_MEDIATED_SIGNALING_PATHWAY	IFN	GO type III IFN signaling	10	6	False
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	IFN	GO response to type I IFN	9	7	False
GOBP_RESPONSE_TO_TYPE_II_INTERFERON	IFN	GO response to type II IFN	80	34	True
GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	IFN	GO cellular response to type I IFN	38	20	True
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	IFN	GO cellular response to type II IFN	66	22	True
GOBP_CELLULAR_RESPONSE_TO_TYPE_III_INTERFERON	IFN	GO cellular response to type III IFN	10	6	False
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	IFN	GO + type I IFN production	64	48	True
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	IFN	GO + IFN-β production	36	27	True
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	STING	Reactome STING host response	16	11	True
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	STING	Reactome ZBP1/DAI type I IFN	21	16	True
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	DNA-sensing	KEGG cytosolic DNA-sensing	63	32	True
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	DNA-sensing	Reactome cytosolic DNA sensors	63	54	True
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	DNA-sensing	Reactome cytosolic DNA innate regulation	15	11	True
GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	DNA-sensing	GO cytosolic PRR signaling	23	20	True
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	APM	KEGG antigen processing	78	47	True
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	APM	Reactome MHC-I antigen processing	378	332	True
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_PEPTIDE_LOADING_CLASS_I_MHC	APM	Reactome MHC-I peptide loading	28	26	True
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	APM	Reactome cross-presentation	104	80	True
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	APM	GO MHC-I peptide antigen processing	18	14	True
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	APM	Custom MHC-I / APM	21	18	True
CUSTOM_CYTOSOLIC_DNA_SENSORS	DNA-sensing	Custom cytosolic DNA sensors	32	26	True
