CCLE,CellLine,ModelID,S1_Tissue,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,PrimaryOrMetastasis,Sex,plex,CLDN4_peptides,TACSTD2,CLDN4,EPCAM,CDH1,VIM
A549_LUNG,A549,ACH-000681,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Male,TenPx12,2.0,-2.79992187142195,-5.30030757200522,-3.68760010805884,-1.44992148723269,3.06768320576715
NCIH520_LUNG,NCI-H520,ACH-000395,Lung,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Primary,Male,TenPx10,2.0,-2.61515514580385,-1.89315199122283,1.12306115234028,-1.08153449208915,-1.62493815170538
RERFLCSQ1_LUNG,RERF-LC-Sq1,ACH-000442,Lung,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Primary,Female,TenPx16,2.0,-2.3115335708691,-1.47787413312702,-3.37560521687676,-1.69940510254009,3.49799889324395
HCC1833_LUNG,HCC-1833,ACH-000712,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx40,1.0,-2.04417774770678,0.301393242144924,4.05542038047999,2.21188040734606,-0.348286014434577
NCIH23_LUNG,NCI-H23,ACH-000900,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Male,TenPx20,1.0,-1.66944521320683,-3.00559581288356,-3.22577244337992,-0.743226679200881,2.41094736598453
SW1573_LUNG,SW 1573,ACH-000677,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx33,1.0,-0.83930017148715,0.831708353025961,-0.417446428676658,-1.14459466147692,2.79234676627365
HCC44_LUNG,HCC44,ACH-000667,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx21,1.0,-0.78931032834856,-0.55894243942282,-2.43959845497658,-1.55162712875515,1.84358354452732
LK2_LUNG,LK-2,ACH-000769,Lung,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Primary,Male,TenPx11,1.0,-0.552712789456478,-2.24264941636874,0.754655255609451,-0.402525725412627,-1.33546527978068
NCIH2172_LUNG,NCI-H2172,ACH-000924,Lung,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Primary,Female,TenPx21,1.0,-0.414957089414946,-2.02076147165257,-2.0384387522882,-1.38136653995853,1.36494840273326
NCIH2170_LUNG,NCIH2170,ACH-000481,Lung,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Primary,Male,TenPx12,2.0,-0.116836720531755,1.43351888686291,0.0402768693279025,0.322162376913389,-0.986555241822051
NCIH1975_LUNG,NCIH1975,ACH-000587,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx13,5.0,0.0336846436092726,1.05156867095784,0.985449418820517,0.164007561385716,2.16130028543772
NCIH3255_LUNG,NCIH3255,ACH-000109,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx13,5.0,0.0984662090825736,0.94867281700122,0.206762116273402,1.50982923951728,-1.65264365956832
NCIH1435_LUNG,NCI-H1435,ACH-000852,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx15,3.0,1.483328582339,0.401149343110885,0.810570082401638,1.18363416949795,-1.75283780287399
LUDLU1_LUNG,LUDLU-1,ACH-000390,Lung,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Primary,Male,TenPx09,2.0,1.6576758653625,1.09732336115942,1.191043288523,1.4042398870689,-1.47060948237012
NCIH358_LUNG,NCI-H358,ACH-000860,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Male,TenPx06,3.0,2.02092051722455,2.27815904368953,2.60957472940885,1.91247559598807,-1.58103609513193
HCC827_LUNG,HCC827,ACH-000012,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Female,TenPx10,2.0,2.5252116126129,1.80847161075187,1.78701978754308,2.38002943963856,-1.87056897571394
PC14_LUNG,PC-14,ACH-000030,Lung,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Primary,Male,TenPx05,1.0,3.32487029580832,3.62802327698463,2.96600649434298,2.62603060341136,-1.46773685619719
