analysis_id,family,cohort,label,definition,adjustment,n,n_lines_in_filter,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,delta_vs_0.69,rounds_to_0.69,n_equals_118,eligible_for_histology_max,null_p_same_size_from_S1_lung,partial_status,q_bh_within_eligible,is_histology_max
S1_Lung,histology,S1_Lung,S1 Lung,"Table S1 Tissue of Origin = Lung, TACSTD2 and CLDN4 both quantified",none,45,45,0.6931488801054019,1.3117431950020398e-07,0.6871878120527255,1.8535570143264805e-07,0.4833291593279783,0.8222327111970432,,0,,0.00314888010540193,True,False,True,,,1.3117431950020398e-06,False
Oncotree_Lung,histology,Oncotree_Lung,Oncotree Lung,S1 Lung and DepMap 24Q4 OncotreeLineage = Lung,none,44,44,0.703875968992248,9.813589251845172e-08,0.6884777243654308,2.3996687047534523e-07,0.4919043740552961,0.8358299100998816,,0,,0.013875968992248078,False,False,True,0.11697660467906419,,1.3117431950020398e-06,False
Oncotree_NSCLC,histology,Oncotree_NSCLC,Oncotree NSCLC,S1 Lung and OncotreePrimaryDisease = Non-Small Cell Lung Cancer,none,35,35,0.7266106442577032,7.730366817532931e-07,0.7437063817000543,3.0686191982928465e-07,0.5079387382324013,0.842848405028224,,0,,0.03661064425770322,False,False,True,0.21455708858228353,,1.9325917043832328e-06,False
Oncotree_LUAD,histology,Oncotree_LUAD,Oncotree LUAD,S1 Lung and OncotreeSubtype = Lung Adenocarcinoma,none,22,22,0.7820440429136083,1.713299661861345e-05,0.7932845666934566,1.0611960424713108e-05,0.5246535960140257,0.9023296084092144,,0,,0.09204404291360835,False,False,True,0.14557088582283542,,3.115090294293355e-05,False
Oncotree_LUSC,histology,Oncotree_LUSC,Oncotree LUSC,S1 Lung and OncotreeSubtype = Lung Squamous Cell Carcinoma,none,7,7,0.7500000000000002,0.0521814004570578,0.7919681641099044,0.033773710155508715,-0.08695652173913043,1.0,,0,,0.060000000000000275,False,False,False,0.35592881423715256,,,False
Oncotree_SCLC,histology,Oncotree_SCLC,Oncotree SCLC,S1 Lung and OncotreeSubtype = Small Cell Lung Cancer,none,7,7,0.642857142857143,0.11939237342741109,0.31002086641065385,0.4986157894316887,-0.17647058823529413,1.0,,0,,-0.04714285714285693,False,False,False,0.555488902219556,,,False
NSCLC_not_LUSC,histology,NSCLC_not_LUSC,NSCLC not LUSC,NSCLC excluding lung squamous cell carcinoma,none,28,28,0.7060755336617406,2.69149224426302e-05,0.7321533442053323,9.489491270269889e-06,0.44300859509706647,0.8492032956429962,,0,,0.016075533661740637,False,False,True,0.3759248150369926,,4.286024037547224e-05,False
NSCLC_not_LUAD,histology,NSCLC_not_LUAD,NSCLC not LUAD,NSCLC excluding lung adenocarcinoma,none,13,13,0.6318681318681317,0.020516042572872477,0.6276984627649583,0.021626583199794533,0.05352112676056338,0.9265536723163842,,0,,-0.058131868131868214,False,False,False,0.6320735852829434,,,False
S1_Lung_Primary,histology,S1_Lung_Primary,S1 Lung Primary,S1 Lung and PrimaryOrMetastasis = Primary,none,20,20,0.7443609022556391,0.0001673956999851941,0.7338037507557921,0.0002309009519804639,0.38471703722139267,0.9079929685968006,,0,,0.054360902255639165,False,False,True,0.29114177164567084,,0.00020924462498149264,False
S1_Lung_Metastatic,histology,S1_Lung_Metastatic,S1 Lung Metastatic,S1 Lung and PrimaryOrMetastasis = Metastatic,none,25,25,0.653076923076923,0.00040128161079623604,0.6533369902537883,0.00039842174393928446,0.29517565576487703,0.8527254459245878,,0,,-0.03692307692307695,False,False,True,0.6328734253149371,,0.00045871926861697855,False
NSCLC_Primary,histology,NSCLC_Primary,NSCLC Primary,NSCLC and PrimaryOrMetastasis = Primary,none,17,17,0.8210784313725491,5.346351701144895e-05,0.7955672685454248,0.00013421099838869916,0.5193195047425242,0.9405940594059405,,0,,0.13107843137254915,False,False,True,0.08138372325534893,,7.637645287349851e-05,False
NSCLC_Metastatic,histology,NSCLC_Metastatic,NSCLC Metastatic,NSCLC and PrimaryOrMetastasis = Metastatic,none,18,18,0.5995872033023736,0.008536698768223005,0.6828986328081184,0.0017877581065150665,0.15764884484446332,0.8544698544698545,,0,,-0.09041279669762636,False,False,True,0.747250549890022,,0.008536698768223005,False
