dataset	graph	sample	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
GSE131907	GSE131907_tLung	LUNG_T06	2887	100	1539	1.6496440172195435	0.5330793210945618	high	True
GSE131907	GSE131907_tLung	LUNG_T08	3545	42	2128	1.5306764841079712	0.6002820874471086	low	True
GSE131907	GSE131907_tLung	LUNG_T09	3790	5	1981		0.5226912928759895	unscored	True
GSE131907	GSE131907_tLung	LUNG_T18	3498	1002	1090	1.8248164653778076	0.31160663236134933	high	True
GSE131907	GSE131907_tLung	LUNG_T19	4088	222	1712	1.390738844871521	0.4187866927592955	low	True
GSE131907	GSE131907_tLung	LUNG_T20	4001	434	2418	1.8149075508117676	0.604348912771807	high	True
GSE131907	GSE131907_tLung	LUNG_T25	4321	223	1599	1.3818156719207764	0.37005322841934735	low	True
GSE131907	GSE131907_tLung	LUNG_T28	4612	984	1631	2.02643084526062	0.353642671292281	high	True
GSE131907	GSE131907_tLung	LUNG_T30	3868	784	1414	1.0103753805160522	0.3655635987590486	low	True
GSE131907	GSE131907_tLung	LUNG_T31	4934	182	3713	1.1920487880706787	0.7525334414268342	low	True
GSE131907	GSE131907_tLung	LUNG_T34	3232	2374	366	1.6022334098815918	0.11324257425742575	high	True
