contrast	dataset	n	rho	p	lo	hi
CLDN4 vs CytoTRACE2	GSE123902	13	-0.46703296703296704	0.10760914039913913	-0.8096717468245659	0.11305222120809028
CLDN4 vs CytoTRACE2	GSE131907	21	-0.5116883116883117	0.01773639724372509	-0.7726985876074025	-0.1026747103586626
CLDN4 vs CytoTRACE2	GSE205335	22	-0.24788255223037836	0.26601937978240725	-0.6061485629096101	0.19400874879489877
CLDN4 vs CytoTRACE2	GSE189357	9	0.3666666666666667	0.3317398014330152	-0.3932172966438105	0.8289382660157639
CLDN4 vs Ben-Porath ES1 stemness	GSE123902	13	0.4450549450549451	0.12752383613843685	-0.14035693332675833	0.7998958964665674
CLDN4 vs Ben-Porath ES1 stemness	GSE131907	21	0.1064935064935065	0.6459166351388025	-0.340870892419405	0.5145327957108198
CLDN4 vs Ben-Porath ES1 stemness	GSE205335	22	0.29531338226990406	0.1821131852004085	-0.14426396613162304	0.6375483552913562
CLDN4 vs Ben-Porath ES1 stemness	GSE189357	9	0.06666666666666667	0.8646897846262036	-0.6251416095115173	0.6998121787447572
CLDN4 vs Wong ESC stemness	GSE123902	13	0.09890109890109891	0.7478683035983906	-0.4781482680629534	0.6163092756591617
CLDN4 vs Wong ESC stemness	GSE131907	21	0.05844155844155843	0.8013282220179796	-0.3829125725558924	0.47807398711844296
CLDN4 vs Wong ESC stemness	GSE205335	22	0.07396950875211745	0.7435587990333695	-0.3588366529984439	0.480596542569655
CLDN4 vs Wong ESC stemness	GSE189357	9	0.03333333333333333	0.9321567355405039	-0.6450770928495034	0.6823574591513761
CLDN4 vs barrier/keratin (no CLDN4)	GSE123902	13	0.5714285714285714	0.0413422673717235	0.029826221444744883	0.8536479508285921
CLDN4 vs barrier/keratin (no CLDN4)	GSE131907	21	0.1155844155844156	0.6178368603191974	-0.3327105499578341	0.5212683429670406
CLDN4 vs barrier/keratin (no CLDN4)	GSE205335	22	0.39243365330321855	0.07084079067181379	-0.03496710501260858	0.6984810130596242
CLDN4 vs barrier/keratin (no CLDN4)	GSE189357	9	0.45	0.22421610749233675	-0.3054018567746413	0.8577762355445255
CytoTRACE2 vs Ben-Porath ES1	GSE123902	13	-0.027472527472527472	0.9290117291603509	-0.5698399923176898	0.5315671316769668
CytoTRACE2 vs Ben-Porath ES1	GSE131907	21	0.3649350649350649	0.10382027127753134	-0.0792424975319764	0.6882083028364143
CytoTRACE2 vs Ben-Porath ES1	GSE205335	22	0.20158102766798422	0.3683370734344016	-0.24047182529749034	0.5743799287083272
CytoTRACE2 vs Ben-Porath ES1	GSE189357	9	0.8499999999999999	0.0037047773275858125	0.4268071838243652	0.9677979066903138
CytoTRACE2 vs barrier/keratin (no CLDN4)	GSE123902	13	-0.39010989010989006	0.18757411613383787	-0.7746036814073891	0.20493333553289172
CytoTRACE2 vs barrier/keratin (no CLDN4)	GSE131907	21	-0.07272727272727272	0.7540636728389067	-0.48906628094174204	0.37060179218624845
CytoTRACE2 vs barrier/keratin (no CLDN4)	GSE205335	22	-0.6691134952004518	0.0006611865482963787	-0.8507304808373493	-0.3447571622849447
CytoTRACE2 vs barrier/keratin (no CLDN4)	GSE189357	9	0.48333333333333334	0.18746985521554216	-0.2662673970281427	0.868634837422806
CLDN4 vs frac Differentiated	GSE123902	13	0.510989010989011	0.07432891414402142	-0.055681404913708425	0.8286691989399193
CLDN4 vs frac Differentiated	GSE131907	21	0.5254277479842545	0.014442401621788961	0.12123247788055713	0.780162075487095
CLDN4 vs frac Differentiated	GSE205335	22	0.2554394814362859	0.2512405014428077	-0.1862324708794102	0.6112272697637793
CLDN4 vs frac Differentiated	GSE189357	9	0.16666666666666669	0.668231040071504	-0.5593801039689896	0.7480015563861971
