contrast	k	n	rho	p	q	I2	family	dataset	lo	hi	note	W	delta
CLDN4 vs CytoTRACE2	4.0	65	-0.3032832914503907	0.07030566562798654	0.1071838166691875	33.02927114079284	primary_DL						
CLDN4 vs Ben-Porath ES1 stemness	4.0	65	0.2385784736350196	0.07655986904941965	0.1071838166691875	0.0	primary_DL						
CLDN4 vs Wong ESC stemness	4.0	65	0.06882440409168163	0.6157782417003703	0.6157782417003703	0.0	primary_DL						
CLDN4 vs barrier/keratin (no CLDN4)	4.0	65	0.35007869300241645	0.0077880367048057935	0.027258128466820276	0.0	primary_DL						
CytoTRACE2 vs Ben-Porath ES1	4.0	65	0.36736801686404674	0.07279985629107842	0.1071838166691875	55.67705553508387	primary_DL						
CytoTRACE2 vs barrier/keratin (no CLDN4)	4.0	65	-0.2428777797477834	0.3438826840608413	0.4011964647376482	70.08616879447932	primary_DL						
CLDN4 vs frac Differentiated	4.0	65	0.394732743863046	0.002376217237914023	0.016633520665398163	0.0	primary_DL						
CLDN4 vs CytoTRACE2		13	-0.46703296703296704	0.10760914039913913			cohort	GSE123902	-0.8096717468245659	0.11305222120809028			
CLDN4 vs CytoTRACE2		21	-0.5116883116883117	0.01773639724372509			cohort	GSE131907	-0.7726985876074025	-0.1026747103586626			
CLDN4 vs CytoTRACE2		22	-0.24788255223037836	0.26601937978240725			cohort	GSE205335	-0.6061485629096101	0.19400874879489877			
CLDN4 vs CytoTRACE2		9	0.3666666666666667	0.3317398014330152			cohort	GSE189357	-0.3932172966438105	0.8289382660157639			
CLDN4 vs Ben-Porath ES1 stemness		13	0.4450549450549451	0.12752383613843685			cohort	GSE123902	-0.14035693332675833	0.7998958964665674			
CLDN4 vs Ben-Porath ES1 stemness		21	0.1064935064935065	0.6459166351388025			cohort	GSE131907	-0.340870892419405	0.5145327957108198			
CLDN4 vs Ben-Porath ES1 stemness		22	0.29531338226990406	0.1821131852004085			cohort	GSE205335	-0.14426396613162304	0.6375483552913562			
