dataset	patient_id	file	n_raw	n_gate	n_qc	expected_gate
GSE123902	LX653	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	145	142	145
GSE123902	LX661	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	117	115	117
GSE123902	LX666	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	786	767	786
GSE123902	LX675	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	618	597	618
GSE123902	LX676	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	147	146	147
GSE123902	LX255B	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	228	215	228
GSE123902	LX679	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	497	461	497
GSE123902	LX680	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	258	229	258
GSE123902	LX681	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1207	1008	1207
GSE123902	LX682	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	421	404	421
GSE123902	LX684	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	173	170	173
GSE123902	LX699	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	46	44	46
GSE123902	LX701	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	90	86	90
GSE189357	TD1	GSM5699777_TD1_matrix.mtx.gz	15216	2186	2153	2186
GSE189357	TD2	GSM5699778_TD2_matrix.mtx.gz	18064	1207	1187	1207
GSE189357	TD3	GSM5699779_TD3_matrix.mtx.gz	12658	664	663	664
GSE189357	TD4	GSM5699780_TD4_matrix.mtx.gz	11756	491	490	491
GSE189357	TD5	GSM5699781_TD5_matrix.mtx.gz	19079	1736	1729	1736
GSE189357	TD6	GSM5699782_TD6_matrix.mtx.gz	8999	1211	1202	1211
GSE189357	TD7	GSM5699783_TD7_matrix.mtx.gz	3507	849	849	849
GSE189357	TD8	GSM5699784_TD8_matrix.mtx.gz	15521	1019	1018	1019
GSE189357	TD9	GSM5699785_TD9_matrix.mtx.gz	17573	4889	4877	4889
GSE131907	BRONCHO_11	raw_UMI	203	200	200	
GSE131907	BRONCHO_58	raw_UMI	460	200	200	
GSE131907	EBUS_06	raw_UMI	1186	200	200	
GSE131907	EBUS_10	raw_UMI	367	200	200	
GSE131907	EBUS_12	raw_UMI	257	200	200	
GSE131907	EBUS_13	raw_UMI	376	200	200	
GSE131907	EBUS_15	raw_UMI	256	200	200	
GSE131907	EBUS_19	raw_UMI	217	200	200	
GSE131907	EBUS_28	raw_UMI	4640	200	200	
GSE131907	EBUS_49	raw_UMI	114	114	114	
GSE131907	EBUS_51	raw_UMI	1285	200	200	
GSE131907	NS_02	raw_UMI	181	181	181	
GSE131907	NS_03	raw_UMI	2713	200	200	
GSE131907	NS_04	raw_UMI	1229	200	200	
GSE131907	NS_06	raw_UMI	83	83	83	
GSE131907	NS_07	raw_UMI	5108	200	200	
GSE131907	NS_12	raw_UMI	2811	200	200	
GSE131907	NS_13	raw_UMI	1352	200	200	
GSE131907	NS_16	raw_UMI	79	79	79	
GSE131907	NS_17	raw_UMI	1112	200	200	
GSE131907	NS_19	raw_UMI	755	200	200	
GSE205335	P0031	UMI_matrix.rds	319	200	200	
GSE205335	P1006	UMI_matrix.rds	1282	200	200	
GSE205335	P1015	UMI_matrix.rds	291	200	200	
GSE205335	P1016	UMI_matrix.rds	5336	200	200	
GSE205335	P1017	UMI_matrix.rds	2186	200	200	
GSE205335	P1018	UMI_matrix.rds	1180	200	200	
GSE205335	P1025	UMI_matrix.rds	980	200	200	
GSE205335	P1027	UMI_matrix.rds	1318	200	200	
GSE205335	P1030	UMI_matrix.rds	603	200	200	
GSE205335	P1037	UMI_matrix.rds	3671	200	200	
GSE205335	P1056	UMI_matrix.rds	2386	200	200	
GSE205335	P1062	UMI_matrix.rds	188	188	188	
GSE205335	P1063	UMI_matrix.rds	131	131	131	
GSE205335	P1072	UMI_matrix.rds	406	200	200	
GSE205335	P1076	UMI_matrix.rds	849	200	200	
GSE205335	P1079	UMI_matrix.rds	543	200	200	
GSE205335	P1084	UMI_matrix.rds	196	196	196	
GSE205335	P1089	UMI_matrix.rds	1063	200	200	
GSE205335	P1090	UMI_matrix.rds	566	200	200	
GSE205335	P1115	UMI_matrix.rds	3769	200	200	
GSE205335	P1119	UMI_matrix.rds	1222	200	200	
GSE205335	P4001	UMI_matrix.rds	27	27	27	
