	protein	R2A	R9A	R13A	R25A	R31A	R40A	R41A	R70A	R77A	R96A	R101A	R102A	R111A	R113A	R116A	R138A	R141A	R37A	R43A	R87A	R97A	R99A	R108A	R124A	R133	R136A	R137A	R139A	R145A	R146A	NR10A	NR17A	NR20A	NR66A	NR68A	NR85A	NR88A	NR89A	NR100A	NR103A	NR104A	NR118A	NR125A	NR142A	NR51A	NR60A	NR128A	NR148A	p_val	foldchange	log_pval
1	P0CG40_SP9	13.23670036	9.473479236	14.4494003	7.858300204	10.43466027	14.40136523	15.19073889	11.89984221	9.356439843	13.64094859	12.00456655	11.84621941	14.23453886	13.18258763	10.30510095	12.67375022	13.77476139	10.13133444	13.03261503	9.34279916	9.881277831	14.16883669	11.99339805	10.63051033	14.04230862	12.63115792	12.46711277	8.667551508	14.38722075	13.00850764	14.24601121	8.528666062	10.59004367	10.01421886	13.95248482	14.15129939	12.27191032	14.00519112	12.6307645	12.21062536	10.69591141	13.80498393	11.78624583	12.76587912	11.56087448	12.32885542	8.927100725	11.46085558	0.882330348097992	0.0820498178999998	0.0543687827875201
2	P55011_S12A2	11.10015026	11.71845913	11.72575233	10.77050403	11.68627909	9.182993092	11.12998196	9.129669578	9.646336005	8.496106415	11.66704662	12.27472082	10.81615561	10.90131747	10.58945257	11.4519694	14.03420566	13.67388679	11.36396501	13.12030256	11.92720376	9.310064928	14.35507789	11.06023311	12.58276804	10.04045611	10.60626966	12.04151485	14.20149219	11.37322333	12.37369299	15.54560031	10.89871173	13.39714584	14.78327775	12.16000945	11.69177886	10.5244231	12.05192911	11.73762907	11.64353496	13.67984778	13.74148393	13.33087541	10.10666384	10.55565679	12.97112235	11.33914893	0.0382065222566243	-0.963666513288889	1.41786249210735
3	P35453_HXD13	12.26689359	10.06011209	10.20666995	12.44608087	11.6449966	11.70480972	11.47559743	15.13234073	12.35473518	14.84449364	12.38276148	10.15975181	10.63237979	12.1245221	10.18640792	9.633548136	12.21904737	12.56888957	11.80378476	16.12668413	12.36283483	11.38513968	9.672779866	11.70848259	10.60103791	13.38340671	10.69703529	13.50786548	10.33067407	11.06099643	10.94884728	14.91354141	13.86503779	14.59567562	10.31519395	10.60606493	12.79996447	10.99756536	12.98030563	13.79069527	12.49885997	12.26433577	10.61178632	12.18912834	14.87987161	11.48983808	12.4702678	15.38971327	0.0978994198432419	-0.821990946488889	1.00921988183961
4	P50914_RL14	14.5926662	12.4636944	13.6815871	12.82967714	11.49404968	14.17099179	13.52482288	13.25910444	11.56507194	13.23638405	10.5294505	15.53922783	14.84662101	13.90266559	13.00100082	14.62983349	12.97528973	13.89423457	15.54130871	12.05267457	13.86663492	12.94627138	12.62475445	12.77815939	13.18412196	14.42394219	14.72908265	12.5644944	14.98206379	12.82279001	13.97134156	11.39027123	13.81698815	12.69720216	14.2241763	14.67221193	11.21078505	15.54234183	14.67172222	14.27903873	13.46132528	12.8518608	13.08316586	12.64188053	12.35276128	12.9069676	12.37983827	14.01009894	0.821969114704308	0.0793125126666663	0.0851445006661403
5	O14654_IRS4	13.78366308	14.02752874	14.27345587	15.46809235	13.50414568	13.01737478	15.14622287	11.88652482	14.53123458	13.42488596	14.01762114	12.8038288	12.72079092	13.95177333	13.63806065	14.00049989	11.97379413	15.44640531	14.12551235	13.92092076	15.01661613	13.77141886	13.22777984	13.55543912	13.66169504	14.34090525	14.55173535	14.94527051	12.76874264	13.93590206	12.69345688	14.90587399	12.51105074	13.83875744	12.85875226	14.17554171	13.65040137	14.8927978	13.77749397	11.26169446	13.95515112	14.46359077	13.21708562	13.61522936	13.97141651	14.70416928	14.04204939	14.07037024	0.5909722991022	0.147656754222222	0.228432875513001
6	P37108_SRP14	13.4045639	12.55864455	11.19611018	16.0512278	11.8633965	15.57067311	13.13350868	12.28132752	13.22522354	14.72654142	11.410367	15.29099181	13.94658285	14.64045165	13.95358255	12.5887642	14.27370521	12.61135077	14.59977377	12.62196403	13.47753055	14.02451016	7.896481628	14.45761666	9.693026368	12.34870498	14.32528456	12.11865155	10.70962001	15.72653747	11.63568164	14.41925415	16.16011351	15.70420742	12.57131629	12.58072584	10.48977149	14.522077	11.5631997	13.83624367	13.15000785	16.74499562	12.78586809	12.62569085	14.56209971	14.4308794	13.81909028	12.36090138	0.446777431311441	-0.395894161355555	0.34990877312236
7	Q96JP5_ZFP91	16.71528014	15.18722851	13.10113668	15.5948384	13.16618325	13.59426803	15.52594664	13.60884666	15.64142373	14.04063663	13.842929	15.90582549	14.83328211	15.27661201	14.52585819	14.54052637	15.36411221	13.8468734	16.38928272	17.29436874	15.30971249	14.18545195	13.12819804	14.68442694	14.71485352	14.79599339	15.39417957	12.38980981	12.6673415	14.04264462	12.34274676	16.5692105	14.24163552	14.90727632	14.88245026	15.8142167	13.78993907	15.53491065	17.1035812	14.22123875	13.73952883	15.77495249	17.33623356	15.50956859	13.9733697	14.22647297	17.85275661	13.57439562	0.299431706958426	-0.433868980888889	0.523702213919511
8	P36578_RL4	10.71907453	9.79842894	13.67055801	11.94164497	12.65345959	12.66193172	13.45459335	15.86189122	13.08309965	12.4053991	14.22683151	12.75243471	12.96461128	11.97767614	14.77999896	15.29544874	14.21485062	11.88521477	13.65501271	12.91966842	12.39031401	13.14926374	10.91409391	13.49383872	11.92825746	13.27671829	15.52764354	14.35488083	13.91669926	12.07386551	14.58691335	11.27841515	12.56563978	11.65234361	10.74968068	14.08662096	12.44098336	13.51419152	11.68210115	18.01815713	12.76319698	12.47141139	13.58498165	12.19592487	14.28494425	15.01583076	14.44489733	14.2978727	0.607868070421595	-0.248092449666666	0.216190668268622
9	Q92945_FUBP2	13.65531773	13.01495674	13.80475215	14.36757038	12.5823581	12.31891169	13.10024961	12.13244799	15.1923163	13.09458795	13.00128161	13.2407962	12.68886263	14.11142903	12.9942677	14.06036209	13.90815609	14.40014211	15.6776421	15.15749539	14.08634977	15.6799218	11.44921008	14.41877135	13.4925508	13.08385297	14.30147181	17.1007868	14.98331239	13.24689804	14.97697551	13.89000635	14.45337694	13.82350966	12.02364359	14.69306088	12.62849645	14.28940579	14.65275851	11.6284725	15.10371986	13.90927089	12.3421292	12.63646684	13.60220983	12.98907137	13.85157087	14.200956	0.626220811731698	0.161839811111111	0.203272503199393
10	Q8TEJ3_SH3R3	18.09714434	13.49102454	13.83423505	11.79991861	12.67991454	12.68818016	11.67100828	12.19715218	12.98048936	14.60488984	13.28685535	12.76820958	11.65249781	15.16150571	13.00458755	12.26353221	13.54340951	12.65766076	13.43141768	12.81212304	13.51079164	14.24029098	13.76078805	14.1046567	16.61284613	13.39375902	13.79975148	12.71394815	11.49058655	12.21199435	15.48841236	11.65767929	11.47865304	9.92294661	13.76917763	14.14192554	13.46675311	12.63030614	13.1363367	12.25727905	12.68667867	12.65389457	14.79059844	15.25529619	13.18727314	17.24232862	12.20633741	16.72388515	0.794598707619534	-0.134258898333334	0.099852145641292
