cohort	n_intersect_tumors	n_cldn4_protein	n_cldn4_protein_na	n_Q1	n_Q2	n_Q3	n_Q4	n_ImmuneScore_among_cldn4	n_GEP18_among_cldn4	n_CD8A_among_cldn4	gep18_genes_used	tacstd2_gate
LUAD	110	79	31	20	20	19	20	79	79	79	18	none
LSCC	108	78	30	20	19	19	20	78	78	78	18	none
