case_id	cohort	CLDN4_protein	ImmuneScore	GEP18	CD8A	quartile	tacstd2_gate
11LU013	LUAD	24.2288100347116	7328.733	-0.44530100960095687	8.083	Q4	none
11LU016	LUAD	23.1247733514201	8959.895	0.4516368025024478	9.0321	Q3	none
11LU022	LUAD	22.6898994877278	7824.536	0.04549604078576097	9.2421	Q1	none
11LU035	LUAD	23.7962370228291	9197.404	-0.022154039988963526	8.1123	Q4	none
C3L-00001	LUAD	22.2505932145858	7303.39	-0.5236311368753239	7.5305	Q1	none
C3L-00009	LUAD		8803.27	-0.11182875273311131	8.6423		none
C3L-00080	LUAD	22.8925375144422	7241.276	-0.256009728931768	8.7215	Q2	none
C3L-00083	LUAD		9412.821	0.1097069180105615	8.0796		none
C3L-00093	LUAD	22.6538741788685	9279.385	0.5643322768046256	8.4101	Q1	none
C3L-00094	LUAD		7797.116	-0.359373455348075	8.7121		none
C3L-00095	LUAD	22.7377013762395	9895.047	0.3344051193022715	9.4818	Q1	none
C3L-00140	LUAD	23.6406399698345	7657.542	-0.40821086899086695	7.6532	Q4	none
C3L-00144	LUAD		8814.897	0.7275089403517552	9.6617		none
C3L-00263	LUAD	23.553764737516	10419.327	0.9145018933745175	9.8518	Q4	none
C3L-00279	LUAD	23.2860645112057	9568.736	0.6352658944573961	8.7571	Q3	none
C3L-00368	LUAD	23.0710721901358	8590.971	0.0641068322683552	8.5024	Q2	none
C3L-00412	LUAD	23.3303204083114	9397.489	0.029671727290437464	8.4523	Q4	none
C3L-00422	LUAD		8202.736	-0.5655818854323864	7.5652		none
C3L-00510	LUAD	23.1292447486031	6027.041	-0.5519971777352302	7.5522	Q3	none
C3L-00604	LUAD		7529.111	-0.49725731758050684	6.2557		none
C3L-00893	LUAD	24.6759156789237	7770.22	-0.5414103313918213	7.8422	Q4	none
C3L-00913	LUAD	22.2374648973275	9537.491	0.4552388539286216	9.6218	Q1	none
C3L-00973	LUAD	23.9705222145823	9864.86	0.588417403288227	8.9221	Q4	none
C3L-01330	LUAD	23.9091447507019	7885.714	-0.36112270019919834	6.9416	Q4	none
C3L-01632	LUAD	23.2057692073973	6697.275	-1.0573523064099908	7.315	Q3	none
C3L-01682	LUAD	22.5812742648168	9994.354	0.8314522876629198	8.7119	Q1	none
C3L-01683	LUAD	22.9576002640105	11247.81	1.8485238907214747	10.7217	Q2	none
C3L-01862	LUAD	22.8498798230815	8435.346	0.27339584424681285	8.5822	Q2	none
C3L-01889	LUAD		6086.455	-0.9790336414380447	7.6225		none
C3L-01890	LUAD	23.2027895420681	6649.477	-0.9833555857948382	8.4298	Q3	none
C3L-01924	LUAD	23.2693463646084	8816.864	0.4284379450718754	8.7421	Q3	none
C3L-02219	LUAD	23.1144638152865	9474.976	0.5504724954933713	7.8927	Q3	none
C3L-02345	LUAD	23.0881877526733	8658.056	0.2615454875413761	8.5517	Q3	none
C3L-02348	LUAD	21.4349671016967	9193.413	0.7336993933596876	9.7819	Q1	none
C3L-02350	LUAD	22.9163465657716	9532.847	0.6141764971907309	9.2421	Q2	none
C3L-02365	LUAD		6099.632	-1.5161672376426163	6.7147		none
C3L-02508	LUAD	22.4996764483953	9456.088	0.20278004000525937	8.303	Q1	none
C3L-02549	LUAD		8477.417	0.32138741057391684	8.4525		none
C3N-00167	LUAD	22.5282200233318	7747.156	-0.3747725532784711	7.554	Q1	none
C3N-00169	LUAD		7777.296	-0.35765107748391567	8.1533		none
C3N-00175	LUAD		7796.313	-0.06356300554192307	7.9407		none
C3N-00180	LUAD	23.1521648288664	4638.346	-1.517039162880419	6.2931	Q3	none
C3N-00199	LUAD		6680.621	-0.9897452588640979	7.5329		none
C3N-00203	LUAD	22.7256513326753	9029.167	1.1009110029259732	9.8119	Q1	none
C3N-00217	LUAD	23.1796512868201	6731.891	-0.38952196776738995	8.4422	Q3	none
C3N-00223	LUAD		9123.682	0.5215843084013315	8.3021		none
C3N-00293	LUAD	22.759500088294	7722.183	-0.05508195246822401	8.6974	Q1	none
C3N-00294	LUAD		7704.568	-0.014565742542612257	8.2317		none
C3N-00433	LUAD	23.4315563797695	11277.868	2.302956567030778	12.0516	Q4	none
C3N-00546	LUAD		9126.47	0.7675354301748609	9.4419		none
C3N-00547	LUAD	22.681142044946	6623.462	-0.42232184888609925	7.371	Q1	none
C3N-00549	LUAD	23.6160125139896	4096.151	-1.7171023106224563	8.1124	Q4	none
C3N-00550	LUAD	23.5374327819564	8281.054	-0.01494359022162214	8.3224	Q4	none
C3N-00551	LUAD		8248.138	-0.36929648700398277	7.913		none
C3N-00552	LUAD		9182.698	-0.04480054970726219	7.3331		none
C3N-00556	LUAD		9126.827	0.8506600506362614	8.8923		none
C3N-00559	LUAD	23.5373723891433	8231.303	0.17232678983957544	8.982	Q4	none
C3N-00560	LUAD	23.2506094037229	7477.095	0.19876242259854995	9.6919	Q3	none
C3N-00572	LUAD	23.1132171218189	8704.862	0.005428287431980955	7.8433	Q3	none
C3N-00574	LUAD	23.5742067301739	8127.54	-0.020302197904833882	8.1628	Q4	none
C3N-00578	LUAD	23.1164940904834	8004.16	-0.34596048249624695	7.5334	Q3	none
C3N-00579	LUAD		8711.774	0.8327973288814611	8.6327		none
C3N-00580	LUAD	22.956394458931	7017.657	-0.0439853624630599	8.3726	Q2	none
C3N-00704	LUAD		8007.408	0.0689859300427545	8.802		none
C3N-00737	LUAD	22.8389478624937	9145.274	0.7462738133174139	9.5316	Q2	none
C3N-00738	LUAD	23.2917756667206	9494.847	0.12775894288957765	9.6517	Q3	none
C3N-00959	LUAD	22.9716358025199	7461.782	-0.7551577593800715	7.9626	Q2	none
C3N-01016	LUAD	22.8077305689692	7215.226	-0.7794176648730095	7.89	Q2	none
C3N-01021	LUAD	22.893751041462	7849.283	-0.4684784982466385	7.8632	Q2	none
C3N-01023	LUAD	23.0412586404478	8770.69	0.2598163267664097	9.3319	Q2	none
C3N-01024	LUAD	23.0852976928544	6950.055	-0.9313123678428996	6.8832	Q3	none
C3N-01030	LUAD		8697.712	0.26695744544702815	8.3324		none
C3N-01071	LUAD	22.7761210374651	8123.593	-0.09208114904176395	8.7327	Q2	none
C3N-01072	LUAD		8166.396	0.27312554525398813	8.3324		none
C3N-01074	LUAD	23.2922695578876	6978.484	-0.9184571236382788	7.1343	Q4	none
C3N-01405	LUAD	22.74180487393	8478.652	0.5399690557448944	9.9618	Q1	none
C3N-01410	LUAD	23.3211210488318	7393.52	-0.4834931896173597	7.8926	Q4	none
C3N-01413	LUAD	22.9881347041029	8952.236	0.7177787521073875	8.6817	Q2	none
C3N-01414	LUAD		7302.268	-0.8612871085759882	8.4018		none
C3N-01415	LUAD	23.6366902249778	8236.775	-0.008368201602157134	7.853	Q4	none
C3N-01416	LUAD	22.8022385013355	9556.236	0.9102271667530977	8.8025	Q2	none
C3N-01488	LUAD	22.7616095643611	9111.416	0.5124707747966935	8.5522	Q2	none
C3N-01489	LUAD	23.4378993502263	9632.214	0.7527202817790077	9.3918	Q4	none
C3N-01799	LUAD	22.9868855161172	9447.079	0.3888834439258133	8.252	Q2	none
C3N-01823	LUAD		8443.056	-0.04740970331042044	9.0521		none
C3N-01842	LUAD		7193.706	-0.4144179639924612	7.0017		none
C3N-02000	LUAD	22.6138202897042	8114.258	-0.19921406715066936	7.1627	Q1	none
C3N-02002	LUAD	23.0423185151942	7394.305	-0.6311931723502968	7.8228	Q2	none
C3N-02003	LUAD	22.5151424908747	10593.123	1.6312953268136958	10.2317	Q1	none
C3N-02067	LUAD	22.9703406837123	7841.881	-0.5400908701079439	6.8656	Q2	none
C3N-02087	LUAD		9956.644	0.7727177167703909	8.3224		none
C3N-02089	LUAD	22.5664900184424	7793.194	-0.12014422949645048	8.5548	Q1	none
C3N-02145	LUAD	23.0912934238736	7808.154	-0.5911223418965297	7.9931	Q3	none
C3N-02149	LUAD	23.4279584707319	7484.389	-0.6917247343776505	7.9522	Q4	none
C3N-02155	LUAD	23.1315863737099	5976.38	-1.1636452144408902	7.8134	Q3	none
C3N-02158	LUAD		8115.207	-0.09893264459092167	8.8023		none
C3N-02379	LUAD	23.5417998945134	8719.779	0.6755524854701389	8.5428	Q4	none
C3N-02380	LUAD		6803.122	-0.9149035103609157	5.9737		none
C3N-02421	LUAD		7897.621	-0.2407274434059387	7.3723		none
C3N-02422	LUAD	24.9609243822922	7126.44	-0.5748046082392286	6.6809	Q4	none
C3N-02423	LUAD	22.8022812803958	9819.911	1.350841497358019	9.7918	Q2	none
C3N-02424	LUAD	22.4020229349542	9810.899	0.9177523415422085	8.2217	Q1	none
C3N-02433	LUAD	22.7954243706539	8929.383	0.044264632582951324	8.2926	Q2	none
C3N-02529	LUAD	21.7468855979234	9232.569	0.9191848200951994	9.372	Q1	none
C3N-02572	LUAD	23.2219729497678	7861.555	-0.1664441421462415	7.3428	Q3	none
C3N-02582	LUAD		7622.619	-0.030329185743378735	6.9142		none
C3N-02586	LUAD	23.0831956652913	7372.811	-0.046755402703360455	8.4021	Q3	none
C3N-02587	LUAD	22.0696702147104	8542.659	-0.2486043719059703	7.6027	Q1	none
C3N-02588	LUAD		7087.149	-0.733876145134184	6.4568		none
C3N-02729	LUAD	22.2029179081993	6676.307	-0.9428649412118971	6.3259	Q1	none
C3L-00081	LSCC		6236.282	-1.02892119685862	7.0041		none
