stratum,metric,radius,n_sections_usable,high_mean,low_mean,delta,ratio,sections_high_lt_low,patients_high_lt_low,sign_p_sections,sign_p_patients,wilcoxon_p_sections
cldn4_high,imm_frac,10,8,0.03323413961211366,0.04626312156548944,-0.013028981953375776,0.7183721825832239,7,4,0.03515625,0.1875,0.015625
cldn4_high,imm_frac,20,8,0.06078286733204605,0.06851137360844561,-0.007728506276399566,0.8871938209768013,4,3,0.63671875,0.5,0.640625
cldn4_high,imm_frac,50,8,0.1284548061605867,0.1277580557643415,0.0006967503962451993,1.0054536709413486,2,2,0.96484375,0.8125,0.546875
cldn4_high,imm_frac,100,8,0.1913452848860936,0.18163111143107694,0.009714173455016656,1.0534829819543492,2,2,0.96484375,0.8125,0.3828125
cldn4_high,cd8_n,10,8,0.0027745197280001853,0.005158544705765319,-0.0023840249777651334,0.5378493133730745,6,4,0.14453125,0.1875,0.03125
cldn4_high,cd8_n,20,8,0.028186654814478997,0.03442336073488473,-0.006236705920405733,0.8188234446822783,4,4,0.63671875,0.1875,0.3828125
cldn4_high,cd8_n,50,8,0.318184416347685,0.3222530748264064,-0.004068658478721399,0.9873743377594981,4,2,0.63671875,0.8125,0.84375
cldn4_high,cd8_n,100,8,1.7119875548566446,1.6986091028038395,0.013378452052805079,1.0078761217226033,3,1,0.85546875,0.96875,0.640625
cldn4_low,imm_frac,10,8,0.04674590516107538,0.09217538287530434,-0.045429477714228964,0.5071408840722001,8,5,0.00390625,0.03125,0.0078125
cldn4_low,imm_frac,20,8,0.06606969914832206,0.11250710511329785,-0.046437405964975795,0.5872491260155347,8,5,0.00390625,0.03125,0.0078125
cldn4_low,imm_frac,50,8,0.12483388938426086,0.1589620875164724,-0.03412819813221153,0.7853060521196602,7,4,0.03515625,0.1875,0.015625
cldn4_low,imm_frac,100,8,0.1807076909609288,0.20006223831429704,-0.019354547353368223,0.903257368724615,7,4,0.03515625,0.1875,0.0546875
cldn4_low,cd8_n,10,8,0.0048347199928872285,0.008526896448042196,-0.0036921764551549677,0.566996447341318,8,5,0.00390625,0.03125,0.0078125
cldn4_low,cd8_n,20,8,0.03844892331562667,0.051542020943505816,-0.01309309762787915,0.7459723660771813,8,5,0.00390625,0.03125,0.0078125
cldn4_low,cd8_n,50,8,0.36228727083873785,0.40373973695593335,-0.0414524661171955,0.8973287434382019,7,5,0.03515625,0.03125,0.109375
cldn4_low,cd8_n,100,8,1.8730633485637231,1.907829995855199,-0.03476664729147583,0.9817768630501632,5,3,0.36328125,0.5,0.640625
