sample,patient,radius,n_high,n_low,any_cell_high,any_cell_low,any_cell_delta,any_immune_high,any_immune_low,any_immune_delta,any_cd8_high,any_cd8_low,any_cd8_delta
LUAD-5 R1,Lung5,10,8918,8919,0.7971518277640727,0.8096199125462495,-0.01246808478217687,0.02119309262166405,0.03767238479650185,-0.016479292174837797,0.0,0.0003363605785401951,-0.0003363605785401951
LUAD-5 R1,Lung5,20,8918,8919,0.9986544068176721,0.9956273124789775,0.003027094338694636,0.16461089930477685,0.2012557461598834,-0.03664484685510655,0.0019062570082978246,0.004933288485256195,-0.00302703147695837
LUAD-5 R1,Lung5,50,8918,8919,1.0,1.0,0.0,0.7011661807580175,0.725866128489741,-0.02469994773172346,0.054384391119084996,0.06458123107971746,-0.010196839960632462
LUAD-5 R1,Lung5,100,8918,8919,1.0,1.0,0.0,0.9844135456380354,0.9900213028366409,-0.005607757198605512,0.2760708679076026,0.30193967933624843,-0.025868811428645833
LUAD-5 R2,Lung5,10,8957,8957,0.8301886792452831,0.8387853075806632,-0.008596628335380108,0.02277548286256559,0.03427486881768449,-0.011499385955118898,0.0,0.0002232890476722117,-0.0002232890476722117
LUAD-5 R2,Lung5,20,8957,8957,0.9997767109523278,0.996873953332589,0.002902757619738794,0.17048118789773362,0.20620743552528747,-0.03572624762755386,0.00267946857206654,0.003572624762755387,-0.0008931561906888471
LUAD-5 R2,Lung5,50,8957,8957,1.0,1.0,0.0,0.7136317963603885,0.7350675449369208,-0.0214357485765323,0.062074355252874844,0.06095791001451379,0.0011164452383610537
LUAD-5 R2,Lung5,100,8957,8957,1.0,1.0,0.0,0.9917383052361282,0.9901752819024227,0.0015630233337055044,0.3126046667410963,0.2827955788768561,0.029809087864240247
LUAD-5 R3,Lung5,10,7942,7951,0.7719717955175018,0.7856873349264244,-0.013715539408922561,0.019264668849156383,0.03508992579549742,-0.015825256946341036,0.00012591286829513975,0.00037731103005911207,-0.00025139816176397234
LUAD-5 R3,Lung5,20,7942,7951,0.998237219843868,0.9937114828323481,0.004525737011519926,0.16884915638378242,0.19343478807697145,-0.02458563169318903,0.004910601863510451,0.004779273047415419,0.00013132881609503183
LUAD-5 R3,Lung5,50,7942,7951,1.0,1.0,0.0,0.696424074540418,0.7279587473273802,-0.0315346727869622,0.0652228657768824,0.07055716262105395,-0.005334296844171554
LUAD-5 R3,Lung5,100,7942,7951,1.0,1.0,0.0,0.9725509947116595,0.9793736636901019,-0.006822668978442414,0.2913623772349534,0.29140988554898756,-4.750831403416145e-05
LUSC-6,Lung6,10,24655,41541,0.4881768403974853,0.5695096410774897,-0.08133280068000437,0.006205637801662949,0.01121783298428059,-0.005012195182617641,0.0006083958629081322,0.0007221780891167762,-0.00011378222620864404
LUSC-6,Lung6,20,24655,41541,0.9988643277225715,0.9981223369682963,0.000741990754275168,0.06793753802474144,0.08699838713560097,-0.019060849110859535,0.006854593388764957,0.00818468500999013,-0.001330091621225174
LUSC-6,Lung6,50,24655,41541,1.0,1.0,0.0,0.3924558912999392,0.40225319563804435,-0.009797304338105162,0.07446765361995539,0.076237933607761,-0.0017702799878056147
LUSC-6,Lung6,100,24655,41541,1.0,1.0,0.0,0.8131007909146217,0.8156279338484871,-0.002527142933865356,0.27462989251673087,0.29351724802002843,-0.018887355503297565
LUAD-9 R1,Lung9,10,10433,28431,0.67401514425381,0.7703211283458197,-0.09630598409200963,0.026646218729032875,0.053603461010868415,-0.02695724228183554,0.00584683216716189,0.006964229186451409,-0.0011173970192895188
LUAD-9 R1,Lung9,20,10433,28431,0.9998083005846832,0.9996482712532095,0.0001600293314736323,0.15412632991469377,0.19397840385494705,-0.03985207394025328,0.0332598485574619,0.03689634553832085,-0.0036364969808589526
LUAD-9 R1,Lung9,50,10433,28431,1.0,1.0,0.0,0.6354835617751365,0.639548380289121,-0.004064818513984436,0.2293683504265312,0.2210263444831346,0.008342005943396597
LUAD-9 R1,Lung9,100,10433,28431,1.0,1.0,0.0,0.9622352151825937,0.9557173507790792,0.0065178644035145394,0.6358669606057702,0.6211529668319792,0.014713993773791012
LUAD-9 R2,Lung9,10,25449,69427,0.6427364532987544,0.7421464271825082,-0.09940997388375383,0.01693583244921215,0.05572759877281173,-0.038791766323599576,0.0028291877873393846,0.006928140348855633,-0.004098952561516248
LUAD-9 R2,Lung9,20,25449,69427,0.9976030492357264,0.9980555115445,-0.0004524623087736046,0.09937522103029589,0.20196753424460223,-0.10259231321430634,0.017289480922629573,0.034352629380500384,-0.01706314845787081
LUAD-9 R2,Lung9,50,25449,69427,1.0,1.0,0.0,0.48693465362096744,0.6008757399858845,-0.11394108636491707,0.13250029470706118,0.19705590044219107,-0.06455560573512989
LUAD-9 R2,Lung9,100,25449,69427,1.0,1.0,0.0,0.8881291995756219,0.9199879009607214,-0.0318587013850995,0.47349601163110533,0.5496276664698172,-0.07613165483871187
LUAD-12,Lung12,10,5919,12348,0.42557864504139215,0.5550696469063816,-0.12949100186498946,0.05659739820915695,0.1833495302883058,-0.12675213207914887,0.0010136847440446021,0.008584386135406543,-0.007570701391361941
LUAD-12,Lung12,20,5919,12348,0.9800642000337895,0.9762714609653386,0.003792739068450901,0.2611927690488258,0.5081794622610949,-0.24698669321226907,0.013684744044602128,0.04559442824748947,-0.031909684202887346
LUAD-12,Lung12,50,5919,12348,0.9998310525426592,0.9994331065759637,0.0003979459666955121,0.7786788308835952,0.8713961775186265,-0.09271734663503128,0.13498901841527286,0.24011985746679623,-0.10513083905152337
LUAD-12,Lung12,100,5919,12348,1.0,1.0,0.0,0.988342625443487,0.9898769031422092,-0.001534277698722164,0.5249197499577631,0.6137026239067055,-0.08878287394894235
LUAD-13,Lung13,10,9053,16977,0.6341544239478626,0.7384696942922778,-0.10431527034441523,0.08428145366176958,0.13412263650821699,-0.04984118284644741,0.017452778084612836,0.030924191553277965,-0.013471413468665129
LUAD-13,Lung13,20,9053,16977,0.9991163150336905,0.9993520645579314,-0.00023574952424088025,0.516845244670275,0.5498615774282853,-0.0330163327580103,0.13818623660664972,0.16463450550745126,-0.02644826890080154
LUAD-13,Lung13,50,9053,16977,1.0,1.0,0.0,0.9654258256931404,0.9653649054603287,6.092023281167869e-05,0.6770131448138739,0.6762678918536844,0.0007452529601894575
LUAD-13,Lung13,100,9053,16977,1.0,1.0,0.0,0.999668618137634,1.0,-0.0003313818623660314,0.9770241908759527,0.9806208399599458,-0.003596649083993042
