sample,patient,bandwidth,outcome,n_fov,n_fov_usable,usable,rho_marginal,rho_partial,beta_tacstd2,beta_cldn4,rho_tac_cld_field
LUAD-5 R1,Lung5,10,imm_frac,22,10,True,-0.03289465236786367,0.01217872182586241,0.00901168273679132,-0.12546100390954246,0.4576173905374913
LUAD-5 R1,Lung5,10,cd8_density,22,10,True,-0.06737850054000652,-0.03128818390548339,-0.005319240407039634,-0.022170767105284244,0.4576173905374913
LUAD-5 R1,Lung5,20,imm_frac,22,22,True,-0.04939618925725873,-0.11031276002994116,-0.11115171621773041,0.19860181747935954,0.4953756843694581
LUAD-5 R1,Lung5,20,cd8_density,22,22,True,-0.060124351838262084,-0.08047923111936348,-0.051959920759381384,0.05699026387013628,0.4953756843694581
LUAD-5 R1,Lung5,50,imm_frac,22,22,True,0.052875519382449054,-0.055226277716836775,-0.09702889135616967,0.34940423914303215,0.5168358714380584
LUAD-5 R1,Lung5,50,cd8_density,22,22,True,0.09044607502014507,0.046982652239201415,-0.17236176143277077,0.22453167765915108,0.5168358714380584
LUAD-5 R1,Lung5,100,imm_frac,22,22,True,0.1317046370595182,-0.13449045830630094,-0.22178939261779906,0.5790057338712253,0.5182570538816094
LUAD-5 R1,Lung5,100,cd8_density,22,22,True,0.15445436602891688,0.12049097482153849,0.15385763280479262,0.09040938456542026,0.5182570538816094
LUAD-5 R2,Lung5,10,imm_frac,24,11,True,-0.045701499081154,-0.015295487058678949,0.06777999562444482,-0.03383758751398583,0.3355221845884943
LUAD-5 R2,Lung5,10,cd8_density,24,11,True,-0.004444333778409276,0.003603560178785751,-0.005732318248124047,-0.014799566452293411,0.3355221845884943
LUAD-5 R2,Lung5,20,imm_frac,24,21,True,0.004014759860756029,-0.019023683271635457,-0.0031035240846239405,0.12017082092394088,0.4357837357613806
LUAD-5 R2,Lung5,20,cd8_density,24,21,True,0.05491148605321676,0.03889366181109369,0.005375027934020959,0.0052021675582573715,0.4357837357613806
LUAD-5 R2,Lung5,50,imm_frac,24,22,True,0.08971231092095486,0.023812146478729243,0.13613236192866782,0.13314693182842777,0.4629905559307042
LUAD-5 R2,Lung5,50,cd8_density,24,22,True,0.07925409864055162,0.055299426168297125,-0.040226243656908814,0.11145494751134223,0.4629905559307042
LUAD-5 R2,Lung5,100,imm_frac,24,22,True,0.18340272280958309,0.055591909597111175,0.10639583919841805,0.3278316798503158,0.6089705680106509
LUAD-5 R2,Lung5,100,cd8_density,24,22,True,0.14339825190586847,0.023002861749782454,-0.03953592912390653,0.2137059584484679,0.6089705680106509
LUAD-5 R3,Lung5,10,imm_frac,23,8,True,-0.16618717404737066,-0.08483030141193917,-0.09465029544530623,-0.07970593766794982,0.30992359290406035
LUAD-5 R3,Lung5,10,cd8_density,23,8,True,-0.18592500784157565,-0.08944209094931821,-0.06140541228382064,-0.18734342235670584,0.30992359290406035
LUAD-5 R3,Lung5,20,imm_frac,23,21,True,-0.05199069706598225,-0.05406826035419613,-0.012227611845023287,0.040338814006369905,0.4339174607947036
LUAD-5 R3,Lung5,20,cd8_density,23,21,True,-0.05530609440851609,0.009377875563415962,0.06626622021965888,-0.06761750919462199,0.4339174607947036
