sample,patient,fov,bandwidth,outcome,n_points,usable,rho_marginal,rho_partial,beta_tacstd2,beta_cldn4,rho_tac_cld_field
LUAD-5 R1,Lung5,1,10,imm_frac,3,False,,,,,
LUAD-5 R1,Lung5,1,10,cd8_density,3,False,,,,,
LUAD-5 R1,Lung5,2,10,imm_frac,36,False,,,,,
LUAD-5 R1,Lung5,2,10,cd8_density,36,False,,,,,
LUAD-5 R1,Lung5,3,10,imm_frac,49,True,-0.296637407505337,-0.08535323657759661,-0.31019864911859507,-0.11778833875329746,0.6160204081632652
LUAD-5 R1,Lung5,3,10,cd8_density,49,True,,,,,0.6160204081632652
LUAD-5 R1,Lung5,4,10,imm_frac,39,False,,,,,
LUAD-5 R1,Lung5,4,10,cd8_density,39,False,,,,,
LUAD-5 R1,Lung5,5,10,imm_frac,19,False,,,,,
LUAD-5 R1,Lung5,5,10,cd8_density,19,False,,,,,
LUAD-5 R1,Lung5,6,10,imm_frac,65,True,-0.5712929816954405,-0.6295393001564814,-0.3032829199576057,0.15506417552716228,0.34637237762237766
LUAD-5 R1,Lung5,6,10,cd8_density,65,True,,,,,0.34637237762237766
LUAD-5 R1,Lung5,7,10,imm_frac,43,True,0.02040839946588751,0.026395554112552833,-0.1327338446347231,0.07936202525673478,0.2077922077922078
LUAD-5 R1,Lung5,7,10,cd8_density,43,True,-0.1119070645429486,-0.0912047578427205,-0.08415487073275787,-0.06002457281314388,0.2077922077922078
LUAD-5 R1,Lung5,8,10,imm_frac,65,True,-0.3702448594739752,-0.15625698445741806,0.1872238305162377,-0.5975930872669443,0.5966346153846154
LUAD-5 R1,Lung5,8,10,cd8_density,65,True,,,,,0.5966346153846154
LUAD-5 R1,Lung5,9,10,imm_frac,28,False,,,,,
LUAD-5 R1,Lung5,9,10,cd8_density,28,False,,,,,
LUAD-5 R1,Lung5,10,10,imm_frac,13,False,,,,,
LUAD-5 R1,Lung5,10,10,cd8_density,13,False,,,,,
LUAD-5 R1,Lung5,11,10,imm_frac,52,True,0.04970960480630901,0.006733368236963774,-0.030938087897243196,-0.06690094111652263,0.6241782634679415
LUAD-5 R1,Lung5,11,10,cd8_density,52,True,-0.023325046638768943,0.10195655185472248,0.16391546159276624,-0.2635845377915172,0.6241782634679415
LUAD-5 R1,Lung5,12,10,imm_frac,31,False,,,,,
LUAD-5 R1,Lung5,12,10,cd8_density,31,False,,,,,
LUAD-5 R1,Lung5,13,10,imm_frac,44,True,0.22953061078110285,0.3218853939593675,0.17604556202424945,-0.20602273390922807,0.6568005637773079
LUAD-5 R1,Lung5,13,10,cd8_density,44,True,-0.01171363256998406,0.08969289593993543,0.08175821325534452,-0.12977363006599896,0.6568005637773079
LUAD-5 R1,Lung5,15,10,imm_frac,27,False,,,,,
LUAD-5 R1,Lung5,15,10,cd8_density,27,False,,,,,
LUAD-5 R1,Lung5,16,10,imm_frac,53,True,0.116744768340084,0.27592870271565395,0.18078036274562007,-0.15706592835557864,0.4754071923883244
LUAD-5 R1,Lung5,16,10,cd8_density,53,True,,,,,0.4754071923883244
LUAD-5 R1,Lung5,17,10,imm_frac,41,True,0.2794985650143085,0.25125769668234343,0.2988025040803284,-0.41569493260301077,0.46742160278745654
LUAD-5 R1,Lung5,17,10,cd8_density,41,True,-0.31499440014932895,-0.21740104584345973,-0.09011848234536127,-0.167558452896348,0.46742160278745654
LUAD-5 R1,Lung5,19,10,imm_frac,4,False,,,,,
LUAD-5 R1,Lung5,19,10,cd8_density,4,False,,,,,
LUAD-5 R1,Lung5,22,10,imm_frac,5,False,,,,,
LUAD-5 R1,Lung5,22,10,cd8_density,5,False,,,,,
LUAD-5 R1,Lung5,26,10,imm_frac,11,False,,,,,
LUAD-5 R1,Lung5,26,10,cd8_density,11,False,,,,,
LUAD-5 R1,Lung5,27,10,imm_frac,31,False,,,,,
LUAD-5 R1,Lung5,27,10,cd8_density,31,False,,,,,
LUAD-5 R1,Lung5,28,10,imm_frac,74,True,0.0686283257094821,0.0009860328883501584,-0.10127128400006277,0.1263706987639709,0.32436875231395773
LUAD-5 R1,Lung5,28,10,cd8_density,74,True,0.052054794520547946,-0.006133905094047171,-0.04481432524962927,0.19108586258560833,0.32436875231395773
LUAD-5 R1,Lung5,29,10,imm_frac,46,True,0.14470845087894213,0.10974999085488844,0.12568935360970737,-0.05434097663871049,0.2611779216774591
LUAD-5 R1,Lung5,29,10,cd8_density,46,True,0.00561434614044346,-0.06463884244733085,-0.05850143896260015,0.29683072834969426,0.2611779216774591
LUAD-5 R1,Lung5,1,20,imm_frac,128,True,0.34179866324848923,0.31060688763198196,0.34498713034437184,-0.16700786370184012,0.3644994048709027
LUAD-5 R1,Lung5,1,20,cd8_density,128,True,0.6417209504376367,0.5737965263108233,0.4386543552542273,-0.043728677574424654,0.3644994048709027
LUAD-5 R1,Lung5,2,20,imm_frac,243,True,-0.275058395927193,-0.19410809861916897,-0.16440501745601685,-0.08036170096843026,0.5824179867895715
LUAD-5 R1,Lung5,2,20,cd8_density,243,True,0.015062745950055363,-0.12592021461038191,0.08563462280387905,0.10080918729878453,0.5824179867895715
LUAD-5 R1,Lung5,3,20,imm_frac,218,True,-0.2619619185403459,-0.1776618219227561,-0.24715525345632722,0.010518165903644683,0.6406699836506013
LUAD-5 R1,Lung5,3,20,cd8_density,218,True,0.22111693506487412,0.09838215282056148,-0.06239588561874179,0.172694689571733,0.6406699836506013
LUAD-5 R1,Lung5,4,20,imm_frac,212,True,-0.009974911586018853,0.026188833108712336,0.019839024875640186,0.2561396333561017,0.6302410726542929
LUAD-5 R1,Lung5,4,20,cd8_density,212,True,-0.005214074122400074,-0.1555965026766162,-0.15441055051683297,0.16462819003258722,0.6302410726542929
LUAD-5 R1,Lung5,5,20,imm_frac,225,True,-0.3916992820286225,-0.37092974299864134,-0.35642113431992517,0.11156732289651584,0.44957859249894655
LUAD-5 R1,Lung5,5,20,cd8_density,225,True,-0.16443080342692323,-0.2996367196522953,-0.007804004139360148,0.16415710195643635,0.44957859249894655
