metric,radius,sample,patient,n,spearman_tac_y,partial_spearman_index,residual_delta,rank_residual_delta,residual_usable,rank_beta_total,rank_beta_direct,rank_beta_cldn4_joint,rank_beta_cldn4_total,rank_a_path,rank_attenuation,rank_proportion,rank_attenuation_of_cldn4,rank_interaction,linear_beta_total,linear_beta_direct,linear_beta_cldn4_joint,linear_beta_cldn4_total,linear_a_path,linear_attenuation,linear_proportion,linear_attenuation_of_cldn4,linear_interaction
imm_frac,10,LUAD-5 R1,Lung5,14330,-0.060402022241854654,-0.058516765019106985,-0.012350870522218138,-136.57023670674,True,-0.060402022241854564,-0.05955524535852205,-0.004538749903530805,-0.01564973996085244,0.18656610329507553,0.014019015455177142,0.014019015455179288,0.7099792127610802,0.050183710147226245,-0.07473568573178868,-0.07078928720789385,-0.019451027001394425,-0.03381339144234583,0.20288895406973131,0.052804740938052874,0.052804740938055296,0.4247537389273782,0.051576306199862934
imm_frac,20,LUAD-5 R1,Lung5,17786,-0.05027742067343588,-0.05897814119254656,-0.015670734686154875,-384.4596862032363,True,-0.05027742067343594,-0.06026859383231222,0.047872209348828874,0.03529384780647962,0.20870507742965794,-0.19872087758382384,-0.1987208775838208,-0.35638963513748645,0.06194315868804508,-0.07835259479057369,-0.08461298251078565,0.027886369169667784,0.008891064565538835,0.22449633661959217,-0.07990019650204516,-0.07990019650204515,,0.08040425531158069
imm_frac,50,LUAD-5 R1,Lung5,17837,-0.00017645100387325818,-0.01858993386096383,-0.006441737639122113,-268.1455408425647,True,-0.00017645100387325973,-0.018943795086837502,0.08942725263698785,0.08545167796429791,0.20986157496246205,,,-0.04652424349526463,0.06734988044285455,-0.023253359945258206,-0.04328085861860564,0.08857678791917688,0.07879084558678624,0.22610323927778664,-0.861273326542705,-0.8612733265427043,-0.12420151426870585,0.0904535746475543
imm_frac,100,LUAD-5 R1,Lung5,17837,0.048231818818186556,0.022955301616981703,0.005907596349840903,102.49893620247556,True,0.0482318188181866,0.023297810682391912,0.11881168880131864,0.12370100404430256,0.20986157496246205,0.5169618054377187,0.516961805437718,0.039525267242235596,0.06785868794426585,0.032396601012389906,0.005032220273687972,0.12102604467812382,0.122163845982764,0.22610323927778664,0.8446682640637693,0.8446682640637692,0.009313731861394725,0.09875494757809966
cd8_n,10,LUAD-5 R1,Lung5,17837,-0.010255860824805542,-0.007992556624346205,-0.0002838687460900472,-2.5344856254481165,True,-0.010255860824805566,-0.008174042451249001,-0.009919959735024709,-0.011635377157653837,0.20986157496246205,0.20298816541282705,0.20298816541282003,0.1474311833115538,0.004568153467794654,-0.009885463648447588,-0.007674858606481875,-0.00977697201078076,-0.011512282402705312,0.22610323927778664,,,0.15073556495771556,-0.000561305388964049
cd8_n,20,LUAD-5 R1,Lung5,17837,-0.0250705551510543,-0.022292127587137764,-0.00262100269234097,-24.184658040346676,True,-0.025070555151054368,-0.022797074427334096,-0.01083323959675252,-0.015617469540609294,0.20986157496246205,0.09068330198602159,0.09068330198601834,0.3063383559940097,0.004446115047695676,-0.022605179396395413,-0.01910976560402927,-0.015459370699557835,-0.019780150604468107,0.22610323927778664,0.15462888973681477,0.15462888973681413,0.21844019245911395,0.0030994369097474906
cd8_n,50,LUAD-5 R1,Lung5,17837,-0.022623394744158847,-0.01998908873033235,-0.010289185035091242,-80.24035832713253,True,-0.022623394744158955,-0.020442157883268145,-0.010393693372790388,-0.014683716821804403,0.20986157496246205,0.09641509974775009,0.09641509974774498,0.29216195743053275,0.007262639980709241,-0.01430874085201791,-0.013743088494983223,-0.0025017437115963303,-0.005609100537993353,0.22610323927778664,0.039531945045668704,0.03953194504567404,,0.003987763191576693
cd8_n,100,LUAD-5 R1,Lung5,17837,-0.022020483803929788,-0.020632295417973748,-0.04076280863875688,-211.781402327447,True,-0.02202048380392978,-0.021101399891432754,-0.004379476865459008,-0.008807849880587703,0.20986157496246205,0.041737680274445466,0.04173768027443947,,0.015165091596675662,-0.007912246268151868,-0.012261238507428173,0.019234541942732553,0.01646223619864559,0.22610323927778664,,,-0.16840395865022573,0.011626350533057979
imm_frac,10,LUAD-5 R2,Lung5,14949,-0.04128554061437232,-0.04313169398754405,-0.010726296221180914,-104.30630648892583,True,-0.041285540614372236,-0.043636285142383185,0.015476841858814004,0.008849019499644157,0.15188786894997292,-0.05693868829206061,-0.05693868829206176,,0.03834725298418178,-0.05951504825948721,-0.05863729469642501,-0.00528231355258279,-0.015025978678811171,0.16616839464837022,0.014748430669755508,0.014748430669752335,0.6484546088148238,0.038766291795746394
imm_frac,20,LUAD-5 R2,Lung5,17884,-0.03974857339392099,-0.050732447325274314,-0.016453002614700753,-393.40289644350787,True,-0.039748573393920905,-0.051435125284487536,0.06701188893932357,0.058041849888801775,0.17439520174022058,-0.29401185735018,-0.2940118573501789,-0.15454433426410175,0.05687577549774747,-0.058007325896102024,-0.06862987558632887,0.05586448659469451,0.04281461702480046,0.19014852436208488,-0.18312427828948863,-0.18312427828948494,-0.30479939975487524,0.06916073509843733
