bandwidth,outcome,rho_marginal_mean,rho_marginal_sections_neg,rho_marginal_sign_p,rho_marginal_patients_neg,rho_marginal_patient_sign_p,rho_partial_mean,rho_partial_sections_neg,rho_partial_sign_p,rho_partial_patients_neg,rho_partial_patient_sign_p,beta_tacstd2_mean,beta_tacstd2_sections_neg,beta_tacstd2_sign_p,beta_tacstd2_patients_neg,beta_tacstd2_patient_sign_p,beta_cldn4_mean,beta_cldn4_sections_neg,beta_cldn4_sign_p,beta_cldn4_patients_neg,beta_cldn4_patient_sign_p,rho_tac_cld_field_mean,rho_tac_cld_field_sections_neg,rho_tac_cld_field_sign_p,rho_tac_cld_field_patients_neg,rho_tac_cld_field_patient_sign_p
10,imm_frac,-0.061065179899116515,4,0.63671875,2,0.8125,-0.02334432335329123,3,0.85546875,2,0.8125,0.019178250689856034,2,0.96484375,1,0.96875,-0.10122848939533571,5,0.36328125,2,0.8125,0.2860713922108449,0,1.0,0,1.0
10,cd8_density,-0.09532269911322513,5,0.36328125,2,0.8125,-0.06323757851075187,4,0.63671875,2,0.8125,-0.038212336388197876,5,0.36328125,2,0.8125,-0.06065006932044635,4,0.63671875,2,0.8125,0.2860713922108449,0,1.0,0,1.0
20,imm_frac,-0.052459709322841885,4,0.63671875,3,0.5,-0.022322443554294094,5,0.36328125,2,0.8125,-0.010034899058421198,5,0.36328125,3,0.5,-0.07443950705063856,4,0.63671875,3,0.5,0.39764085068654553,0,1.0,0,1.0
20,cd8_density,-0.007749752106529787,5,0.36328125,4,0.1875,0.013005183333250282,3,0.85546875,3,0.5,0.021260877428835243,2,0.96484375,1,0.96875,-0.05254442367829432,5,0.36328125,4,0.1875,0.39764085068654553,0,1.0,0,1.0
50,imm_frac,-0.028308725144493563,2,0.96484375,2,0.8125,0.014109675355816488,4,0.63671875,3,0.5,0.03428669785067523,4,0.63671875,2,0.8125,-0.08241557545755215,4,0.63671875,3,0.5,0.47741685420569835,0,1.0,0,1.0
50,cd8_density,0.0017621665092818761,3,0.85546875,2,0.8125,0.0306066232930248,2,0.96484375,2,0.8125,0.003432943326530373,4,0.63671875,3,0.5,-0.05575283243945746,5,0.36328125,3,0.5,0.47741685420569835,0,1.0,0,1.0
100,imm_frac,0.03635583387328036,2,0.96484375,1,0.96875,0.03675263018330438,4,0.63671875,3,0.5,0.04697242673835147,4,0.63671875,3,0.5,-0.027971287558426844,4,0.63671875,3,0.5,0.504451404811705,0,1.0,0,1.0
100,cd8_density,0.05116250533238791,2,0.96484375,1,0.96875,0.044451948335371035,3,0.85546875,2,0.8125,0.0695074373960219,3,0.85546875,2,0.8125,-0.036214346924909296,3,0.85546875,2,0.8125,0.504451404811705,0,1.0,0,1.0
