gene,cut,metric,radius,n_sections_usable,high_mean,low_mean,delta,ratio,median_section_ratio,sections_high_lt_low,patients_high_lt_low,sections_defined,sign_p_sections,sign_p_patients,wilcoxon_p_sections,wilcoxon_p_patients
tac,median,imm_frac,10,8,0.0389631200782216,0.07510678178070865,-0.03614366170248705,0.5187696657271683,0.5602720915423491,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,imm_frac,20,8,0.06137493243867926,0.09551769859878653,-0.03414276616010727,0.6425503685602719,0.7133899310252445,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,imm_frac,50,8,0.12471197552530366,0.14705835306749446,-0.022346377542190793,0.848044146584896,0.9080133790934666,7,5,8,0.03515625,0.03125,0.0234375,0.0625
tac,median,imm_frac,100,8,0.18478077217916022,0.19310090884933914,-0.008320136670178918,0.9569130113381784,0.9893115463964103,4,3,8,0.63671875,0.5,1.0,0.625
tac,median,imm_n,10,8,0.03601933571862473,0.08408525657047239,-0.04806592085184766,0.4283668408436941,0.5257159996983517,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,imm_n,20,8,0.3982783777787735,0.6239755493345984,-0.22569717155582492,0.6382916417213683,0.722633106739824,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,imm_n,50,8,5.300324394399313,6.233482901632886,-0.9331585072335731,0.8502990187092471,0.9037909794956844,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,imm_n,100,8,31.32236552365095,32.497620262601366,-1.1752547389504144,0.9638356676749371,0.9921586729823897,4,3,8,0.63671875,0.5,1.0,0.625
tac,median,cd8_n,10,8,0.003599404036366115,0.00716614068096756,-0.0035667366446014447,0.5022792876402379,0.3741226691806546,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,cd8_n,20,8,0.032258489757468,0.04443481695803459,-0.012176327200566592,0.7259732787452183,0.8052840257683402,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,cd8_n,50,8,0.3340824676778875,0.3705402574605821,-0.036457789782694594,0.9016090990151779,0.9426355367403512,6,5,8,0.14453125,0.03125,0.1484375,0.0625
tac,median,cd8_n,100,8,1.7682531219552788,1.8235283693740234,-0.055275247418744566,0.969687750217059,0.9687925524183896,5,3,8,0.36328125,0.5,0.7421875,0.625
tac,median,cd8_frac,10,8,0.0036693897083703905,0.005986522388963833,-0.0023171326805934422,0.6129417832187379,0.48831961070866975,6,4,8,0.14453125,0.1875,0.0390625,0.125
tac,median,cd8_frac,20,8,0.004590643284959849,0.00622262536859622,-0.001631982083636371,0.7377341576961214,0.8151211931565936,7,5,8,0.03515625,0.03125,0.015625,0.0625
tac,median,cd8_frac,50,8,0.007222846823219802,0.008128221261197601,-0.0009053744379777994,0.888613460573488,0.9685398981969471,6,5,8,0.14453125,0.03125,0.1484375,0.0625
tac,median,cd8_frac,100,8,0.00957127828424241,0.010049955249519028,-0.0004786769652766181,0.9523702391312114,0.9728685077433417,6,4,8,0.14453125,0.1875,0.3828125,0.125
tac,median,cd8nk_n,10,8,0.004342177231251601,0.009534437192328247,-0.005192259961076646,0.4554204032877236,0.353458705398938,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,cd8nk_n,20,8,0.03940746073144875,0.05880262090783151,-0.019395160176382764,0.6701650389566283,0.7260591363317053,8,5,8,0.00390625,0.03125,0.0078125,0.0625
tac,median,cd8nk_n,50,8,0.4188637653340299,0.4904744813408046,-0.07161071600677471,0.8539970605381685,0.9346688795542619,7,5,8,0.03515625,0.03125,0.0390625,0.0625
tac,median,cd8nk_n,100,8,2.3059180428443247,2.434810524904167,-0.12889248205984227,0.9470626232548771,0.984135438476408,4,3,8,0.63671875,0.5,0.84375,0.3125
