gene,cut,metric,radius,sample,patient,threshold,usable,n_high,n_low,high_mean,low_mean,delta,ratio,q1
tac,median,imm_frac,10,LUAD-5 R1,Lung5,3.2032646373303826,True,7109,7221,0.018352323345993342,0.032164454204337875,-0.013812130858344533,0.5705777946487973,
tac,median,imm_frac,20,LUAD-5 R1,Lung5,3.2032646373303826,True,8906,8880,0.04743506924414376,0.06261980853892618,-0.015184739294782423,0.7575090111407291,
tac,median,imm_frac,50,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.1159737421547547,0.11778620295366349,-0.0018124607989087882,0.9846122826489127,
tac,median,imm_frac,100,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.18388316787093206,0.1707283735321042,0.013154794338827852,1.077051014231997,
tac,median,imm_n,10,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.024108544516707783,0.043838995403072095,-0.019730450886364312,0.5499337814437768,
tac,median,imm_n,20,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.3110562906481274,0.3986994057629779,-0.08764311511485051,0.7801774623989449,
tac,median,imm_n,50,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,4.762166405023548,4.880031393653997,-0.11786498863044947,0.9758474937715111,
tac,median,imm_n,100,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,29.79625476564252,27.814553201031504,1.981701564611015,1.07124693142788,
tac,median,cd8_n,10,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.0,0.0003363605785401951,-0.0003363605785401951,0.0,
tac,median,cd8_n,20,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.0019062570082978246,0.004933288485256195,-0.00302703147695837,0.3864069603865522,
tac,median,cd8_n,50,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.061897286387082306,0.07276600515752887,-0.010868718770446567,0.8506346645398877,
tac,median,cd8_n,100,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.467481498093743,0.5020742235676645,-0.034592725473921504,0.9311003755020308,
tac,median,cd8_frac,10,LUAD-5 R1,Lung5,3.2032646373303826,True,7109,7221,0.0,0.00011540414531689977,-0.00011540414531689977,0.0,
tac,median,cd8_frac,20,LUAD-5 R1,Lung5,3.2032646373303826,True,8906,8880,0.00024070547313305004,0.0007482723107723108,-0.0005075668376392608,0.3216816520774527,
tac,median,cd8_frac,50,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.0014360430460584896,0.0016451036428964815,-0.00020906059683799185,0.8729194979655474,
tac,median,cd8_frac,100,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.0027937864789994243,0.0029775528319195073,-0.00018376635292008305,0.938282756581143,
tac,median,cd8nk_n,10,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.0005606638259699485,0.0028030048211682922,-0.0022423409951983437,0.2000224265530388,
tac,median,cd8nk_n,20,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.011773940345368918,0.018836192398250923,-0.007062252052882006,0.6250700829782463,
tac,median,cd8nk_n,50,LUAD-5 R1,Lung5,3.2032646373303826,True,8918,8919,0.18412200044853105,0.21358896737302388,-0.029466966924492827,0.8620389091865871,
