cohort	kind	Unnamed: 0	signature	n_genes	n_found	frac_found	missing
GSE126044	signature	15	HALLMARK_HYPOXIA	200	194	0.97	ERO1A,ILVBL,LARGE1,NOCT,SLC37A4,STBD1
GSE126044	signature	14	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	197	0.985	CXCL8,P3H1,PRSS2
GSE126044	signature	17	HALLMARK_INFLAMMATORY_RESPONSE	200	197	0.985	ADGRE1,CXCL8,SELENOS
GSE126044	signature	19	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	199	0.995	MARCHF1
GSE126044	signature	21	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	199	0.995	PLPP3
GSE126044	signature	4	CD8_Teffector_Mariathasan	8	8	1.0	
GSE126044	signature	0	IFNG_Ayers6	6	6	1.0	
GSE126044	signature	1	IFNG_Ayers_preliminary10	10	10	1.0	
GSE126044	signature	7	TLS_Cabrita9	9	9	1.0	
GSE126044	signature	6	TLS_12chemokine_Coppola	12	12	1.0	
GSE126044	signature	8	TLS_Cabrita9_noY	8	8	1.0	
GSE126044	signature	9	Bcell_follicular	10	10	1.0	
GSE126044	signature	11	Immunoproteasome	5	5	1.0	
GSE126044	signature	5	Cytolytic_CYT_Rooney	2	2	1.0	
GSE126044	signature	2	ExpandedImmune_Ayers18	18	18	1.0	
GSE126044	signature	3	TcellInflamed_GEP18	18	18	1.0	
GSE126044	signature	12	HALLMARK_ALLOGRAFT_REJECTION	200	200	1.0	
GSE126044	signature	13	HALLMARK_ANGIOGENESIS	36	36	1.0	
GSE126044	signature	10	MHC_class_I	10	10	1.0	
GSE126044	signature	16	HALLMARK_IL6_JAK_STAT3_SIGNALING	87	87	1.0	
GSE126044	signature	18	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	97	1.0	
GSE126044	signature	20	HALLMARK_TGF_BETA_SIGNALING	54	54	1.0	
GSE126044	mcp	6	Myeloid dendritic cells	6	5	0.8333333333333334	WFDC21P
GSE126044	mcp	0	T cells	16	14	0.875	CHRM3-AS2,MGC40069
GSE126044	mcp	4	NK cells	9	8	0.8888888888888888	KIR3DS1
GSE126044	mcp	3	B lineage	9	8	0.8888888888888888	IGKC
GSE126044	mcp	7	Neutrophils	15	14	0.9333333333333332	VNN3
GSE126044	mcp	8	Endothelial cells	33	31	0.9393939393939394	ADGRL4,C
GSE126044	mcp	2	Cytotoxic lymphocytes	7	7	1.0	
GSE126044	mcp	1	CD8 T cells	1	1	1.0	
GSE126044	mcp	5	Monocytic lineage	7	7	1.0	
GSE126044	mcp	9	Fibroblasts	8	8	1.0	
GSE135222	signature	6	TLS_12chemokine_Coppola	12	8	0.6666666666666666	CCL3,CCL4,CCL5,CCL18
GSE135222	signature	3	TcellInflamed_GEP18	18	17	0.9444444444444444	CCL5
GSE135222	signature	2	ExpandedImmune_Ayers18	18	17	0.9444444444444444	CCL5
GSE135222	signature	21	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	196	0.98	CCL4,CCL5,MARCKS,SOD2
GSE135222	signature	19	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	197	0.985	CCL5,SOD2,TXNIP
GSE135222	signature	18	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	96	0.9896907216494846	TXNIP
GSE135222	signature	12	HALLMARK_ALLOGRAFT_REJECTION	200	198	0.99	CCL4,CCL5
GSE135222	signature	14	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	199	0.995	PRSS2
GSE135222	signature	17	HALLMARK_INFLAMMATORY_RESPONSE	200	199	0.995	CCL5
GSE135222	signature	15	HALLMARK_HYPOXIA	200	199	0.995	ILVBL
GSE135222	signature	4	CD8_Teffector_Mariathasan	8	8	1.0	
GSE135222	signature	8	TLS_Cabrita9_noY	8	8	1.0	
GSE135222	signature	7	TLS_Cabrita9	9	9	1.0	
