target	score	n	spearman_r	p	stratum	score_short	family	p_adj	rejected_0.05
TACSTD2	ssgsea:IFNG_Ayers6	515	-0.028521076971511503	0.5184057270301263	LUAD	IFNG_Ayers6	inflamed	0.5541578461356523	False
TACSTD2	ssgsea:IFNG_Ayers_preliminary10	515	-0.04405971449491965	0.3183137351878695	LUAD	IFNG_Ayers_preliminary10	inflamed	0.47810075928832235	False
TACSTD2	ssgsea:ExpandedImmune_Ayers18	515	-0.05340460571615479	0.2263318598041489	LUAD	ExpandedImmune_Ayers18	inflamed	0.3692782975751903	False
TACSTD2	ssgsea:TcellInflamed_GEP18	515	-0.03860890498900094	0.38191542346471874	LUAD	TcellInflamed_GEP18	inflamed	0.49330742197526173	False
TACSTD2	ssgsea:CD8_Teffector_Mariathasan	515	-0.09337884869966742	0.034125557772458084	LUAD	CD8_Teffector_Mariathasan	inflamed	0.08815769091218338	False
TACSTD2	ssgsea:Cytolytic_CYT_Rooney	515	-0.12082850301420274	0.006043029698299711	LUAD	Cytolytic_CYT_Rooney	other	0.025566664108191084	True
TACSTD2	ssgsea:TLS_12chemokine_Coppola	515	-0.04234225793133244	0.3375617713065854	LUAD	TLS_12chemokine_Coppola	inflamed	0.47810075928832235	False
TACSTD2	ssgsea:TLS_Cabrita9	515	-0.03292655643897083	0.4559036516883999	LUAD	TLS_Cabrita9	inflamed	0.504750471512157	False
TACSTD2	ssgsea:TLS_Cabrita9_noY	515	-0.03887009473597239	0.37870108548858766	LUAD	TLS_Cabrita9_noY	inflamed	0.49330742197526173	False
TACSTD2	ssgsea:Bcell_follicular	515	-0.03367867397136993	0.445672182619789	LUAD	Bcell_follicular	inflamed	0.504750471512157	False
TACSTD2	ssgsea:MHC_class_I	515	0.03554429619532288	0.4208642364295465	LUAD	MHC_class_I	other	0.5935264872724374	False
TACSTD2	ssgsea:Immunoproteasome	515	0.10018612295272337	0.022978993265160366	LUAD	Immunoproteasome	other	0.07673270463677948	False
TACSTD2	ssgsea:HALLMARK_ALLOGRAFT_REJECTION	515	0.03420715931375363	0.4385616311439701	LUAD	HALLMARK_ALLOGRAFT_REJECTION	inflamed	0.504750471512157	False
TACSTD2	ssgsea:HALLMARK_ANGIOGENESIS	515	-0.07870443032895288	0.07433974328315587	LUAD	HALLMARK_ANGIOGENESIS	exclusion	0.2856264331722363	False
TACSTD2	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	515	0.05486337636990096	0.21388290497901416	LUAD	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	exclusion	0.36360093846432406	False
TACSTD2	ssgsea:HALLMARK_HYPOXIA	515	0.06370091111997563	0.14886350203757354	LUAD	HALLMARK_HYPOXIA	exclusion	0.2856264331722363	False
TACSTD2	ssgsea:HALLMARK_IL6_JAK_STAT3_SIGNALING	515	0.04841379941075493	0.27279117781415146	LUAD	HALLMARK_IL6_JAK_STAT3_SIGNALING	other	0.47477783644198146	False
TACSTD2	ssgsea:HALLMARK_INFLAMMATORY_RESPONSE	515	0.07672947388363903	0.08192874780517943	LUAD	HALLMARK_INFLAMMATORY_RESPONSE	inflamed	0.15873694887253514	False
TACSTD2	ssgsea:HALLMARK_INTERFERON_ALPHA_RESPONSE	515	0.1465322360904052	0.0008521192999428258	LUAD	HALLMARK_INTERFERON_ALPHA_RESPONSE	inflamed	0.0052831396596455206	True
TACSTD2	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	515	0.09059357149041442	0.039866718114075037	LUAD	HALLMARK_INTERFERON_GAMMA_RESPONSE	inflamed	0.09506678934894816	False
TACSTD2	ssgsea:HALLMARK_TGF_BETA_SIGNALING	515	0.0633353508989369	0.15121399403236038	LUAD	HALLMARK_TGF_BETA_SIGNALING	exclusion	0.2856264331722363	False
TACSTD2	ssgsea:HALLMARK_TNFA_SIGNALING_VIA_NFKB	515	0.09312754252031598	0.03461289202801281	LUAD	HALLMARK_TNFA_SIGNALING_VIA_NFKB	other	0.10576161453003913	False
TACSTD2	ssgsea:CYT	515	-0.11219109952669144	0.010837880196440185	LUAD	CYT	inflamed	0.04199678576120572	True
TACSTD2	estimate:StromalScore	515	-0.020099882016558816	0.6490541917988918	LUAD	StromalScore	exclusion	0.7717542406790677	False
TACSTD2	estimate:ImmuneScore	515	0.03636190883581724	0.410251993755271	LUAD	ImmuneScore	inflamed	0.504750471512157	False
