	TACSTD2	CLDN4	TACSTD2_CLDN4_mean
Dis_01	5.895556740567697	4.579858184089317	5.2377074623285065
Dis_02	6.504505704175368	2.5427694054701107	4.52363755482274
Dis_11	6.702773196766698	3.766438105211928	5.234605650989312
Dis_12	7.735343322171401	4.686391612944962	6.210867467558181
Dis_15	6.168697268763323	3.105233209277133	4.636965239020228
Dis_04	2.7372425044474715	1.188074332998054	1.962658418722763
Dis_16	7.345823877448811	3.771975057792441	5.558899467620626
Dis_17	7.058668949323405	4.197767166071458	5.628218057697431
Dis_03	4.805255359363118	1.0263719142141297	2.9158136367886236
Dis_07	5.047326612726751	1.2847639055165536	3.1660452591216526
Dis_10	2.4674847571724063	0.1263531682984952	1.2969189627354507
Dis_18	6.352994529649408	4.089616423885844	5.2213054767676255
Dis_09	7.325046118932742	3.022214333076603	5.173630226004673
Dis_05	5.548695856724492	3.7522869044904423	4.650491380607467
Dis_06	6.288929237084986	4.216759330822303	5.252844283953644
Dis_08	4.399950331544878	4.279200969198064	4.339575650371471
