score	test	n_levels	statistic	p	p_adj	rejected_0.05
ssgsea:IFNG_Ayers6	mannwhitneyu	2	133489.0	0.36713716195965296	0.4201680853538251	False
ssgsea:IFNG_Ayers_preliminary10	mannwhitneyu	2	137791.0	0.06868899591193404	0.08628008023084399	False
ssgsea:ExpandedImmune_Ayers18	mannwhitneyu	2	148860.0	2.863783139367771e-05	4.835568251719351e-05	True
ssgsea:TcellInflamed_GEP18	mannwhitneyu	2	148187.0	5.337607581156956e-05	8.726564775542326e-05	True
ssgsea:CD8_Teffector_Mariathasan	mannwhitneyu	2	131886.0	0.5757806819297009	0.630908619561268	False
ssgsea:Cytolytic_CYT_Rooney	mannwhitneyu	2	139041.0	0.036854352780831295	0.04929867969383926	True
ssgsea:TLS_12chemokine_Coppola	mannwhitneyu	2	138219.0	0.055895276317991176	0.07287611975636825	False
ssgsea:TLS_Cabrita9	mannwhitneyu	2	167900.0	1.588330037762978e-16	5.641310134123681e-16	True
ssgsea:TLS_Cabrita9_noY	mannwhitneyu	2	176333.0	9.151578821471564e-24	6.284084124077141e-23	True
ssgsea:Bcell_follicular	mannwhitneyu	2	151743.0	1.589457999875057e-06	2.872178491002296e-06	True
ssgsea:MHC_class_I	mannwhitneyu	2	150663.0	4.899796082175936e-06	8.55388129600206e-06	True
ssgsea:Immunoproteasome	mannwhitneyu	2	167048.0	7.161070752671856e-16	2.3793235081458104e-15	True
ssgsea:HALLMARK_ALLOGRAFT_REJECTION	mannwhitneyu	2	163896.0	1.4173763149907109e-13	4.055271123445645e-13	True
ssgsea:HALLMARK_ANGIOGENESIS	mannwhitneyu	2	139946.0	0.02257096867417984	0.03141634828973681	True
ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	mannwhitneyu	2	113697.0	0.0008868964172719234	0.001384095923924365	True
ssgsea:HALLMARK_HYPOXIA	mannwhitneyu	2	95099.0	2.977755647650951e-13	8.289427884001296e-13	True
ssgsea:HALLMARK_IL6_JAK_STAT3_SIGNALING	mannwhitneyu	2	163403.0	3.1129220837369867e-13	8.437657226971306e-13	True
