score	group_a	n_a	median_a	group_b	n_b	median_b	U	cliffs_delta	p	score_short	family	p_adj	rejected_0.05
TACSTD2	responder	5	6.168697268763323	non-responder	11	6.288929237084986	20.0	-0.2727272727272727	0.440934065934066	TACSTD2	other	0.5947482749808332	False
CLDN4	responder	5	2.5427694054701107	non-responder	11	3.771975057792441	13.0	-0.5272727272727273	0.11492673992673993	CLDN4	other	0.2563750352211891	False
TACSTD2_CLDN4_mean	responder	5	4.52363755482274	non-responder	11	5.2213054767676255	16.0	-0.4181818181818182	0.22115384615384617	TACSTD2_CLDN4_mean	other	0.3664835164835165	False
ssgsea:IFNG_Ayers6	responder	5	3903.188601020229	non-responder	11	1834.240541574767	44.0	0.6000000000000001	0.06868131868131869	IFNG_Ayers6	inflamed	0.08188926458157228	False
ssgsea:IFNG_Ayers_preliminary10	responder	5	2762.337312400513	non-responder	11	-242.62606219810272	51.0	0.8545454545454545	0.005494505494505494	IFNG_Ayers_preliminary10	inflamed	0.00896471949103528	True
ssgsea:ExpandedImmune_Ayers18	responder	5	4161.252270702945	non-responder	11	931.1535365450254	54.0	0.9636363636363636	0.0009157509157509158	ExpandedImmune_Ayers18	inflamed	0.004055468341182627	True
ssgsea:TcellInflamed_GEP18	responder	5	3487.23245691616	non-responder	11	1457.037747479424	54.0	0.9636363636363636	0.0009157509157509158	TcellInflamed_GEP18	inflamed	0.004055468341182627	True
ssgsea:CD8_Teffector_Mariathasan	responder	5	1018.4074933333028	non-responder	11	-2701.482895436377	53.0	0.9272727272727272	0.0018315018315018315	CD8_Teffector_Mariathasan	inflamed	0.005161505161505161	True
ssgsea:Cytolytic_CYT_Rooney	responder	5	2628.0768206906423	non-responder	11	-2676.844769074346	55.0	1.0	0.0004578754578754579	Cytolytic_CYT_Rooney	other	0.026556776556776556	True
ssgsea:TLS_12chemokine_Coppola	responder	5	1929.860469130704	non-responder	11	-1511.7267881888868	52.0	0.8909090909090909	0.003205128205128205	TLS_12chemokine_Coppola	inflamed	0.007097069597069597	True
ssgsea:TLS_Cabrita9	responder	5	900.7656394642432	non-responder	11	-1722.057693351095	47.0	0.709090909090909	0.027472527472527472	TLS_Cabrita9	inflamed	0.03702818920210225	True
ssgsea:TLS_Cabrita9_noY	responder	5	-59.713566511358245	non-responder	11	-2357.231317659611	51.0	0.8545454545454545	0.005494505494505494	TLS_Cabrita9_noY	inflamed	0.00896471949103528	True
ssgsea:Bcell_follicular	responder	5	-490.1543774999345	non-responder	11	-2819.9575796818435	38.0	0.38181818181818183	0.26739926739926745	Bcell_follicular	inflamed	0.27631257631257633	False
ssgsea:MHC_class_I	responder	5	7975.694745331555	non-responder	11	7503.331269105324	47.0	0.709090909090909	0.027472527472527472	MHC_class_I	other	0.09958791208791208	False
ssgsea:Immunoproteasome	responder	5	5537.988456528174	non-responder	11	4351.674184935016	47.0	0.709090909090909	0.027472527472527472	Immunoproteasome	other	0.09958791208791208	False
ssgsea:HALLMARK_ALLOGRAFT_REJECTION	responder	5	3942.3854702752647	non-responder	11	1878.1640198691564	53.0	0.9272727272727272	0.0018315018315018315	HALLMARK_ALLOGRAFT_REJECTION	inflamed	0.005161505161505161	True
ssgsea:HALLMARK_ANGIOGENESIS	responder	5	4431.434827522688	non-responder	11	3889.641331319257	44.0	0.6000000000000001	0.06868131868131869	HALLMARK_ANGIOGENESIS	exclusion	0.1459478021978022	False
ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	responder	5	5141.592624563601	non-responder	11	4620.456839608695	42.0	0.5272727272727273	0.11492673992673993	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	exclusion	0.2170838420838421	False
ssgsea:HALLMARK_HYPOXIA	responder	5	3992.0277292814303	non-responder	11	3801.462419463259	41.0	0.49090909090909096	0.14514652014652016	HALLMARK_HYPOXIA	exclusion	0.24674908424908426	False
ssgsea:HALLMARK_IL6_JAK_STAT3_SIGNALING	responder	5	4446.342220713185	non-responder	11	2455.0980374938254	51.0	0.8545454545454545	0.005494505494505494	HALLMARK_IL6_JAK_STAT3_SIGNALING	other	0.03540903540903541	True
ssgsea:HALLMARK_INFLAMMATORY_RESPONSE	responder	5	2792.5159971970293	non-responder	11	1638.821337339944	52.0	0.8909090909090909	0.003205128205128205	HALLMARK_INFLAMMATORY_RESPONSE	inflamed	0.007097069597069597	True
ssgsea:HALLMARK_INTERFERON_ALPHA_RESPONSE	responder	5	4920.760675767643	non-responder	11	4234.994528700377	44.0	0.6000000000000001	0.06868131868131869	HALLMARK_INTERFERON_ALPHA_RESPONSE	inflamed	0.08188926458157228	False
ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	responder	5	5281.044765703373	non-responder	11	3941.471942251386	51.0	0.8545454545454545	0.005494505494505494	HALLMARK_INTERFERON_GAMMA_RESPONSE	inflamed	0.00896471949103528	True
ssgsea:HALLMARK_TGF_BETA_SIGNALING	responder	5	5669.189799406801	non-responder	11	5412.2233496720055	36.0	0.3090909090909091	0.37728937728937734	HALLMARK_TGF_BETA_SIGNALING	exclusion	0.5344932844932845	False
ssgsea:HALLMARK_TNFA_SIGNALING_VIA_NFKB	responder	5	3643.269081273803	non-responder	11	2712.161097593817	44.0	0.6000000000000001	0.06868131868131869	HALLMARK_TNFA_SIGNALING_VIA_NFKB	other	0.1991758241758242	False
