cohort	axis	a	b	n	spearman_r	p
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	xcell:CD8+ T-cells	16	0.8058823529411765	0.00016384666473672616
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	tide:CD8	16	0.9382352941176471	7.802219772943019e-08
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	tide:CTL	16	0.8852941176470588	5.1471475768424675e-06
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CD8_Teffector_Mariathasan	16	0.7441176470588236	0.0009482827857378677
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CYT	16	0.7970588235294117	0.0002180980699057476
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:IFNG_Ayers6	16	0.4176470588235294	0.10747407939930048
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	quantiseq_style:T.cells.CD8	16	0.7976455433906277	0.00021408071485107963
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	tip:Step4_CD8_T_cell	16	0.4647058823529412	0.06974367557375588
GSE126044	CD8_cytotoxic	mcp:CD8 T cells	tip:Step7_killing_of_cancer_cells	16	0.7411764705882353	0.0010184695495736751
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CD8	16	0.8352941176470589	5.637132062814421e-05
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CTL	16	0.8176470588235294	0.00010936308081986552
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CD8_Teffector_Mariathasan	16	0.7205882352941175	0.0016381911638796128
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CYT	16	0.7823529411764706	0.00034122076396497244
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:IFNG_Ayers6	16	0.5088235294117647	0.04413521823498383
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	quantiseq_style:T.cells.CD8	16	0.8359089827414695	5.500956857089973e-05
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step4_CD8_T_cell	16	0.5617647058823529	0.02353701647428084
GSE126044	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step7_killing_of_cancer_cells	16	0.6705882352941177	0.004467208697738124
GSE126044	CD8_cytotoxic	tide:CD8	tide:CTL	16	0.976470588235294	1.0061504401171971e-10
GSE126044	CD8_cytotoxic	tide:CD8	ssgsea:CD8_Teffector_Mariathasan	16	0.8588235294117647	2.0464395736214244e-05
GSE126044	CD8_cytotoxic	tide:CD8	ssgsea:CYT	16	0.9382352941176471	7.802219772943019e-08
GSE126044	CD8_cytotoxic	tide:CD8	ssgsea:IFNG_Ayers6	16	0.5794117647058823	0.018662529417711966
GSE126044	CD8_cytotoxic	tide:CD8	quantiseq_style:T.cells.CD8	16	0.7961738726463643	0.00022427553769581603
GSE126044	CD8_cytotoxic	tide:CD8	tip:Step4_CD8_T_cell	16	0.65	0.006415706521175287
GSE126044	CD8_cytotoxic	tide:CD8	tip:Step7_killing_of_cancer_cells	16	0.8147058823529412	0.00012130950572235612
GSE126044	CD8_cytotoxic	tide:CTL	ssgsea:CD8_Teffector_Mariathasan	16	0.9176470588235294	5.528654958744469e-07
