score	test	n_levels	statistic	p	p_adj	rejected_0.05
ssgsea:IFNG_Ayers6	mannwhitneyu	2	29.0	0.9130036630036632	1.0	False
ssgsea:IFNG_Ayers_preliminary10	mannwhitneyu	2	33.0	0.5833333333333334	0.8435107057991168	False
ssgsea:ExpandedImmune_Ayers18	mannwhitneyu	2	35.0	0.440934065934066	0.8435107057991168	False
ssgsea:TcellInflamed_GEP18	mannwhitneyu	2	37.0	0.3195970695970696	0.8435107057991168	False
ssgsea:CD8_Teffector_Mariathasan	mannwhitneyu	2	37.0	0.3195970695970696	0.8435107057991168	False
ssgsea:Cytolytic_CYT_Rooney	mannwhitneyu	2	40.0	0.18040293040293043	0.8435107057991168	False
ssgsea:TLS_12chemokine_Coppola	mannwhitneyu	2	35.0	0.440934065934066	0.8435107057991168	False
ssgsea:TLS_Cabrita9	mannwhitneyu	2	29.0	0.9130036630036632	1.0	False
ssgsea:TLS_Cabrita9_noY	mannwhitneyu	2	27.0	1.0	1.0	False
ssgsea:Bcell_follicular	mannwhitneyu	2	27.0	1.0	1.0	False
ssgsea:MHC_class_I	mannwhitneyu	2	25.0	0.8269230769230771	0.9903846153846156	False
ssgsea:Immunoproteasome	mannwhitneyu	2	46.0	0.03800366300366301	0.8435107057991168	False
ssgsea:HALLMARK_ALLOGRAFT_REJECTION	mannwhitneyu	2	34.0	0.5096153846153847	0.8435107057991168	False
ssgsea:HALLMARK_ANGIOGENESIS	mannwhitneyu	2	35.0	0.440934065934066	0.8435107057991168	False
ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	mannwhitneyu	2	38.0	0.26739926739926745	0.8435107057991168	False
ssgsea:HALLMARK_HYPOXIA	mannwhitneyu	2	33.0	0.5833333333333334	0.8435107057991168	False
ssgsea:HALLMARK_IL6_JAK_STAT3_SIGNALING	mannwhitneyu	2	34.0	0.5096153846153847	0.8435107057991168	False
ssgsea:HALLMARK_INFLAMMATORY_RESPONSE	mannwhitneyu	2	36.0	0.37728937728937734	0.8435107057991168	False
ssgsea:HALLMARK_INTERFERON_ALPHA_RESPONSE	mannwhitneyu	2	33.0	0.5833333333333334	0.8435107057991168	False
ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	mannwhitneyu	2	36.0	0.37728937728937734	0.8435107057991168	False
