	TACSTD2	CLDN4	TACSTD2_CLDN4_mean
TCGA-97-8174-01	11.0333	10.8368	10.93505
TCGA-35-4123-01	12.5089	13.6557	13.0823
TCGA-93-A4JO-01	12.4814	13.485	12.9832
TCGA-97-7937-01	13.1913	14.0225	13.6069
TCGA-50-6597-01	13.1161	12.832	12.97405
TCGA-99-8033-01	12.346	12.1027	12.224350000000001
TCGA-55-7570-01	10.1821	12.6991	11.4406
TCGA-38-4626-01	11.473	12.3126	11.892800000000001
TCGA-69-7764-01	12.751	12.682	12.7165
TCGA-05-5715-01	13.4856	14.3544	13.92
TCGA-50-6590-01	11.5671	11.949	11.75805
TCGA-86-7713-01	11.5122	12.6879	12.10005
TCGA-S2-AA1A-01	9.9876	12.4345	11.21105
TCGA-75-7027-01	12.1535	12.7511	12.4523
TCGA-50-5049-01	12.876	13.5377	13.20685
TCGA-55-8505-01	13.3071	13.815	13.56105
TCGA-49-AAR0-01	12.6956	13.9141	13.30485
TCGA-MP-A4T9-01	12.6472	13.4617	13.05445
TCGA-95-7567-01	13.0494	14.1207	13.585049999999999
TCGA-05-4422-01	11.9682	13.3203	12.64425
TCGA-86-8673-01	11.131	13.1412	12.136099999999999
TCGA-55-6543-01	13.0007	13.5398	13.27025
TCGA-NJ-A7XG-01	13.2857	13.4233	13.3545
TCGA-86-8280-01	12.6887	13.4181	13.0534
TCGA-99-8028-01	12.8796	12.9398	12.9097
TCGA-55-7725-01	12.6676	11.6398	12.1537
TCGA-64-5778-01	13.7185	13.6608	13.68965
TCGA-86-8671-01	12.3994	12.2985	12.34895
TCGA-05-4403-01	13.4356	13.6806	13.5581
TCGA-69-7763-01	12.2069	12.0187	12.1128
TCGA-49-4506-01	11.9341	11.0784	11.506250000000001
TCGA-97-A4M1-01	13.0002	11.7771	12.38865
TCGA-86-8359-01	12.8814	13.6241	13.252749999999999
TCGA-05-4405-01	12.3312	14.0004	13.1658
TCGA-62-A470-01	12.0594	12.2752	12.167300000000001
TCGA-49-4487-01	11.6901	12.8205	12.255299999999998
TCGA-44-6145-01	12.7504	12.0583	12.40435
TCGA-91-8499-01	8.4022	12.0507	10.22645
TCGA-95-8494-01	12.915	13.6873	13.30115
TCGA-64-1681-01	13.8065	13.886	13.84625
TCGA-55-A491-01	12.857	14.1298	13.4934
TCGA-75-6214-01	14.686	12.9645	13.82525
TCGA-86-6851-01	12.1901	13.2668	12.728449999999999
TCGA-80-5607-01	11.9371	13.845	12.89105
TCGA-91-6849-01	12.7918	12.3254	12.5586
TCGA-62-8402-01	12.0219	12.3061	12.164000000000001
TCGA-78-7156-01	12.1808	12.3403	12.260549999999999
TCGA-50-5941-01	12.8214	13.1522	12.9868
TCGA-62-A46Y-01	13.2821	13.5356	13.408850000000001
TCGA-44-7660-01	14.2045	12.3919	13.2982
TCGA-MP-A4TF-01	12.1439	12.1428	12.14335
TCGA-05-4402-01	13.5477	13.6874	13.617550000000001
TCGA-62-A471-01	11.9038	12.5541	12.228950000000001
TCGA-55-8513-01	12.2547	12.5247	12.3897
TCGA-05-4397-01	12.1637	11.8123	11.988
TCGA-05-5429-01	13.9396	14.186	14.0628
TCGA-78-7167-01	12.8547	12.835	12.844850000000001
TCGA-50-8459-01	12.3001	11.3731	11.8366
TCGA-93-8067-01	13.0987	12.7653	12.931999999999999
TCGA-44-6776-01	12.0504	12.9028	12.4766
TCGA-75-7031-01	12.5199	12.7458	12.63285
TCGA-44-7667-01	9.6439	12.1373	10.8906
TCGA-35-3615-01	10.0115	12.6068	11.309149999999999
TCGA-86-A4P8-01	12.5811	11.8368	12.20895
TCGA-44-2666-01	11.9991	12.9675	12.4833
TCGA-44-5643-01	13.6734	12.1336	12.903500000000001
TCGA-44-2661-01	11.9466	12.9428	12.444700000000001
TCGA-69-8255-01	8.0213	11.5661	9.793700000000001
TCGA-49-4514-01	12.8013	12.6243	12.7128
TCGA-78-7154-01	11.9826	12.6142	12.2984
TCGA-55-8507-01	12.4762	13.0026	12.7394
TCGA-95-A4VP-01	11.3673	11.6863	11.5268
TCGA-50-6595-01	12.8895	12.3902	12.63985
TCGA-78-7155-01	10.2935	10.4799	10.386700000000001
TCGA-05-4382-01	13.064	13.8596	13.4618
TCGA-05-5428-01	13.4794	14.305	13.892199999999999
