contrast	n	rho	p	q
CLDN4 vs Palantir PT	48	0.26411202778983933	0.0696857935423768	0.29616462255510145
barrier (no CLDN4) vs Palantir PT	48	-0.19583152409900131	0.18221869790610926	0.3441908738226508
IFN vs Palantir PT	48	-0.1482848458532349	0.31449185338721714	0.41125857750636086
CLDN4 vs IFN	48	-0.08315240990013026	0.5741939583646121	0.6100810807624003
CLDN4 vs barrier (no CLDN4)	48	0.3065566652192792	0.03407179003199868	0.1930734768479925
IFN vs barrier (no CLDN4)	48	0.5575336517585757	3.846113456987649e-05	0.0006538392876879003
CLDN4 vs AT2 score	48	0.0856491532783326	0.5627117755930777	0.6100810807624003
SFTPC vs Palantir PT (control)	48	-0.21493703864524533	0.14235349885002752	0.3432400481734899
CLDN4 vs fate destiny_1	48	0.2351264239191778	0.10768037058907834	0.3432400481734899
barrier vs fate destiny_1	48	0.18136084831632582	0.21733532491892338	0.36947005236216973
IFN vs fate destiny_1	48	0.0169291025221808	0.9090755386063343	0.9090755386063343
CLDN4 vs fate destiny_2	48	-0.09749909045181906	0.5097280803288087	0.6100810807624003
barrier vs fate destiny_2	48	-0.21083002678086277	0.1503220058973673	0.3432400481734899
IFN vs fate destiny_2	48	-0.33058775203036406	0.021736030256559687	0.18475625718075733
CLDN4 vs fate destiny_3	48	0.15267317148783419	0.30022201050608327	0.41125857750636086
barrier vs fate destiny_3	48	-0.20531909269053564	0.16152472855223055	0.3432400481734899
IFN vs fate destiny_3	48	-0.16320235572837444	0.267712733031973	0.41125857750636086
