ModelID	CellLineName	sample	group	OncotreePrimaryDisease	OncotreeSubtype	CLDN4	ATMPS1981	RAD17PS645	CGAS	IRF3	HLADQA1	CHK1PS345	CHK2PT68	HLADRDPDQDX	PDL1	IRF1	ATM	X53BP1	RAD51	RAD50	HISTONEH3PS10	CLAUDIN7
ACH-000681	A549	A549_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	2.204766750654613	-0.414	-0.449	2.881664619320345	5.812754909800194	-3.62	-0.064	-0.0863	0.146	0.226	3.493134922305505	3.863938450423972	0.0678	4.106850796450224	5.288727679514566	-0.969	-0.134
ACH-000528	ABC-1	ABC1_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.603477988254005	-0.531	0.254	0.0565835283663675	7.497931651896279	-3.64	-0.576	0.886	0.0541	-0.455	3.357552004618084	4.267535798068735	0.293	4.698774108903683	3.96254902292306	-0.239	3.01
ACH-000161	COR-L105	CORL105_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	4.739848102699328	-0.229	-0.582	0.070389327891398	6.611910067354084	-1.85	-0.361	-0.162	2.49	0.862	4.990501111363251	3.3103401206121505	-0.58	3.73768676140986	4.94626298433245	-0.515	0.618
ACH-000392	Calu-3	CALU3_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.484863164322325	0.175	-0.441	3.4168397419128294	5.9595383411126495	-2.82	0.39	0.465	1.54	0.036	4.55581615506164	3.15704371014558	-0.354	2.9763636357327616	3.6229303509201767	-0.953	3.66
ACH-000264	Calu-6	CALU6_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	3.5360529002402097	0.17	0.355	1.992768430768924	6.437460799511047	-3.64	0.127	0.0849	-0.266	-0.462	4.397118409042582	3.672425341971496	1.26	4.666188489872781	3.8698714061777126	0.18	-0.518
ACH-000925	DV-90	DV90_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.36187799586609	-0.423	-0.21	2.5993177936982264	6.378164779871632	-3.58	-0.22	-0.237	0.0901	0.0994	3.618238655595455	3.6758159311722696	-1.14	4.3826672527450405	4.060912049587873	-0.749	5.38
ACH-000706	EKVX	EKVX_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.6780719051126378	1.12	-0.208	0.6040713236688608	5.838447592548458	-3.53	-0.155	-0.0623	-0.31	0.0442	3.9873208659292536	7.136786096442413	0.646	4.612942196304665	4.140778655782796	0.928	0.121
ACH-000578	HCC-1171	HCC1171_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.614378575081137	0.0348	0.366	1.1505596765753812	6.322829497628894	-3.41	-0.0847	-0.0819	0.278	3.1	5.51096191927738	3.9307373375628862	0.184	4.372255648445787	4.7420062108667365	-0.298	1.74
ACH-000712	HCC-1833	HCC1833_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.312746845558241	-0.339	0.728	3.625270489374693	6.951984033953466	-3.6	0.0506	0.0159	0.0717	-0.0676	4.505255800932163	3.3015876466031866	0.524	4.568640195419223	3.553360503335328	0.13	3.48
ACH-000314	HCC-2108	HCC2108_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	4.928844036712568	-0.293	-0.0916	2.839959587489532	6.5219929564016725	-3.61	-0.244	-0.139	-0.0684	-0.597	4.645586385913608	4.716442236843321	0.537	4.040892430646901	4.760220946466509	0.248	-0.607
