n	rho	p	cohort	predictor	target	label	role	validation	ci95_low	ci95_high	q_bh
214	-0.16004430148029694	0.019147092302189646	lung_cell_lines	CLDN4	sig_DNA_REPAIR	Hallmark DNA repair	rna_primary		-0.2867185396569271	-0.038284381523638	0.019147092302189646
214	-0.2600067101192268	0.00011924205749858054	lung_cell_lines	CLDN4	sig_DSB	DSB-response RNA	rna_primary		-0.38100859022753486	-0.13714856097072056	0.0002384841149971611
214	0.2766430302310979	4.06753538195803e-05	lung_cell_lines	CLDN4	sig_STING_CORE	STING core	rna_primary		0.15298892082119225	0.39683921394518973	0.0001627014152783212
214	0.2280913996598838	0.0007750101398371391	lung_cell_lines	CLDN4	sig_HLA_ABC	HLA-A/B/C	rna_primary		0.09358298880129931	0.35288128276205766	0.0010333468531161854
214	0.18555928476010514	0.006483270218928346	lung_cell_lines	CLDN4	HLA-A	HLA-A	hla_gene		0.04999721026093153	0.31750155050542483	0.008583423021092808
214	0.17925340672023563	0.008583423021092808	lung_cell_lines	CLDN4	HLA-B	HLA-B	hla_gene		0.04110711650091481	0.30878048494088206	0.008583423021092808
214	0.2803966562056271	3.1600299465490074e-05	lung_cell_lines	CLDN4	HLA-C	HLA-C	hla_gene		0.14582703202801336	0.4036232502993546	9.480089839647023e-05
214	0.2171770479639236	0.0013902907873530287	lung_cell_lines	CLDN4	sig_MHC1	MHC-I (HLA-A/B/C+B2M)	replication		0.08145200438205012	0.3428695701642218	
214	0.28383681675869826	2.4992591084219392e-05	lung_cell_lines	CLDN4	sig_IFNG	Hallmark IFN-γ	replication		0.15577177779158105	0.40597252975877385	
214	0.3015506742568312	7.107601805790992e-06	lung_cell_lines	CLDN4	sig_STING_ISG	STING-adjacent ISG	secondary		0.16895521944892034	0.4202708594499981	
214	0.1964792067363342	0.003906819238602834	lung_cell_lines	CLDN4	sig_HLA_II	HLA class II	secondary		0.06872151813222697	0.3195942269157895	
214	0.3088450838415105	4.132165461615764e-06	lung_cell_lines	CLDN4	STING1	STING1	secondary		0.17827612470832072	0.43283297904295004	
214	0.05041972048570561	0.46311705750654075	lung_cell_lines	CLDN4	CGAS	CGAS	secondary		-0.07772356383074955	0.18578905434700163	
214	-0.1009819689706154	0.1409255622602989	lung_cell_lines	CLDN4	TBK1	TBK1	secondary		-0.22461394019506564	0.026003598853131592	
214	0.2599029465953751	0.00012001835407079305	lung_cell_lines	CLDN4	IKBKE	IKBKE	secondary		0.13232296980460168	0.3822117711494608	
214	0.2511760321180022	0.00020517108768248275	lung_cell_lines	CLDN4	IRF3	IRF3 RNA	secondary		0.11767615109936845	0.3783664156270683	
214	0.17209598904829512	0.011680769378818484	lung_cell_lines	CLDN4	H2AX	H2AX transcript (not γH2AX)	control		0.03978818878816456	0.2954544085521573	
214	0.607492302692719	5.636455165585781e-23	lung_cell_lines	CLDN4	TACSTD2	TACSTD2	companion		0.5133482836771317	0.6871859820977055	
214	0.144276177814546	0.03492169255677208	lung_cell_lines	CLDN4	B2M	B2M	secondary		0.0052337130042064296	0.2752024944913232	
214	0.14011663733540275	0.040575882520864845	lung_cell_lines	CLDN4	HLA-E	HLA-E	secondary		0.007685929597064967	0.2630325793124702	
143	-0.15943390999801693	0.05717063052960008	NSCLC	CLDN4	sig_DNA_REPAIR	Hallmark DNA repair	rna_primary		-0.30743876979457735	-0.00619580760379221	0.05717063052960008
143	-0.2564210422644073	0.0019928696291323976	NSCLC	CLDN4	sig_DSB	DSB-response RNA	rna_primary		-0.39832739231402786	-0.10225847799404267	0.00797147851652959
