ModelID	CellLineName	CCLEName	OncotreePrimaryDisease	OncotreeSubtype	group	CLDN4	TACSTD2	sig_DNA_REPAIR	sig_DSB	sig_STING_CORE	sig_STING_ISG	sig_HLA_ABC	sig_MHC1	sig_HLA_II	sig_IFNG	HLA-A	HLA-B	HLA-C	B2M	STING1	CGAS	H2AX
ACH-000757	A427	A427_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.8237493603082727	0.2016338611696504	0.053737471568630596	-0.434890009688316	0.48533842451889486	-0.2826314353105179	0.4115772327549287	0.1514695904455912	-0.37863333873237903	-0.15258959119224882	10.100925101056902	6.581200581924957	7.091594060828292	8.898026915667518	1.1176950426697545	3.8972404255748	5.321928094887363
ACH-000681	A549	A549_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	2.204766750654613	0.2016338611696504	-0.1583320600973265	-0.21747540159659237	0.028854592703184478	-0.62361391278685	-1.1263679954013488	-1.0081225079334333	-0.6268651936588127	-0.23063703407780436	6.04745114041639	2.8933622107638715	5.056149961108142	8.860652480797514	0.6870606883398922	2.881664619320345	5.105594275795191
ACH-003012	A549_CRAF_KD	A549H3_Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.8439838440483265	0.0	-0.5106714966985547	-0.5338252183124873	-0.12598357046881628	-0.6065315409916201	-1.2667725048491592	-1.1592841896269759	-0.6378111903689551	-0.2718224009698688	5.862947248020921	3.104336659814736	4.207111961207714	8.581200581924957	0.4541758931858022	2.1210154009613658	3.852997587613317
ACH-000528	ABC-1	ABC1_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.603477988254005	7.385689870739212	0.03829479311115693	-0.05794253170701019	0.45399308123286347	-0.8278431317337442	-0.5702218996507779	-0.5862284675946541	-0.5282204341228193	-0.3573850207602178	5.018367115543116	4.139960569545456	8.84558413668341	8.889808136940093	4.166715444966423	0.0565835283663675	6.771489469500598
ACH-000161	COR-L105	CORL105_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	4.739848102699328	0.7484612330040357	-0.3365220696095082	-1.0107828887484156	-0.4838890483186418	0.08153695688532395	0.9787017811908587	0.8730027516898938	4.503567924130144	0.19183584511723997	8.91513244895065	9.51398413997494	9.779899885889154	10.702951841996926	0.7484612330040357	0.070389327891398	5.269781238274379
ACH-000392	Calu-3	CALU3_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.484863164322325	7.265755676027326	-0.8920444918579896	-1.3560002759765732	0.12912645087988434	0.7387277408877264	0.43037659476217205	0.3192922644637809	2.003087372081845	0.03576955872626904	8.14006285569821	7.840526177306253	8.541909717606892	9.83478704933734	3.19377174339668	3.4168397419128294	4.532316959332765
ACH-000264	Calu-6	CALU6_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	3.5360529002402097	0.5260688116675876	-0.3418476150408202	-0.30879261104709654	-0.039621446956938124	-0.335405848988747	-0.48900148478232525	-0.21702926922813157	-0.5061921876435361	-0.2951248826297396	7.64652270982913	3.502075956045791	6.737416365937063	10.768432473452975	3.4867143730307024	1.992768430768924	5.832890014164741
ACH-000925	DV-90	DV90_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	9.36187799586609	7.058099988493412	-0.126585415687117	-0.24804043302551992	0.08884376648811398	0.3663646531703298	-0.3037232628415906	-0.24370197323200157	1.8551290534729965	0.17636462671213377	4.639810977716776	7.647098607263408	8.179511050271511	9.75910588734483	1.7048719644563528	2.5993177936982264	5.369466483650723
ACH-000706	EKVX	EKVX_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.6780719051126378	1.613531652917927	-0.3024784510028894	-0.24108279647254383	-0.008868275296283739	-0.631139891886445	-0.30835834608160234	-0.07434201714713251	-0.5238770102074799	-0.16078328407312684	7.919578445935473	4.818134760810847	6.507794640198696	10.812337774347368	5.216842842837263	0.6040713236688608	3.93451650158608
ACH-002650	ETCC-016	ETCC016_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.795455272044121	8.676944359106912	-0.03392446405956462	-0.4788976391910206	0.5554771547991475	1.0086893370111079	-1.4223532165957782	-1.3789285029465197	-0.6164050805719813	0.1038503628580341	2.16349873228288	4.808899839257769	6.260213886771416	7.953789040596651	3.641546029087524	0.9486008474933558	5.403949364232865
ACH-000578	HCC-1171	HCC1171_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	9.614378575081137	8.982565834895489	-0.03740502006920588	-0.19305203496738266	0.24928343659165755	0.30391888657073235	1.0117636133200107	0.9209709346007285	1.5124793121345823	0.5174018806134693	10.027491369453683	9.889017152333734	8.359398176276049	10.844156510045517	5.398487190018967	1.1505596765753812	6.166916251569974
ACH-000712	HCC-1833	HCC1833_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.312746845558241	0.5849625007211562	0.4146240627403618	0.07055491906373419	-0.010132747437743506	-0.22851574663702484	0.9968199228949025	0.9871742949537373	-0.4078001943883731	-0.17718743293174044	10.721355569072324	8.928222255585075	8.208234358339789	11.31588544344588	0.4750848829487829	3.625270489374693	5.963936452144486
ACH-000314	HCC-2108	HCC2108_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	4.928844036712568	0.6780719051126377	0.29131172017423257	-0.005962148131077626	0.5875427060690145	0.5762240829690392	0.22558144668737437	0.23968018183412998	0.10164091204141557	0.4234198392711707	8.634738459915802	7.677719641641008	6.769375049349816	10.285633401466844	4.408032466130653	2.839959587489532	6.41886457739032
ACH-000575	HCC-364	HCC364_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.328315891666071	1.5897634869849773	-0.005866583810029528	-0.024144782097283428	0.6358367056158265	-0.005524698722054918	-0.34440027202068096	-0.11126738274884218	0.5396323118630769	0.04416765203094895	7.138937308958628	6.22573765346606	6.0759604132434015	10.752046069779388	5.289834465177509	2.8011586560936985	6.671576448130652
ACH-000667	HCC-44	HCC44_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	5.751410160064371	4.516015147003665	-0.9619659687573799	-1.436797505908268	-0.02519736933558612	0.41718331060352115	0.6656223171736069	0.6318745223172134	0.5662513612334762	-0.047397442033176695	9.408372203572675	8.400537929583729	8.08135028058369	10.664447284547972	3.673556423990145	3.7803100990433753	4.3743439890385005
ACH-000339	HCC-461	HCC461_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	3.4329594072761065	4.007195501404204	-0.013481481300774657	0.08461736583908196	0.20703133274747923	-0.16269371037660618	0.3626520152665089	0.42759549887688353	-0.49281846540418206	0.02368870258892452	9.522228415158157	6.488000770834068	7.545196172415611	10.804292387442745	3.454175893185802	3.4475791965488827	6.4063325778217095
ACH-000562	HCC-78	HCC78_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.728600810643192	9.636479618780534	-0.08718685800286342	-0.3670247363249395	0.9231366289249866	0.818624685879303	1.5388528852144399	1.6055313731394625	0.5227683035730206	0.660849149913569	11.115173734021036	10.900715890564337	9.62080631671568	12.606752195111984	6.135452784185173	3.496973580998276	6.3729520979118295
ACH-000012	HCC-827	HCC827_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.083532513265412	8.326968711587892	-0.20158833237949558	-0.34482606877110256	1.5483147729570972	0.0433921674131395	0.11039737719393944	0.051899875099872955	-0.3525535865774125	0.10889462509370183	8.114314963712404	6.998082647124651	7.201339803681615	9.667767969793614	3.4154882710497003	2.669026765509631	6.245457632609671
ACH-000029	HCC-827-GR5	HCC827GR5_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.249540152313218	8.195347598322218	-0.49657354116647906	-0.17941112460893513	1.3372845196496363	0.08426149381854398	-0.27099699980238395	-0.05004980971049722	-0.3710522211744835	-0.07302212998452948	7.011562726891081	7.057991722759176	6.027905996569885	10.789615150862357	5.494415610397496	1.8639384504239715	4.268284666520996
ACH-000150	HCC2935	HCC2935_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	9.901002620158811	8.589388984726849	0.06938816747741876	-0.09268938485556662	0.23675268127508997	0.32028060580307416	1.8795046205695805	1.8120083014518593	0.16377702357443083	0.7000574684572575	11.376505281515517	10.988329649231089	11.420433977971395	12.30808300869819	5.801676029253588	2.0250287944915226	6.278356528010724
ACH-000066	HCC4006	HCC4006_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.705701496845794	7.941282410432874	0.17922803075959343	0.07985563682448917	0.34955299438629683	1.823369882980429	0.8836202115211984	0.9532291541971156	0.7303845628549643	0.9410953083320536	9.092492886859056	8.79782361731406	9.535722503901695	11.626393504173995	6.2193621578077165	2.4276061727818994	5.706254253573203
ACH-000872	HCC515	HCC515_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	4.513490745588118	5.92837032301897	-0.24092471776571928	-0.6835944074318602	-0.5874813607178068	-0.12387820774451476	-0.5678940544513749	-0.45457935266585625	-0.3246826558496572	-0.22149342794600232	6.5906618959652645	5.461070114033051	5.915759896038	9.681414125198753	0.4005379295837288	2.845991770664573	4.714795011118162
ACH-000861	HOP-62	HOP62_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	4.627606838129649	1.6369145803558778	0.04855873818720594	-0.05627571133288262	0.18965012779939244	0.05387202321682174	0.4846208197722688	0.5000868826793053	-0.4481546799982236	0.28108860177485034	8.93147623388679	8.080018029089175	7.750137499129095	10.688600010999124	4.053980168187652	3.828834649468056	6.217036792564098
ACH-000787	LXF-289	LXF289_LUNG	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	5.530757457461217	3.711494906650088	-0.15058547578536258	-0.2935492423443522	0.07228154139129814	0.1097996486323872	1.1308912769161497	0.9612031551679725	0.236965188399046	0.3557245955747101	10.03493648653151	10.26127222772184	8.813813250750618	10.544867863624177	2.424922088210688	3.773996325111173	4.663344619366085
